LAST SEEN   TYPE      REASON                 OBJECT                                                             MESSAGE
58m         Normal    Scheduled              pod/product-service-646fd4c8b8-fht7x                               Successfully assigned ecommerce/product-service-646fd4c8b8-fht7x to aks-userpool-16719200-vmss000011
58m         Normal    SuccessfulRescale      horizontalpodautoscaler/keda-hpa-product-service-keda              New size: 5; reason: external metric s0-prometheus(&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: product-service-keda,},MatchExpressions:[]LabelSelectorRequirement{},}) above target
58m         Normal    ScalingReplicaSet      deployment/product-service                                         Scaled up replica set product-service-646fd4c8b8 from 3 to 5
58m         Normal    Scheduled              pod/product-service-646fd4c8b8-rxhzx                               Successfully assigned ecommerce/product-service-646fd4c8b8-rxhzx to aks-userpool-16719200-vmss000010
58m         Normal    SuccessfulCreate       replicaset/product-service-646fd4c8b8                              Created pod: product-service-646fd4c8b8-rxhzx
58m         Normal    Pulled                 pod/product-service-646fd4c8b8-rxhzx                               Successfully pulled image "ecommerce.azurecr.io/product-service:latest" in 140ms (140ms including waiting). Image size: 114682246 bytes.
58m         Normal    Pulling                pod/product-service-646fd4c8b8-fht7x                               Pulling image "ecommerce.azurecr.io/product-service:latest"
58m         Normal    Started                pod/product-service-646fd4c8b8-rxhzx                               Started container product-service
58m         Normal    Created                pod/product-service-646fd4c8b8-rxhzx                               Created container: product-service
58m         Normal    Started                pod/product-service-646fd4c8b8-fht7x                               Started container product-service
58m         Normal    Pulling                pod/product-service-646fd4c8b8-rxhzx                               Pulling image "ecommerce.azurecr.io/product-service:latest"
58m         Normal    Pulled                 pod/product-service-646fd4c8b8-fht7x                               Successfully pulled image "ecommerce.azurecr.io/product-service:latest" in 179ms (179ms including waiting). Image size: 114682246 bytes.
58m         Normal    Created                pod/product-service-646fd4c8b8-fht7x                               Created container: product-service
54m         Warning   Unhealthy              pod/product-service-646fd4c8b8-95jhr                               Readiness probe failed: Get "http://10.244.1.78:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
52m         Warning   Unhealthy              pod/product-service-646fd4c8b8-fht7x                               Readiness probe failed: Get "http://10.244.1.207:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
52m         Warning   Unhealthy              pod/product-service-646fd4c8b8-rxhzx                               Readiness probe failed: Get "http://10.244.2.70:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
51m         Warning   Unhealthy              pod/product-db-0                                                   Readiness probe failed: command timed out: "pg_isready -U product_user -d product_db" timed out after 1s
