LAST SEEN   TYPE     REASON              OBJECT                                                                MESSAGE
57m         Normal   Scheduled           pod/auth-service-88b4cd688-fvlh5                                      Successfully assigned ecommerce/auth-service-88b4cd688-fvlh5 to aks-userpool-16719200-vmss000010
57m         Normal   SuccessfulCreate    replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-tc8vh
57m         Normal   Scheduled           pod/auth-service-88b4cd688-tc8vh                                      Successfully assigned ecommerce/auth-service-88b4cd688-tc8vh to aks-userpool-16719200-vmss000010
57m         Normal   Scheduled           pod/auth-service-88b4cd688-spgr2                                      Successfully assigned ecommerce/auth-service-88b4cd688-spgr2 to aks-userpool-16719200-vmss000010
57m         Normal   SuccessfulCreate    replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-fvlh5
57m         Normal   Scheduled           pod/auth-service-88b4cd688-66fdm                                      Successfully assigned ecommerce/auth-service-88b4cd688-66fdm to aks-userpool-16719200-vmss000011
57m         Normal   SuccessfulCreate    replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-66fdm
57m         Normal   SuccessfulCreate    replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-spgr2
57m         Normal   Pulled              pod/auth-service-88b4cd688-tc8vh                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 311ms (311ms including waiting). Image size: 129968897 bytes.
57m         Normal   Created             pod/auth-service-88b4cd688-fvlh5                                      Created container: auth-service
57m         Normal   Pulling             pod/auth-service-88b4cd688-spgr2                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
57m         Normal   Started             pod/auth-service-88b4cd688-fvlh5                                      Started container auth-service
57m         Normal   Started             pod/auth-service-88b4cd688-spgr2                                      Started container auth-service
57m         Normal   Pulled              pod/auth-service-88b4cd688-spgr2                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 314ms (314ms including waiting). Image size: 129968897 bytes.
57m         Normal   Pulling             pod/auth-service-88b4cd688-fvlh5                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
57m         Normal   Pulled              pod/auth-service-88b4cd688-fvlh5                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 325ms (325ms including waiting). Image size: 129968897 bytes.
57m         Normal   Pulling             pod/auth-service-88b4cd688-66fdm                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
57m         Normal   Started             pod/auth-service-88b4cd688-tc8vh                                      Started container auth-service
57m         Normal   Created             pod/auth-service-88b4cd688-tc8vh                                      Created container: auth-service
57m         Normal   Created             pod/auth-service-88b4cd688-spgr2                                      Created container: auth-service
57m         Normal   Pulling             pod/auth-service-88b4cd688-tc8vh                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
57m         Normal   Created             pod/auth-service-88b4cd688-66fdm                                      Created container: auth-service
57m         Normal   Started             pod/auth-service-88b4cd688-66fdm                                      Started container auth-service
57m         Normal   Pulled              pod/auth-service-88b4cd688-66fdm                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 3.4s (3.4s including waiting). Image size: 129968897 bytes.
55m         Normal   Scheduled           pod/k6-auth-test-gradual-auth-service-b2-gradual-rep1-499xk           Successfully assigned ecommerce/k6-auth-test-gradual-auth-service-b2-gradual-rep1-499xk to aks-userpool-16719200-vmss000011
55m         Normal   SuccessfulCreate    job/k6-auth-test-gradual-auth-service-b2-gradual-rep1                 Created pod: k6-auth-test-gradual-auth-service-b2-gradual-rep1-499xk
55m         Normal   Pulling             pod/k6-auth-test-gradual-auth-service-b2-gradual-rep1-499xk           Pulling image "grafana/k6:latest"
