LAST SEEN   TYPE      REASON                 OBJECT                                                                MESSAGE
59m         Normal    Scheduled              pod/k6-auth-test-spike-auth-service-h1-spike-rep1-4w7s6               Successfully assigned ecommerce/k6-auth-test-spike-auth-service-h1-spike-rep1-4w7s6 to aks-userpool-16719200-vmss000010
59m         Normal    SuccessfulCreate       job/k6-auth-test-spike-auth-service-h1-spike-rep1                     Created pod: k6-auth-test-spike-auth-service-h1-spike-rep1-4w7s6
59m         Normal    Pulling                pod/k6-auth-test-spike-auth-service-h1-spike-rep1-4w7s6               Pulling image "grafana/k6:latest"
59m         Normal    Created                pod/k6-auth-test-spike-auth-service-h1-spike-rep1-4w7s6               Created container: k6
59m         Normal    Pulled                 pod/k6-auth-test-spike-auth-service-h1-spike-rep1-4w7s6               Successfully pulled image "grafana/k6:latest" in 2.496s (2.496s including waiting). Image size: 36750082 bytes.
59m         Normal    Started                pod/k6-auth-test-spike-auth-service-h1-spike-rep1-4w7s6               Started container k6
58m         Normal    Scheduled              pod/auth-service-88b4cd688-9lsv5                                      Successfully assigned ecommerce/auth-service-88b4cd688-9lsv5 to aks-userpool-16719200-vmss000011
58m         Normal    Pulling                pod/auth-service-88b4cd688-9lsv5                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
58m         Normal    SuccessfulRescale      horizontalpodautoscaler/auth-service-hpa-default                      New size: 3; reason: cpu resource utilization (percentage of request) above target
58m         Normal    SuccessfulCreate       replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-tm9xv
58m         Normal    SuccessfulCreate       replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-9lsv5
58m         Normal    Pulling                pod/auth-service-88b4cd688-tm9xv                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
58m         Normal    Scheduled              pod/auth-service-88b4cd688-tm9xv                                      Successfully assigned ecommerce/auth-service-88b4cd688-tm9xv to aks-userpool-16719200-vmss000011
58m         Normal    Created                pod/auth-service-88b4cd688-tm9xv                                      Created container: auth-service
