LAST SEEN   TYPE      REASON                 OBJECT                                                                MESSAGE
59m         Normal    SuccessfulCreate       job/k6-auth-test-oscillating-auth-service-h1-oscillating-rep1         Created pod: k6-auth-test-oscillating-auth-service-h1-oscillating-rep1-62ztd
59m         Normal    Scheduled              pod/k6-auth-test-oscillating-auth-service-h1-oscillating-rep1-62ztd   Successfully assigned ecommerce/k6-auth-test-oscillating-auth-service-h1-oscillating-rep1-62ztd to aks-userpool-16719200-vmss000010
59m         Normal    Pulling                pod/k6-auth-test-oscillating-auth-service-h1-oscillating-rep1-62ztd   Pulling image "grafana/k6:latest"
59m         Normal    Pulled                 pod/k6-auth-test-oscillating-auth-service-h1-oscillating-rep1-62ztd   Successfully pulled image "grafana/k6:latest" in 1.484s (1.484s including waiting). Image size: 36750082 bytes.
59m         Normal    Created                pod/k6-auth-test-oscillating-auth-service-h1-oscillating-rep1-62ztd   Created container: k6
59m         Normal    Started                pod/k6-auth-test-oscillating-auth-service-h1-oscillating-rep1-62ztd   Started container k6
58m         Normal    SuccessfulRescale      horizontalpodautoscaler/auth-service-hpa-default                      New size: 3; reason: cpu resource utilization (percentage of request) above target
58m         Normal    SuccessfulCreate       replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-zh5zs
58m         Normal    SuccessfulCreate       replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-lwvnq
58m         Normal    Scheduled              pod/auth-service-88b4cd688-zh5zs                                      Successfully assigned ecommerce/auth-service-88b4cd688-zh5zs to aks-userpool-16719200-vmss000011
58m         Normal    Scheduled              pod/auth-service-88b4cd688-lwvnq                                      Successfully assigned ecommerce/auth-service-88b4cd688-lwvnq to aks-userpool-16719200-vmss000011
58m         Normal    Started                pod/auth-service-88b4cd688-zh5zs                                      Started container auth-service
58m         Normal    Pulled                 pod/auth-service-88b4cd688-zh5zs                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 332ms (332ms including waiting). Image size: 129968897 bytes.
58m         Normal    Pulling                pod/auth-service-88b4cd688-lwvnq                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
58m         Normal    Pulled                 pod/auth-service-88b4cd688-lwvnq                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 348ms (348ms including waiting). Image size: 129968897 bytes.
58m         Normal    Created                pod/auth-service-88b4cd688-lwvnq                                      Created container: auth-service
58m         Normal    Started                pod/auth-service-88b4cd688-lwvnq                                      Started container auth-service
58m         Normal    Pulling                pod/auth-service-88b4cd688-zh5zs                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
58m         Normal    Created                pod/auth-service-88b4cd688-zh5zs                                      Created container: auth-service
56m         Normal    SuccessfulRescale      horizontalpodautoscaler/auth-service-hpa-default                      New size: 5; reason: cpu resource utilization (percentage of request) above target
56m         Normal    Scheduled              pod/auth-service-88b4cd688-j9b49                                      Successfully assigned ecommerce/auth-service-88b4cd688-j9b49 to aks-userpool-16719200-vmss000010
56m         Normal    SuccessfulCreate       replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-bhcrl
56m         Normal    SuccessfulCreate       replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-j9b49
56m         Normal    Scheduled              pod/auth-service-88b4cd688-bhcrl                                      Successfully assigned ecommerce/auth-service-88b4cd688-bhcrl to aks-userpool-16719200-vmss000011
56m         Normal    Pulling                pod/auth-service-88b4cd688-bhcrl                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
56m         Normal    Pulling                pod/auth-service-88b4cd688-j9b49                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
56m         Normal    Started                pod/auth-service-88b4cd688-j9b49                                      Started container auth-service
56m         Normal    Started                pod/auth-service-88b4cd688-bhcrl                                      Started container auth-service
56m         Normal    Created                pod/auth-service-88b4cd688-bhcrl                                      Created container: auth-service
56m         Normal    Pulled                 pod/auth-service-88b4cd688-bhcrl                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 179ms (179ms including waiting). Image size: 129968897 bytes.
56m         Normal    Created                pod/auth-service-88b4cd688-j9b49                                      Created container: auth-service
56m         Normal    Pulled                 pod/auth-service-88b4cd688-j9b49                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 134ms (134ms including waiting). Image size: 129968897 bytes.
55m         Warning   Unhealthy              pod/auth-service-88b4cd688-t67ms                                      Readiness probe failed: Get "http://10.244.2.139:8001/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
47m         Warning   BackoffLimitExceeded   job/k6-auth-test-oscillating-auth-service-h1-oscillating-rep1         Job has reached the specified backoff limit
42m         Normal    SuccessfulDelete       replicaset/auth-service-88b4cd688                                     Deleted pod: auth-service-88b4cd688-bhcrl
42m         Normal    SuccessfulRescale      horizontalpodautoscaler/auth-service-hpa-default                      New size: 4; reason: All metrics below target
42m         Normal    Killing                pod/auth-service-88b4cd688-bhcrl                                      Stopping container auth-service
41m         Normal    Killing                pod/auth-service-88b4cd688-lwvnq                                      Stopping container auth-service
41m         Normal    Killing                pod/auth-service-88b4cd688-zh5zs                                      Stopping container auth-service
41m         Normal    SuccessfulDelete       replicaset/auth-service-88b4cd688                                     Deleted pod: auth-service-88b4cd688-zh5zs
41m         Normal    Killing                pod/auth-service-88b4cd688-j9b49                                      Stopping container auth-service
41m         Normal    SuccessfulDelete       replicaset/auth-service-88b4cd688                                     Deleted pod: auth-service-88b4cd688-lwvnq
41m         Normal    SuccessfulDelete       replicaset/auth-service-88b4cd688                                     Deleted pod: auth-service-88b4cd688-j9b49
41m         Normal    ScalingReplicaSet      deployment/auth-service                                               Scaled down replica set auth-service-88b4cd688 from 4 to 1
41m         Normal    SuccessfulRescale      horizontalpodautoscaler/auth-service-hpa-default                      New size: 1; reason: All metrics below target
37m         Normal    Pulling                pod/k6-auth-test-gradual-auth-service-h2-gradual-rep1-hv6mx           Pulling image "grafana/k6:latest"
37m         Normal    SuccessfulCreate       job/k6-auth-test-gradual-auth-service-h2-gradual-rep1                 Created pod: k6-auth-test-gradual-auth-service-h2-gradual-rep1-hv6mx
37m         Normal    Scheduled              pod/k6-auth-test-gradual-auth-service-h2-gradual-rep1-hv6mx           Successfully assigned ecommerce/k6-auth-test-gradual-auth-service-h2-gradual-rep1-hv6mx to aks-userpool-16719200-vmss000010
37m         Normal    Created                pod/k6-auth-test-gradual-auth-service-h2-gradual-rep1-hv6mx           Created container: k6
37m         Normal    Started                pod/k6-auth-test-gradual-auth-service-h2-gradual-rep1-hv6mx           Started container k6
37m         Normal    Pulled                 pod/k6-auth-test-gradual-auth-service-h2-gradual-rep1-hv6mx           Successfully pulled image "grafana/k6:latest" in 1.541s (1.541s including waiting). Image size: 36750082 bytes.
36m         Normal    SuccessfulRescale      horizontalpodautoscaler/auth-service-hpa-tuned                        New size: 3; reason: cpu resource utilization (percentage of request) above target
36m         Normal    ScalingReplicaSet      deployment/auth-service                                               Scaled up replica set auth-service-88b4cd688 from 1 to 3
36m         Normal    SuccessfulCreate       replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-xjgv8
36m         Normal    SuccessfulCreate       replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-jxslg
36m         Normal    Scheduled              pod/auth-service-88b4cd688-xjgv8                                      Successfully assigned ecommerce/auth-service-88b4cd688-xjgv8 to aks-userpool-16719200-vmss000011
36m         Normal    Scheduled              pod/auth-service-88b4cd688-jxslg                                      Successfully assigned ecommerce/auth-service-88b4cd688-jxslg to aks-userpool-16719200-vmss000011
36m         Normal    Created                pod/auth-service-88b4cd688-jxslg                                      Created container: auth-service
36m         Normal    Created                pod/auth-service-88b4cd688-xjgv8                                      Created container: auth-service
36m         Normal    Started                pod/auth-service-88b4cd688-xjgv8                                      Started container auth-service
36m         Normal    Pulled                 pod/auth-service-88b4cd688-xjgv8                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 317ms (317ms including waiting). Image size: 129968897 bytes.
36m         Normal    Started                pod/auth-service-88b4cd688-jxslg                                      Started container auth-service
36m         Normal    Pulling                pod/auth-service-88b4cd688-xjgv8                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
36m         Normal    Pulled                 pod/auth-service-88b4cd688-jxslg                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 323ms (323ms including waiting). Image size: 129968897 bytes.
36m         Normal    Pulling                pod/auth-service-88b4cd688-jxslg                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
36m         Normal    Pulling                pod/auth-service-88b4cd688-c2fx8                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
36m         Normal    Scheduled              pod/auth-service-88b4cd688-c2fx8                                      Successfully assigned ecommerce/auth-service-88b4cd688-c2fx8 to aks-userpool-16719200-vmss000010
36m         Normal    SuccessfulRescale      horizontalpodautoscaler/auth-service-hpa-tuned                        New size: 4; reason: cpu resource utilization (percentage of request) above target
36m         Normal    ScalingReplicaSet      deployment/auth-service                                               Scaled up replica set auth-service-88b4cd688 from 3 to 4
36m         Normal    Pulled                 pod/auth-service-88b4cd688-c2fx8                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 112ms (112ms including waiting). Image size: 129968897 bytes.
36m         Normal    Started                pod/auth-service-88b4cd688-c2fx8                                      Started container auth-service
36m         Normal    Created                pod/auth-service-88b4cd688-c2fx8                                      Created container: auth-service
34m         Normal    Killing                pod/auth-service-88b4cd688-c2fx8                                      Stopping container auth-service
