LAST SEEN   TYPE      REASON                         OBJECT                                                                MESSAGE
59m         Normal    SuccessfulCreate               job/k6-auth-test-spike-auth-service-h2-spike-rep1                     Created pod: k6-auth-test-spike-auth-service-h2-spike-rep1-qpcmn
59m         Normal    Scheduled                      pod/k6-auth-test-spike-auth-service-h2-spike-rep1-qpcmn               Successfully assigned ecommerce/k6-auth-test-spike-auth-service-h2-spike-rep1-qpcmn to aks-userpool-16719200-vmss000010
59m         Normal    Pulling                        pod/k6-auth-test-spike-auth-service-h2-spike-rep1-qpcmn               Pulling image "grafana/k6:latest"
59m         Normal    Started                        pod/k6-auth-test-spike-auth-service-h2-spike-rep1-qpcmn               Started container k6
59m         Normal    Created                        pod/k6-auth-test-spike-auth-service-h2-spike-rep1-qpcmn               Created container: k6
59m         Normal    Pulled                         pod/k6-auth-test-spike-auth-service-h2-spike-rep1-qpcmn               Successfully pulled image "grafana/k6:latest" in 1.863s (1.863s including waiting). Image size: 36750082 bytes.
58m         Normal    SuccessfulRescale              horizontalpodautoscaler/auth-service-hpa-tuned                        New size: 4; reason: cpu resource utilization (percentage of request) above target
58m         Normal    Scheduled                      pod/auth-service-88b4cd688-llnjp                                      Successfully assigned ecommerce/auth-service-88b4cd688-llnjp to aks-userpool-16719200-vmss000011
58m         Normal    SuccessfulCreate               replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-gls2d
58m         Normal    SuccessfulCreate               replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-llnjp
58m         Normal    Scheduled                      pod/auth-service-88b4cd688-hkvdp                                      Successfully assigned ecommerce/auth-service-88b4cd688-hkvdp to aks-userpool-16719200-vmss000010
58m         Normal    Scheduled                      pod/auth-service-88b4cd688-gls2d                                      Successfully assigned ecommerce/auth-service-88b4cd688-gls2d to aks-userpool-16719200-vmss000011
58m         Normal    Pulling                        pod/auth-service-88b4cd688-gls2d                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
58m         Normal    Created                        pod/auth-service-88b4cd688-llnjp                                      Created container: auth-service
58m         Normal    Started                        pod/auth-service-88b4cd688-llnjp                                      Started container auth-service
58m         Normal    Pulled                         pod/auth-service-88b4cd688-llnjp                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 408ms (408ms including waiting). Image size: 129968897 bytes.
58m         Normal    Pulling                        pod/auth-service-88b4cd688-llnjp                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
58m         Normal    Started                        pod/auth-service-88b4cd688-hkvdp                                      Started container auth-service
58m         Normal    Created                        pod/auth-service-88b4cd688-hkvdp                                      Created container: auth-service
58m         Normal    Pulled                         pod/auth-service-88b4cd688-hkvdp                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 308ms (308ms including waiting). Image size: 129968897 bytes.
58m         Normal    Pulling                        pod/auth-service-88b4cd688-hkvdp                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
58m         Normal    Started                        pod/auth-service-88b4cd688-gls2d                                      Started container auth-service
58m         Normal    Created                        pod/auth-service-88b4cd688-gls2d                                      Created container: auth-service
58m         Normal    Pulled                         pod/auth-service-88b4cd688-gls2d                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 404ms (404ms including waiting). Image size: 129968897 bytes.
56m         Normal    Scheduled                      pod/auth-service-88b4cd688-7qv9z                                      Successfully assigned ecommerce/auth-service-88b4cd688-7qv9z to aks-userpool-16719200-vmss000011
56m         Normal    SuccessfulRescale              horizontalpodautoscaler/auth-service-hpa-tuned                        New size: 5; reason: cpu resource utilization (percentage of request) above target
56m         Normal    Started                        pod/auth-service-88b4cd688-7qv9z                                      Started container auth-service
56m         Normal    Created                        pod/auth-service-88b4cd688-7qv9z                                      Created container: auth-service
56m         Normal    Pulled                         pod/auth-service-88b4cd688-7qv9z                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 190ms (190ms including waiting). Image size: 129968897 bytes.
56m         Normal    Pulling                        pod/auth-service-88b4cd688-7qv9z                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
47m         Warning   BackoffLimitExceeded           job/k6-auth-test-spike-auth-service-h2-spike-rep1                     Job has reached the specified backoff limit
47m         Normal    SuccessfulRescale              horizontalpodautoscaler/auth-service-hpa-tuned                        New size: 3; reason: All metrics below target
47m         Normal    Killing                        pod/auth-service-88b4cd688-gls2d                                      Stopping container auth-service
47m         Normal    SuccessfulDelete               replicaset/auth-service-88b4cd688                                     Deleted pod: auth-service-88b4cd688-gls2d
47m         Normal    SuccessfulDelete               replicaset/auth-service-88b4cd688                                     Deleted pod: auth-service-88b4cd688-7qv9z
47m         Normal    Killing                        pod/auth-service-88b4cd688-7qv9z                                      Stopping container auth-service
46m         Normal    Killing                        pod/auth-service-88b4cd688-hkvdp                                      Stopping container auth-service
46m         Normal    SuccessfulRescale              horizontalpodautoscaler/auth-service-hpa-tuned                        New size: 2; reason: All metrics below target
46m         Normal    SuccessfulRescale              horizontalpodautoscaler/auth-service-hpa-tuned                        New size: 1; reason: All metrics below target
46m         Normal    Killing                        pod/auth-service-88b4cd688-llnjp                                      Stopping container auth-service
37m         Normal    SuccessfulCreate               job/k6-auth-test-oscillating-auth-service-h2-oscillating-rep1         Created pod: k6-auth-test-oscillating-auth-service-h2-oscillating-rep1-2q8sv
37m         Normal    Scheduled                      pod/k6-auth-test-oscillating-auth-service-h2-oscillating-rep1-2q8sv   Successfully assigned ecommerce/k6-auth-test-oscillating-auth-service-h2-oscillating-rep1-2q8sv to aks-userpool-16719200-vmss000010
37m         Normal    Pulling                        pod/k6-auth-test-oscillating-auth-service-h2-oscillating-rep1-2q8sv   Pulling image "grafana/k6:latest"
37m         Normal    Created                        pod/k6-auth-test-oscillating-auth-service-h2-oscillating-rep1-2q8sv   Created container: k6
37m         Normal    Pulled                         pod/k6-auth-test-oscillating-auth-service-h2-oscillating-rep1-2q8sv   Successfully pulled image "grafana/k6:latest" in 1.47s (1.47s including waiting). Image size: 36750082 bytes.
37m         Normal    Started                        pod/k6-auth-test-oscillating-auth-service-h2-oscillating-rep1-2q8sv   Started container k6
36m         Normal    Pulling                        pod/auth-service-88b4cd688-tn5b9                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
36m         Normal    Scheduled                      pod/auth-service-88b4cd688-tn5b9                                      Successfully assigned ecommerce/auth-service-88b4cd688-tn5b9 to aks-userpool-16719200-vmss000010
36m         Normal    Scheduled                      pod/auth-service-88b4cd688-6l5d2                                      Successfully assigned ecommerce/auth-service-88b4cd688-6l5d2 to aks-userpool-16719200-vmss000011
36m         Normal    SuccessfulCreate               replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-6l5d2
36m         Normal    SuccessfulRescale              horizontalpodautoscaler/auth-service-hpa-tuned                        New size: 4; reason: cpu resource utilization (percentage of request) above target
36m         Normal    SuccessfulCreate               replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-s7ssr
36m         Normal    ScalingReplicaSet              deployment/auth-service                                               Scaled up replica set auth-service-88b4cd688 from 1 to 4
36m         Normal    Scheduled                      pod/auth-service-88b4cd688-s7ssr                                      Successfully assigned ecommerce/auth-service-88b4cd688-s7ssr to aks-userpool-16719200-vmss000011
36m         Normal    Started                        pod/auth-service-88b4cd688-6l5d2                                      Started container auth-service
36m         Normal    Started                        pod/auth-service-88b4cd688-tn5b9                                      Started container auth-service
36m         Normal    Created                        pod/auth-service-88b4cd688-tn5b9                                      Created container: auth-service
36m         Normal    Pulled                         pod/auth-service-88b4cd688-tn5b9                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 219ms (219ms including waiting). Image size: 129968897 bytes.
36m         Normal    Pulling                        pod/auth-service-88b4cd688-6l5d2                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
36m         Normal    Created                        pod/auth-service-88b4cd688-6l5d2                                      Created container: auth-service
36m         Normal    Pulled                         pod/auth-service-88b4cd688-6l5d2                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 246ms (246ms including waiting). Image size: 129968897 bytes.
36m         Normal    Started                        pod/auth-service-88b4cd688-s7ssr                                      Started container auth-service
36m         Normal    Created                        pod/auth-service-88b4cd688-s7ssr                                      Created container: auth-service
36m         Normal    Pulled                         pod/auth-service-88b4cd688-s7ssr                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 209ms (209ms including waiting). Image size: 129968897 bytes.
36m         Normal    Pulling                        pod/auth-service-88b4cd688-s7ssr                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
34m         Normal    Pulling                        pod/auth-service-88b4cd688-sxx2b                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
34m         Normal    SuccessfulCreate               replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-sxx2b
34m         Normal    Scheduled                      pod/auth-service-88b4cd688-sxx2b                                      Successfully assigned ecommerce/auth-service-88b4cd688-sxx2b to aks-userpool-16719200-vmss000011
34m         Normal    Started                        pod/auth-service-88b4cd688-sxx2b                                      Started container auth-service
34m         Normal    Created                        pod/auth-service-88b4cd688-sxx2b                                      Created container: auth-service
34m         Normal    Pulled                         pod/auth-service-88b4cd688-sxx2b                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 178ms (178ms including waiting). Image size: 129968897 bytes.
32m         Normal    ScalingReplicaSet              deployment/auth-service                                               Scaled down replica set auth-service-88b4cd688 from 5 to 3
32m         Normal    Killing                        pod/auth-service-88b4cd688-sxx2b                                      Stopping container auth-service
32m         Normal    Killing                        pod/auth-service-88b4cd688-s7ssr                                      Stopping container auth-service
31m         Normal    SuccessfulRescale              horizontalpodautoscaler/auth-service-hpa-tuned                        New size: 2; reason: All metrics below target
31m         Normal    Killing                        pod/auth-service-88b4cd688-tn5b9                                      Stopping container auth-service
31m         Normal    Scheduled                      pod/auth-service-88b4cd688-kwh2x                                      Successfully assigned ecommerce/auth-service-88b4cd688-kwh2x to aks-userpool-16719200-vmss000010
31m         Normal    Scheduled                      pod/auth-service-88b4cd688-t4m8s                                      Successfully assigned ecommerce/auth-service-88b4cd688-t4m8s to aks-userpool-16719200-vmss000011
