LAST SEEN   TYPE      REASON                         OBJECT                                                                MESSAGE
59m         Normal    Scheduled                      pod/k6-auth-test-oscillating-auth-service-h2-oscillating-rep1-2q8sv   Successfully assigned ecommerce/k6-auth-test-oscillating-auth-service-h2-oscillating-rep1-2q8sv to aks-userpool-16719200-vmss000010
59m         Normal    SuccessfulCreate               job/k6-auth-test-oscillating-auth-service-h2-oscillating-rep1         Created pod: k6-auth-test-oscillating-auth-service-h2-oscillating-rep1-2q8sv
59m         Normal    Pulling                        pod/k6-auth-test-oscillating-auth-service-h2-oscillating-rep1-2q8sv   Pulling image "grafana/k6:latest"
59m         Normal    Started                        pod/k6-auth-test-oscillating-auth-service-h2-oscillating-rep1-2q8sv   Started container k6
59m         Normal    Pulled                         pod/k6-auth-test-oscillating-auth-service-h2-oscillating-rep1-2q8sv   Successfully pulled image "grafana/k6:latest" in 1.47s (1.47s including waiting). Image size: 36750082 bytes.
59m         Normal    Created                        pod/k6-auth-test-oscillating-auth-service-h2-oscillating-rep1-2q8sv   Created container: k6
58m         Normal    SuccessfulRescale              horizontalpodautoscaler/auth-service-hpa-tuned                        New size: 4; reason: cpu resource utilization (percentage of request) above target
58m         Normal    SuccessfulCreate               replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-s7ssr
58m         Normal    Scheduled                      pod/auth-service-88b4cd688-6l5d2                                      Successfully assigned ecommerce/auth-service-88b4cd688-6l5d2 to aks-userpool-16719200-vmss000011
58m         Normal    Scheduled                      pod/auth-service-88b4cd688-tn5b9                                      Successfully assigned ecommerce/auth-service-88b4cd688-tn5b9 to aks-userpool-16719200-vmss000010
58m         Normal    Pulling                        pod/auth-service-88b4cd688-tn5b9                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
58m         Normal    Scheduled                      pod/auth-service-88b4cd688-s7ssr                                      Successfully assigned ecommerce/auth-service-88b4cd688-s7ssr to aks-userpool-16719200-vmss000011
58m         Normal    ScalingReplicaSet              deployment/auth-service                                               Scaled up replica set auth-service-88b4cd688 from 1 to 4
58m         Normal    SuccessfulCreate               replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-6l5d2
58m         Normal    Created                        pod/auth-service-88b4cd688-tn5b9                                      Created container: auth-service
58m         Normal    Created                        pod/auth-service-88b4cd688-s7ssr                                      Created container: auth-service
58m         Normal    Pulling                        pod/auth-service-88b4cd688-s7ssr                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
58m         Normal    Started                        pod/auth-service-88b4cd688-6l5d2                                      Started container auth-service
58m         Normal    Pulled                         pod/auth-service-88b4cd688-s7ssr                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 209ms (209ms including waiting). Image size: 129968897 bytes.
58m         Normal    Started                        pod/auth-service-88b4cd688-tn5b9                                      Started container auth-service
58m         Normal    Pulling                        pod/auth-service-88b4cd688-6l5d2                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
58m         Normal    Created                        pod/auth-service-88b4cd688-6l5d2                                      Created container: auth-service
58m         Normal    Pulled                         pod/auth-service-88b4cd688-tn5b9                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 219ms (219ms including waiting). Image size: 129968897 bytes.
58m         Normal    Pulled                         pod/auth-service-88b4cd688-6l5d2                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 246ms (246ms including waiting). Image size: 129968897 bytes.
58m         Normal    Started                        pod/auth-service-88b4cd688-s7ssr                                      Started container auth-service
56m         Normal    Pulling                        pod/auth-service-88b4cd688-sxx2b                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
56m         Normal    SuccessfulCreate               replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-sxx2b
56m         Normal    Scheduled                      pod/auth-service-88b4cd688-sxx2b                                      Successfully assigned ecommerce/auth-service-88b4cd688-sxx2b to aks-userpool-16719200-vmss000011
56m         Normal    Created                        pod/auth-service-88b4cd688-sxx2b                                      Created container: auth-service
56m         Normal    Pulled                         pod/auth-service-88b4cd688-sxx2b                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 178ms (178ms including waiting). Image size: 129968897 bytes.
56m         Normal    Started                        pod/auth-service-88b4cd688-sxx2b                                      Started container auth-service
54m         Normal    Killing                        pod/auth-service-88b4cd688-s7ssr                                      Stopping container auth-service
54m         Normal    Killing                        pod/auth-service-88b4cd688-sxx2b                                      Stopping container auth-service
54m         Normal    ScalingReplicaSet              deployment/auth-service                                               Scaled down replica set auth-service-88b4cd688 from 5 to 3
53m         Normal    Killing                        pod/auth-service-88b4cd688-tn5b9                                      Stopping container auth-service
53m         Normal    SuccessfulRescale              horizontalpodautoscaler/auth-service-hpa-tuned                        New size: 2; reason: All metrics below target
53m         Normal    Scheduled                      pod/auth-service-88b4cd688-t4m8s                                      Successfully assigned ecommerce/auth-service-88b4cd688-t4m8s to aks-userpool-16719200-vmss000011
53m         Normal    Scheduled                      pod/auth-service-88b4cd688-kwh2x                                      Successfully assigned ecommerce/auth-service-88b4cd688-kwh2x to aks-userpool-16719200-vmss000010
53m         Normal    Scheduled                      pod/auth-service-88b4cd688-rdggz                                      Successfully assigned ecommerce/auth-service-88b4cd688-rdggz to aks-userpool-16719200-vmss000011
53m         Normal    Created                        pod/auth-service-88b4cd688-kwh2x                                      Created container: auth-service
53m         Normal    Created                        pod/auth-service-88b4cd688-t4m8s                                      Created container: auth-service
53m         Normal    Started                        pod/auth-service-88b4cd688-kwh2x                                      Started container auth-service
53m         Normal    Pulling                        pod/auth-service-88b4cd688-rdggz                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
53m         Normal    Pulled                         pod/auth-service-88b4cd688-rdggz                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 256ms (256ms including waiting). Image size: 129968897 bytes.
53m         Normal    Created                        pod/auth-service-88b4cd688-rdggz                                      Created container: auth-service
53m         Normal    Pulled                         pod/auth-service-88b4cd688-kwh2x                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 107ms (107ms including waiting). Image size: 129968897 bytes.
53m         Normal    Started                        pod/auth-service-88b4cd688-rdggz                                      Started container auth-service
53m         Normal    Pulling                        pod/auth-service-88b4cd688-t4m8s                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
53m         Normal    Pulled                         pod/auth-service-88b4cd688-t4m8s                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 205ms (205ms including waiting). Image size: 129968897 bytes.
53m         Normal    Pulling                        pod/auth-service-88b4cd688-kwh2x                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
53m         Normal    Started                        pod/auth-service-88b4cd688-t4m8s                                      Started container auth-service
52m         Warning   Unhealthy                      pod/auth-service-88b4cd688-6l5d2                                      Readiness probe failed: Get "http://10.244.1.75:8001/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
51m         Normal    Killing                        pod/auth-service-88b4cd688-t4m8s                                      Stopping container auth-service
51m         Normal    SuccessfulDelete               replicaset/auth-service-88b4cd688                                     Deleted pod: auth-service-88b4cd688-t4m8s
50m         Normal    Scheduled                      pod/auth-service-88b4cd688-bgsd8                                      Successfully assigned ecommerce/auth-service-88b4cd688-bgsd8 to aks-userpool-16719200-vmss000011
50m         Normal    SuccessfulRescale              horizontalpodautoscaler/auth-service-hpa-tuned                        New size: 5; reason: cpu resource utilization (percentage of request) above target
50m         Normal    Created                        pod/auth-service-88b4cd688-bgsd8                                      Created container: auth-service
50m         Normal    Started                        pod/auth-service-88b4cd688-bgsd8                                      Started container auth-service
50m         Normal    Pulled                         pod/auth-service-88b4cd688-bgsd8                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 165ms (165ms including waiting). Image size: 129968897 bytes.
50m         Normal    Pulling                        pod/auth-service-88b4cd688-bgsd8                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
47m         Warning   BackoffLimitExceeded           job/k6-auth-test-oscillating-auth-service-h2-oscillating-rep1         Job has reached the specified backoff limit
47m         Normal    Killing                        pod/auth-service-88b4cd688-bgsd8                                      Stopping container auth-service
47m         Normal    SuccessfulRescale              horizontalpodautoscaler/auth-service-hpa-tuned                        New size: 4; reason: All metrics below target
46m         Normal    SuccessfulRescale              horizontalpodautoscaler/auth-service-hpa-tuned                        New size: 3; reason: All metrics below target
46m         Normal    Killing                        pod/auth-service-88b4cd688-kwh2x                                      Stopping container auth-service
46m         Normal    SuccessfulDelete               replicaset/auth-service-88b4cd688                                     Deleted pod: auth-service-88b4cd688-kwh2x
46m         Normal    Killing                        pod/auth-service-88b4cd688-rdggz                                      Stopping container auth-service
46m         Normal    Killing                        pod/auth-service-88b4cd688-6l5d2                                      Stopping container auth-service
46m         Normal    SuccessfulRescale              horizontalpodautoscaler/auth-service-hpa-tuned                        New size: 1; reason: All metrics below target
38m         Warning   FailedGetPodsMetric            horizontalpodautoscaler/auth-service-hpa-custom                       unable to get metric http_requests_per_second: unable to fetch metrics from custom metrics API: no known available metric versions found
38m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/auth-service-hpa-custom                       invalid metrics (1 invalid out of 1), first error is: failed to get pods metric value: unable to get metric http_requests_per_second: unable to fetch metrics from custom metrics API: no known available metric versions found
37m         Normal    Scheduled                      pod/k6-auth-test-gradual-auth-service-h3-gradual-rep1-2hth8           Successfully assigned ecommerce/k6-auth-test-gradual-auth-service-h3-gradual-rep1-2hth8 to aks-userpool-16719200-vmss000010
37m         Normal    SuccessfulCreate               job/k6-auth-test-gradual-auth-service-h3-gradual-rep1                 Created pod: k6-auth-test-gradual-auth-service-h3-gradual-rep1-2hth8
37m         Normal    Pulling                        pod/k6-auth-test-gradual-auth-service-h3-gradual-rep1-2hth8           Pulling image "grafana/k6:latest"
37m         Normal    Pulled                         pod/k6-auth-test-gradual-auth-service-h3-gradual-rep1-2hth8           Successfully pulled image "grafana/k6:latest" in 2.449s (2.449s including waiting). Image size: 36750082 bytes.
37m         Normal    Created                        pod/k6-auth-test-gradual-auth-service-h3-gradual-rep1-2hth8           Created container: k6
37m         Normal    Started                        pod/k6-auth-test-gradual-auth-service-h3-gradual-rep1-2hth8           Started container k6
36m         Normal    Scheduled                      pod/auth-service-88b4cd688-q9bjs                                      Successfully assigned ecommerce/auth-service-88b4cd688-q9bjs to aks-userpool-16719200-vmss000011
36m         Normal    SuccessfulRescale              horizontalpodautoscaler/auth-service-hpa-custom                       New size: 2; reason: pods metric http_requests_per_second above target
36m         Normal    SuccessfulCreate               replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-q9bjs
36m         Normal    Pulling                        pod/auth-service-88b4cd688-q9bjs                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
36m         Normal    Started                        pod/auth-service-88b4cd688-q9bjs                                      Started container auth-service
36m         Normal    Created                        pod/auth-service-88b4cd688-q9bjs                                      Created container: auth-service
36m         Normal    Pulled                         pod/auth-service-88b4cd688-q9bjs                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 258ms (258ms including waiting). Image size: 129968897 bytes.
36m         Normal    SuccessfulCreate               replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-765bl
36m         Normal    Scheduled                      pod/auth-service-88b4cd688-765bl                                      Successfully assigned ecommerce/auth-service-88b4cd688-765bl to aks-userpool-16719200-vmss000011
36m         Normal    SuccessfulRescale              horizontalpodautoscaler/auth-service-hpa-custom                       New size: 3; reason: pods metric http_requests_per_second above target
36m         Normal    Pulled                         pod/auth-service-88b4cd688-765bl                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 120ms (120ms including waiting). Image size: 129968897 bytes.
36m         Normal    Pulling                        pod/auth-service-88b4cd688-765bl                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
36m         Normal    Created                        pod/auth-service-88b4cd688-765bl                                      Created container: auth-service
36m         Normal    Started                        pod/auth-service-88b4cd688-765bl                                      Started container auth-service
33m         Normal    ScalingReplicaSet              deployment/auth-service                                               Scaled up replica set auth-service-88b4cd688 from 3 to 4
