LAST SEEN   TYPE      REASON                 OBJECT                                                                MESSAGE
59m         Normal    SuccessfulCreate       job/k6-auth-test-spike-auth-service-h3-spike-rep1                     Created pod: k6-auth-test-spike-auth-service-h3-spike-rep1-bj7r7
59m         Normal    Scheduled              pod/k6-auth-test-spike-auth-service-h3-spike-rep1-bj7r7               Successfully assigned ecommerce/k6-auth-test-spike-auth-service-h3-spike-rep1-bj7r7 to aks-userpool-16719200-vmss000010
59m         Normal    Pulling                pod/k6-auth-test-spike-auth-service-h3-spike-rep1-bj7r7               Pulling image "grafana/k6:latest"
59m         Normal    Pulled                 pod/k6-auth-test-spike-auth-service-h3-spike-rep1-bj7r7               Successfully pulled image "grafana/k6:latest" in 1.396s (1.396s including waiting). Image size: 36750082 bytes.
59m         Normal    Created                pod/k6-auth-test-spike-auth-service-h3-spike-rep1-bj7r7               Created container: k6
59m         Normal    Started                pod/k6-auth-test-spike-auth-service-h3-spike-rep1-bj7r7               Started container k6
59m         Normal    Pulled                 pod/auth-service-88b4cd688-lwdn8                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 255ms (255ms including waiting). Image size: 129968897 bytes.
59m         Normal    Scheduled              pod/auth-service-88b4cd688-lwdn8                                      Successfully assigned ecommerce/auth-service-88b4cd688-lwdn8 to aks-userpool-16719200-vmss000011
59m         Normal    SuccessfulRescale      horizontalpodautoscaler/auth-service-hpa-custom                       New size: 2; reason: pods metric http_requests_per_second above target
59m         Normal    SuccessfulCreate       replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-lwdn8
59m         Normal    Pulling                pod/auth-service-88b4cd688-lwdn8                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
59m         Normal    Started                pod/auth-service-88b4cd688-lwdn8                                      Started container auth-service
59m         Normal    Created                pod/auth-service-88b4cd688-lwdn8                                      Created container: auth-service
