LAST SEEN   TYPE      REASON                   OBJECT                                                           MESSAGE
13h         Normal    Killing                  pod/api-gateway-55bf47c6f6-tgnkc                                 Stopping container api-gateway
13h         Normal    Killing                  pod/product-service-6f66b9867b-sch2c                             Stopping container product-service
13h         Warning   FailedScheduling         pod/api-gateway-55bf47c6f6-fmc6z                                 0/3 nodes are available: 3 node(s) were unschedulable. preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
13h         Normal    SuccessfulCreate         replicaset/api-gateway-55bf47c6f6                                Created pod: api-gateway-55bf47c6f6-fmc6z
13h         Normal    SuccessfulCreate         replicaset/auth-service-6f76d48874                               Created pod: auth-service-6f76d48874-pjdd5
13h         Normal    Killing                  pod/auth-db-0                                                    Stopping container postgres
13h         Normal    Killing                  pod/auth-service-6f76d48874-vtqb6                                Stopping container auth-service
13h         Warning   FailedScheduling         pod/auth-service-6f76d48874-pjdd5                                0/3 nodes are available: 3 node(s) were unschedulable. preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
13h         Normal    Killing                  pod/order-db-0                                                   Stopping container postgres
13h         Warning   FailedScheduling         pod/product-service-6f66b9867b-bljpn                             0/3 nodes are available: 3 node(s) were unschedulable. preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
13h         Normal    SuccessfulCreate         replicaset/product-service-6f66b9867b                            Created pod: product-service-6f66b9867b-bljpn
13h         Normal    SuccessfulCreate         statefulset/auth-db                                              create Pod auth-db-0 in StatefulSet auth-db successful
13h         Warning   FailedScheduling         pod/order-db-0                                                   0/3 nodes are available: 3 node(s) were unschedulable. preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
13h         Normal    Killing                  pod/order-service-778787b555-gbp9j                               Stopping container order-service
13h         Normal    Killing                  pod/cart-service-7d7fdd477-r89b8                                 Stopping container cart-service
13h         Normal    SuccessfulCreate         replicaset/cart-service-7d7fdd477                                Created pod: cart-service-7d7fdd477-wzpw2
13h         Warning   FailedScheduling         pod/cart-service-7d7fdd477-wzpw2                                 0/3 nodes are available: 3 node(s) were unschedulable. preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
13h         Normal    SuccessfulCreate         statefulset/order-db                                             create Pod order-db-0 in StatefulSet order-db successful
13h         Warning   FailedScheduling         pod/auth-db-0                                                    0/3 nodes are available: 3 node(s) were unschedulable. preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
13h         Normal    Killing                  pod/redis-795dff8cc4-l8w52                                       Stopping container redis
13h         Normal    SuccessfulCreate         statefulset/product-db                                           create Pod product-db-0 in StatefulSet product-db successful
13h         Normal    SuccessfulCreate         replicaset/payment-service-78b57ddcc5                            Created pod: payment-service-78b57ddcc5-sfl5x
13h         Normal    SuccessfulCreate         replicaset/order-service-778787b555                              Created pod: order-service-778787b555-7t2cc
13h         Warning   FailedScheduling         pod/product-db-0                                                 0/3 nodes are available: 3 node(s) were unschedulable. preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
13h         Normal    Killing                  pod/product-db-0                                                 Stopping container postgres
13h         Warning   FailedScheduling         pod/redis-795dff8cc4-7j6tc                                       0/3 nodes are available: 3 node(s) were unschedulable. preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
13h         Normal    Killing                  pod/payment-service-78b57ddcc5-d72bs                             Stopping container payment-service
13h         Warning   FailedScheduling         pod/order-service-778787b555-7t2cc                               0/3 nodes are available: 3 node(s) were unschedulable. preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
