LAST SEEN   TYPE      REASON                 OBJECT                                                           MESSAGE
49m         Normal    SuccessfulCreate       replicaset/auth-service-88b4cd688                                Created pod: auth-service-88b4cd688-dztwq
49m         Normal    ScalingReplicaSet      deployment/redis                                                 Scaled up replica set redis-75df988755 from 0 to 1
49m         Normal    Scheduled              pod/api-gateway-c5fbb8f7f-k4qrb                                  Successfully assigned ecommerce/api-gateway-c5fbb8f7f-k4qrb to aks-userpool-16719200-vmss000010
49m         Normal    ScalingReplicaSet      deployment/product-service                                       Scaled up replica set product-service-646fd4c8b8 from 0 to 1
49m         Normal    ScalingReplicaSet      deployment/payment-service                                       Scaled up replica set payment-service-6ddc6f6fd6 from 0 to 1
49m         Normal    ScalingReplicaSet      deployment/order-service                                         Scaled up replica set order-service-65b877996 from 0 to 1
49m         Normal    ScalingReplicaSet      deployment/cart-service                                          Scaled up replica set cart-service-79cb5bdd58 from 0 to 1
49m         Normal    SuccessfulCreate       replicaset/api-gateway-c5fbb8f7f                                 Created pod: api-gateway-c5fbb8f7f-k4qrb
49m         Normal    ScalingReplicaSet      deployment/api-gateway                                           Scaled up replica set api-gateway-c5fbb8f7f from 0 to 1
49m         Normal    SuccessfulCreate       replicaset/cart-service-79cb5bdd58                               Created pod: cart-service-79cb5bdd58-bz2kl
49m         Normal    Scheduled              pod/cart-service-79cb5bdd58-bz2kl                                Successfully assigned ecommerce/cart-service-79cb5bdd58-bz2kl to aks-userpool-16719200-vmss000010
49m         Normal    ScalingReplicaSet      deployment/auth-service                                          Scaled up replica set auth-service-88b4cd688 from 0 to 1
49m         Normal    Scheduled              pod/auth-service-88b4cd688-dztwq                                 Successfully assigned ecommerce/auth-service-88b4cd688-dztwq to aks-userpool-16719200-vmss000010
49m         Normal    Scheduled              pod/product-service-646fd4c8b8-q7dm4                             Successfully assigned ecommerce/product-service-646fd4c8b8-q7dm4 to aks-userpool-16719200-vmss000010
49m         Normal    Started                pod/payment-service-6ddc6f6fd6-cclsh                             Started container payment-service
49m         Normal    Pulling                pod/order-service-65b877996-mxps9                                Pulling image "ecommerce.azurecr.io/order-service:latest"
49m         Normal    Scheduled              pod/order-service-65b877996-mxps9                                Successfully assigned ecommerce/order-service-65b877996-mxps9 to aks-userpool-16719200-vmss000010
49m         Normal    Pulling                pod/auth-service-88b4cd688-dztwq                                 Pulling image "ecommerce.azurecr.io/auth-service:latest"
49m         Normal    SuccessfulCreate       replicaset/order-service-65b877996                               Created pod: order-service-65b877996-mxps9
49m         Normal    SuccessfulCreate       replicaset/redis-75df988755                                      Created pod: redis-75df988755-7998w
49m         Normal    Started                pod/redis-75df988755-7998w                                       Started container redis
49m         Normal    Pulling                pod/cart-service-79cb5bdd58-bz2kl                                Pulling image "ecommerce.azurecr.io/cart-service:latest"
49m         Normal    Scheduled              pod/payment-service-6ddc6f6fd6-cclsh                             Successfully assigned ecommerce/payment-service-6ddc6f6fd6-cclsh to aks-userpool-16719200-vmss000010
49m         Normal    Pulled                 pod/payment-service-6ddc6f6fd6-cclsh                             Container image "ecommerce.azurecr.io/payment-service:latest" already present on machine
49m         Normal    Created                pod/payment-service-6ddc6f6fd6-cclsh                             Created container: payment-service
49m         Normal    Created                pod/redis-75df988755-7998w                                       Created container: redis
49m         Normal    SuccessfulCreate       replicaset/payment-service-6ddc6f6fd6                            Created pod: payment-service-6ddc6f6fd6-cclsh
