LAST SEEN   TYPE      REASON                 OBJECT                                                                MESSAGE
52m         Warning   Unhealthy              pod/product-service-646fd4c8b8-tsrzc                                  Readiness probe failed: Get "http://10.244.2.195:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
52m         Warning   Unhealthy              pod/product-service-646fd4c8b8-qxt9v                                  Readiness probe failed: Get "http://10.244.1.59:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
52m         Warning   Unhealthy              pod/product-service-646fd4c8b8-gh2v8                                  Readiness probe failed: Get "http://10.244.1.142:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
51m         Warning   Unhealthy              pod/product-service-646fd4c8b8-tqb4h                                  Readiness probe failed: Get "http://10.244.1.121:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
49m         Warning   BackoffLimitExceeded   job/k6-load-test-spike-product-service-b2-spike-rep1                  Job has reached the specified backoff limit
44m         Normal    SuccessfulDelete       replicaset/product-service-646fd4c8b8                                 Deleted pod: product-service-646fd4c8b8-gh2v8
44m         Normal    Killing                pod/product-service-646fd4c8b8-tqb4h                                  Stopping container product-service
44m         Normal    SuccessfulDelete       replicaset/product-service-646fd4c8b8                                 Deleted pod: product-service-646fd4c8b8-tqb4h
44m         Normal    SuccessfulDelete       replicaset/product-service-646fd4c8b8                                 Deleted pod: product-service-646fd4c8b8-qxt9v
44m         Normal    SuccessfulDelete       replicaset/product-service-646fd4c8b8                                 Deleted pod: product-service-646fd4c8b8-tsrzc
44m         Normal    Killing                pod/product-service-646fd4c8b8-gh2v8                                  Stopping container product-service
44m         Normal    Killing                pod/product-service-646fd4c8b8-qxt9v                                  Stopping container product-service
44m         Normal    Killing                pod/product-service-646fd4c8b8-tsrzc                                  Stopping container product-service
42m         Normal    SuccessfulCreate       replicaset/product-service-646fd4c8b8                                 Created pod: product-service-646fd4c8b8-xgskx
42m         Normal    SuccessfulCreate       replicaset/product-service-646fd4c8b8                                 Created pod: product-service-646fd4c8b8-hfrlv
