LAST SEEN   TYPE      REASON                 OBJECT                                                             MESSAGE
56m         Normal    Started                pod/product-db-0                                                   Started container postgres
56m         Normal    Created                pod/product-db-0                                                   Created container: postgres
56m         Normal    Pulled                 pod/product-db-0                                                   Container image "postgres:15-alpine" already present on machine
56m         Warning   Unhealthy              pod/product-service-646fd4c8b8-hfrlv                               Readiness probe failed: HTTP probe failed with statuscode: 503
56m         Warning   Unhealthy              pod/product-service-646fd4c8b8-9mxm4                               Readiness probe failed: HTTP probe failed with statuscode: 503
56m         Warning   Unhealthy              pod/product-service-646fd4c8b8-xgskx                               Readiness probe failed: HTTP probe failed with statuscode: 503
56m         Warning   Unhealthy              pod/product-service-646fd4c8b8-hd6wz                               Readiness probe failed: HTTP probe failed with statuscode: 503
51m         Warning   Unhealthy              pod/product-service-646fd4c8b8-hfrlv                               Readiness probe failed: Get "http://10.244.2.186:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
51m         Warning   Unhealthy              pod/product-service-646fd4c8b8-hd6wz                               Readiness probe failed: Get "http://10.244.1.218:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
51m         Warning   Unhealthy              pod/product-service-646fd4c8b8-9mxm4                               Readiness probe failed: Get "http://10.244.1.18:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
51m         Warning   Unhealthy              pod/product-service-646fd4c8b8-xgskx                               Readiness probe failed: Get "http://10.244.1.249:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
50m         Warning   Unhealthy              pod/product-db-0                                                   Readiness probe failed: command timed out: "pg_isready -U product_user -d product_db" timed out after 1s
49m         Warning   BackoffLimitExceeded   job/k6-load-test-oscillating-product-service-b2-oscillating-rep1   Job has reached the specified backoff limit
44m         Normal    Killing                pod/product-service-646fd4c8b8-hfrlv                               Stopping container product-service
44m         Normal    ScalingReplicaSet      deployment/product-service                                         Scaled down replica set product-service-646fd4c8b8 from 5 to 1
44m         Normal    SuccessfulDelete       replicaset/product-service-646fd4c8b8                              Deleted pod: product-service-646fd4c8b8-hd6wz
44m         Normal    SuccessfulDelete       replicaset/product-service-646fd4c8b8                              Deleted pod: product-service-646fd4c8b8-9mxm4
44m         Normal    SuccessfulDelete       replicaset/product-service-646fd4c8b8                              Deleted pod: product-service-646fd4c8b8-xgskx
44m         Normal    SuccessfulDelete       replicaset/product-service-646fd4c8b8                              Deleted pod: product-service-646fd4c8b8-hfrlv
44m         Normal    Killing                pod/product-service-646fd4c8b8-9mxm4                               Stopping container product-service
44m         Normal    Killing                pod/product-service-646fd4c8b8-xgskx                               Stopping container product-service
44m         Normal    Killing                pod/product-service-646fd4c8b8-hd6wz                               Stopping container product-service
43m         Warning   Unhealthy              pod/product-service-646fd4c8b8-xgskx                               Readiness probe failed: Get "http://10.244.1.249:8002/ready": dial tcp 10.244.1.249:8002: connect: connection refused
40m         Normal    Scheduled              pod/k6-load-test-gradual-product-service-h1-gradual-rep1-bntlq     Successfully assigned ecommerce/k6-load-test-gradual-product-service-h1-gradual-rep1-bntlq to aks-userpool-16719200-vmss000011
40m         Normal    SuccessfulCreate       job/k6-load-test-gradual-product-service-h1-gradual-rep1           Created pod: k6-load-test-gradual-product-service-h1-gradual-rep1-bntlq
40m         Normal    Pulling                pod/k6-load-test-gradual-product-service-h1-gradual-rep1-bntlq     Pulling image "grafana/k6:latest"
40m         Normal    Created                pod/k6-load-test-gradual-product-service-h1-gradual-rep1-bntlq     Created container: k6
40m         Normal    Pulled                 pod/k6-load-test-gradual-product-service-h1-gradual-rep1-bntlq     Successfully pulled image "grafana/k6:latest" in 1.423s (1.423s including waiting). Image size: 36750082 bytes.
40m         Normal    Started                pod/k6-load-test-gradual-product-service-h1-gradual-rep1-bntlq     Started container k6
27m         Warning   BackoffLimitExceeded   job/k6-load-test-gradual-product-service-h1-gradual-rep1           Job has reached the specified backoff limit
18m         Normal    Scheduled              pod/k6-load-test-spike-product-service-h1-spike-rep1-kzgbz         Successfully assigned ecommerce/k6-load-test-spike-product-service-h1-spike-rep1-kzgbz to aks-userpool-16719200-vmss000011
18m         Normal    SuccessfulCreate       job/k6-load-test-spike-product-service-h1-spike-rep1               Created pod: k6-load-test-spike-product-service-h1-spike-rep1-kzgbz
18m         Normal    Pulling                pod/k6-load-test-spike-product-service-h1-spike-rep1-kzgbz         Pulling image "grafana/k6:latest"
18m         Normal    Pulled                 pod/k6-load-test-spike-product-service-h1-spike-rep1-kzgbz         Successfully pulled image "grafana/k6:latest" in 1.466s (1.466s including waiting). Image size: 36750082 bytes.
18m         Normal    Created                pod/k6-load-test-spike-product-service-h1-spike-rep1-kzgbz         Created container: k6
18m         Normal    Started                pod/k6-load-test-spike-product-service-h1-spike-rep1-kzgbz         Started container k6
7m54s       Warning   Unhealthy              pod/product-service-646fd4c8b8-q7dm4                               Readiness probe failed: Get "http://10.244.2.183:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
5m40s       Warning   BackoffLimitExceeded   job/k6-load-test-spike-product-service-h1-spike-rep1               Job has reached the specified backoff limit
