LAST SEEN   TYPE      REASON                 OBJECT                                                                MESSAGE
60m         Normal    SuccessfulDelete       replicaset/product-service-646fd4c8b8                                 Deleted pod: product-service-646fd4c8b8-dwgv9
60m         Warning   Unhealthy              pod/product-service-646fd4c8b8-dwgv9                                  Readiness probe failed: Get "http://10.244.2.156:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
59m         Warning   Unhealthy              pod/product-service-646fd4c8b8-dwgv9                                  Readiness probe failed: Get "http://10.244.2.156:8002/ready": dial tcp 10.244.2.156:8002: connect: connection refused
59m         Normal    Created                pod/product-service-646fd4c8b8-zfgk5                                  Created container: product-service
59m         Normal    SuccessfulCreate       replicaset/product-service-646fd4c8b8                                 Created pod: product-service-646fd4c8b8-zfgk5
59m         Normal    SuccessfulRescale      horizontalpodautoscaler/product-service-hpa-custom                    New size: 3; reason: pods metric http_requests_per_second above target
59m         Normal    Scheduled              pod/product-service-646fd4c8b8-zfgk5                                  Successfully assigned ecommerce/product-service-646fd4c8b8-zfgk5 to aks-userpool-16719200-vmss000010
59m         Normal    Pulling                pod/product-service-646fd4c8b8-zfgk5                                  Pulling image "ecommerce.azurecr.io/product-service:latest"
59m         Normal    Pulled                 pod/product-service-646fd4c8b8-zfgk5                                  Successfully pulled image "ecommerce.azurecr.io/product-service:latest" in 173ms (173ms including waiting). Image size: 114682246 bytes.
59m         Normal    Started                pod/product-service-646fd4c8b8-zfgk5                                  Started container product-service
59m         Normal    Scheduled              pod/product-service-646fd4c8b8-gg8rr                                  Successfully assigned ecommerce/product-service-646fd4c8b8-gg8rr to aks-userpool-16719200-vmss000010
59m         Normal    Started                pod/product-service-646fd4c8b8-vng5q                                  Started container product-service
59m         Normal    SuccessfulCreate       replicaset/product-service-646fd4c8b8                                 Created pod: product-service-646fd4c8b8-gg8rr
59m         Normal    ScalingReplicaSet      deployment/product-service                                            Scaled up replica set product-service-646fd4c8b8 from 3 to 5
59m         Normal    SuccessfulCreate       replicaset/product-service-646fd4c8b8                                 Created pod: product-service-646fd4c8b8-vng5q
59m         Normal    Started                pod/product-service-646fd4c8b8-gg8rr                                  Started container product-service
59m         Normal    Created                pod/product-service-646fd4c8b8-gg8rr                                  Created container: product-service
59m         Normal    Pulling                pod/product-service-646fd4c8b8-gg8rr                                  Pulling image "ecommerce.azurecr.io/product-service:latest"
59m         Normal    Pulled                 pod/product-service-646fd4c8b8-gg8rr                                  Successfully pulled image "ecommerce.azurecr.io/product-service:latest" in 132ms (132ms including waiting). Image size: 114682246 bytes.
