TIMESTAMP	TYPE	REASON	OBJECT	MESSAGE
2026-05-05T04:03:23Z	Normal	SuccessfulCreate	job/k6-auth-test-oscillating-auth-service-h3-oscillating-rep1	Created pod: k6-auth-test-oscillating-auth-service-h3-oscillating-rep1-vbrz9
2026-05-05T04:03:23Z	Normal	Scheduled	pod/k6-auth-test-oscillating-auth-service-h3-oscillating-rep1-vbrz9	Successfully assigned ecommerce/k6-auth-test-oscillating-auth-service-h3-oscillating-rep1-vbrz9 to aks-userpool-16719200-vmss00001l
2026-05-05T04:03:24Z	Normal	Pulling	pod/k6-auth-test-oscillating-auth-service-h3-oscillating-rep1-vbrz9	Pulling image "grafana/k6:latest"
2026-05-05T04:03:25Z	Normal	Pulled	pod/k6-auth-test-oscillating-auth-service-h3-oscillating-rep1-vbrz9	Successfully pulled image "grafana/k6:latest" in 1.45s (1.45s including waiting). Image size: 33688197 bytes.
2026-05-05T04:03:25Z	Normal	Created	pod/k6-auth-test-oscillating-auth-service-h3-oscillating-rep1-vbrz9	Created container: k6
2026-05-05T04:03:25Z	Normal	Started	pod/k6-auth-test-oscillating-auth-service-h3-oscillating-rep1-vbrz9	Started container k6
2026-05-05T04:04:14Z	Normal	Pulling	pod/auth-service-55bd95c686-trsz6	Pulling image "ecommerce.azurecr.io/auth-service:latest"
2026-05-05T04:04:14Z	Normal	SuccessfulCreate	replicaset/auth-service-55bd95c686	Created pod: auth-service-55bd95c686-trsz6
2026-05-05T04:04:14Z	Normal	SuccessfulRescale	horizontalpodautoscaler/auth-service-hpa-custom	New size: 2; reason: pods metric http_requests_per_second above target
2026-05-05T04:04:14Z	Normal	ScalingReplicaSet	deployment/auth-service	Scaled up replica set auth-service-55bd95c686 from 1 to 2
2026-05-05T04:04:14Z	Normal	Scheduled	pod/auth-service-55bd95c686-trsz6	Successfully assigned ecommerce/auth-service-55bd95c686-trsz6 to aks-userpool-16719200-vmss00001l
2026-05-05T04:04:15Z	Normal	Pulled	pod/auth-service-55bd95c686-trsz6	Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 239ms (239ms including waiting). Image size: 129975007 bytes.
2026-05-05T04:04:15Z	Normal	Created	pod/auth-service-55bd95c686-trsz6	Created container: auth-service
2026-05-05T04:04:15Z	Normal	Started	pod/auth-service-55bd95c686-trsz6	Started container auth-service
2026-05-05T04:04:44Z	Normal	Pulling	pod/auth-service-55bd95c686-5dms6	Pulling image "ecommerce.azurecr.io/auth-service:latest"
