TIMESTAMP	TYPE	REASON	OBJECT	MESSAGE
2026-05-05T03:43:46Z	Normal	Pulling	pod/k6-auth-test-spike-auth-service-h3-spike-rep1-bb8pq	Pulling image "grafana/k6:latest"
2026-05-05T03:43:46Z	Normal	SuccessfulCreate	job/k6-auth-test-spike-auth-service-h3-spike-rep1	Created pod: k6-auth-test-spike-auth-service-h3-spike-rep1-bb8pq
2026-05-05T03:43:46Z	Normal	Scheduled	pod/k6-auth-test-spike-auth-service-h3-spike-rep1-bb8pq	Successfully assigned ecommerce/k6-auth-test-spike-auth-service-h3-spike-rep1-bb8pq to aks-userpool-16719200-vmss00001l
2026-05-05T03:43:48Z	Normal	Pulled	pod/k6-auth-test-spike-auth-service-h3-spike-rep1-bb8pq	Successfully pulled image "grafana/k6:latest" in 1.397s (1.397s including waiting). Image size: 33688197 bytes.
2026-05-05T03:43:48Z	Normal	Created	pod/k6-auth-test-spike-auth-service-h3-spike-rep1-bb8pq	Created container: k6
2026-05-05T03:43:48Z	Normal	Started	pod/k6-auth-test-spike-auth-service-h3-spike-rep1-bb8pq	Started container k6
2026-05-05T03:44:36Z	Normal	SuccessfulCreate	replicaset/auth-service-55bd95c686	Created pod: auth-service-55bd95c686-tdck4
2026-05-05T03:44:36Z	Normal	SuccessfulRescale	horizontalpodautoscaler/auth-service-hpa-custom	New size: 2; reason: pods metric http_requests_per_second above target
2026-05-05T03:44:36Z	Normal	ScalingReplicaSet	deployment/auth-service	Scaled up replica set auth-service-55bd95c686 from 1 to 2
2026-05-05T03:44:36Z	Normal	Scheduled	pod/auth-service-55bd95c686-tdck4	Successfully assigned ecommerce/auth-service-55bd95c686-tdck4 to aks-userpool-16719200-vmss00001l
2026-05-05T03:44:37Z	Normal	Pulling	pod/auth-service-55bd95c686-tdck4	Pulling image "ecommerce.azurecr.io/auth-service:latest"
2026-05-05T03:44:37Z	Normal	Pulled	pod/auth-service-55bd95c686-tdck4	Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 197ms (197ms including waiting). Image size: 129975007 bytes.
