TIMESTAMP	TYPE	REASON	OBJECT	MESSAGE
2026-05-07T12:42:57Z	Normal	KEDAScalersStarted	scaledobject/shipping-rate-service-keda	Scaler prometheus is built
2026-05-07T12:43:58Z	Normal	KEDAScalersStopped	scaledobject/shipping-rate-service-keda	Stopped scalers watch
2026-05-07T12:43:58Z	Warning	ScaledObjectDeleted	scaledobject/shipping-rate-service-keda	ScaledObject was deleted
2026-05-07T12:43:59Z	Normal	Killing	pod/shipping-rate-service-68467f5cb-c5pqs	Stopping container shipping-rate-service
2026-05-07T12:43:59Z	Normal	Killing	pod/shipping-rate-service-68467f5cb-tbdfj	Stopping container shipping-rate-service
2026-05-07T12:43:59Z	Warning	Unhealthy	pod/shipping-rate-service-68467f5cb-tbdfj	Readiness probe failed: Get "http://10.244.1.75:8006/ready": dial tcp 10.244.1.75:8006: connect: connection refused
2026-05-07T12:43:59Z	Normal	SuccessfulDelete	replicaset/shipping-rate-service-68467f5cb	Deleted pod: shipping-rate-service-68467f5cb-tbdfj
2026-05-07T12:43:59Z	Normal	SuccessfulDelete	replicaset/shipping-rate-service-68467f5cb	Deleted pod: shipping-rate-service-68467f5cb-c5pqs
2026-05-07T12:43:59Z	Normal	ScalingReplicaSet	deployment/shipping-rate-service	Scaled down replica set shipping-rate-service-68467f5cb from 3 to 1
2026-05-07T12:46:07Z	Normal	KEDAScalersStarted	scaledobject/shipping-rate-service-keda	Scaler prometheus is built
2026-05-07T12:46:07Z	Normal	KEDAScalersStarted	scaledobject/shipping-rate-service-keda	Started scalers watch
2026-05-07T12:46:07Z	Normal	ScaledObjectReady	scaledobject/shipping-rate-service-keda	ScaledObject is ready for scaling
2026-05-07T12:47:46Z	Normal	SuccessfulCreate	job/k6-shipping-test-spike-shipping-rate-service-k1-spike-rep3	Created pod: k6-shipping-test-spike-shipping-rate-service-k1-spike-rep3dvx6b
2026-05-07T12:47:46Z	Normal	Scheduled	pod/k6-shipping-test-spike-shipping-rate-service-k1-spike-rep3dvx6b	Successfully assigned ecommerce/k6-shipping-test-spike-shipping-rate-service-k1-spike-rep3dvx6b to aks-userpool-16719200-vmss00001o
2026-05-07T12:47:47Z	Normal	Pulled	pod/k6-shipping-test-spike-shipping-rate-service-k1-spike-rep3dvx6b	Container image "grafana/k6:0.46.0" already present on machine
2026-05-07T12:47:47Z	Normal	Created	pod/k6-shipping-test-spike-shipping-rate-service-k1-spike-rep3dvx6b	Created container: k6
2026-05-07T12:47:47Z	Normal	Started	pod/k6-shipping-test-spike-shipping-rate-service-k1-spike-rep3dvx6b	Started container k6
2026-05-07T12:50:07Z	Normal	SuccessfulRescale	horizontalpodautoscaler/keda-hpa-shipping-rate-service-keda	New size: 2; reason: external metric s0-prometheus(&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: shipping-rate-service-keda,},MatchExpressions:[]LabelSelectorRequirement{},}) above target
2026-05-07T12:50:07Z	Normal	SuccessfulCreate	replicaset/shipping-rate-service-68467f5cb	Created pod: shipping-rate-service-68467f5cb-4zrhv
2026-05-07T12:50:07Z	Normal	ScalingReplicaSet	deployment/shipping-rate-service	Scaled up replica set shipping-rate-service-68467f5cb from 1 to 2
2026-05-07T12:50:07Z	Normal	Scheduled	pod/shipping-rate-service-68467f5cb-4zrhv	Successfully assigned ecommerce/shipping-rate-service-68467f5cb-4zrhv to aks-userpool-16719200-vmss00001o
2026-05-07T12:50:08Z	Normal	Pulling	pod/shipping-rate-service-68467f5cb-4zrhv	Pulling image "ecommerce.azurecr.io/shipping-rate-service:latest"
2026-05-07T12:50:08Z	Normal	Pulled	pod/shipping-rate-service-68467f5cb-4zrhv	Successfully pulled image "ecommerce.azurecr.io/shipping-rate-service:latest" in 266ms (266ms including waiting). Image size: 61321205 bytes.
2026-05-07T12:50:08Z	Normal	Created	pod/shipping-rate-service-68467f5cb-4zrhv	Created container: shipping-rate-service
2026-05-07T12:50:08Z	Normal	Started	pod/shipping-rate-service-68467f5cb-4zrhv	Started container shipping-rate-service
2026-05-07T12:58:23Z	Normal	SuccessfulRescale	horizontalpodautoscaler/keda-hpa-shipping-rate-service-keda	New size: 3; reason: external metric s0-prometheus(&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: shipping-rate-service-keda,},MatchExpressions:[]LabelSelectorRequirement{},}) above target
2026-05-07T12:58:23Z	Normal	SuccessfulCreate	replicaset/shipping-rate-service-68467f5cb	Created pod: shipping-rate-service-68467f5cb-dhfbh
2026-05-07T12:58:23Z	Normal	ScalingReplicaSet	deployment/shipping-rate-service	Scaled up replica set shipping-rate-service-68467f5cb from 2 to 3
2026-05-07T12:58:23Z	Normal	Scheduled	pod/shipping-rate-service-68467f5cb-dhfbh	Successfully assigned ecommerce/shipping-rate-service-68467f5cb-dhfbh to aks-userpool-16719200-vmss00001o
2026-05-07T12:58:24Z	Normal	Pulling	pod/shipping-rate-service-68467f5cb-dhfbh	Pulling image "ecommerce.azurecr.io/shipping-rate-service:latest"
2026-05-07T12:58:24Z	Normal	Pulled	pod/shipping-rate-service-68467f5cb-dhfbh	Successfully pulled image "ecommerce.azurecr.io/shipping-rate-service:latest" in 215ms (215ms including waiting). Image size: 61321205 bytes.
2026-05-07T12:58:24Z	Normal	Created	pod/shipping-rate-service-68467f5cb-dhfbh	Created container: shipping-rate-service
2026-05-07T12:58:24Z	Normal	Started	pod/shipping-rate-service-68467f5cb-dhfbh	Started container shipping-rate-service
2026-05-07T12:59:53Z	Warning	BackoffLimitExceeded	job/k6-shipping-test-spike-shipping-rate-service-k1-spike-rep3	Job has reached the specified backoff limit
