LAST SEEN   TYPE      REASON                 OBJECT                                                        MESSAGE
54m         Normal    SuccessfulCreate       job/k6-auth-test-gradual-auth-service-h1-gradual-rep1         Created pod: k6-auth-test-gradual-auth-service-h1-gradual-rep1-xcpkf
54m         Normal    Scheduled              pod/k6-auth-test-gradual-auth-service-h1-gradual-rep1-xcpkf   Successfully assigned ecommerce/k6-auth-test-gradual-auth-service-h1-gradual-rep1-xcpkf to aks-userpool-16719200-vmss00000w
54m         Normal    Pulling                pod/k6-auth-test-gradual-auth-service-h1-gradual-rep1-xcpkf   Pulling image "grafana/k6:latest"
54m         Normal    Pulled                 pod/k6-auth-test-gradual-auth-service-h1-gradual-rep1-xcpkf   Successfully pulled image "grafana/k6:latest" in 1.479s (1.479s including waiting). Image size: 36750082 bytes.
54m         Normal    Created                pod/k6-auth-test-gradual-auth-service-h1-gradual-rep1-xcpkf   Created container: k6
54m         Normal    Started                pod/k6-auth-test-gradual-auth-service-h1-gradual-rep1-xcpkf   Started container k6
54m         Normal    Scheduled              pod/auth-service-7d65757ddb-xv69j                             Successfully assigned ecommerce/auth-service-7d65757ddb-xv69j to aks-userpool-16719200-vmss00000w
54m         Normal    ScalingReplicaSet      deployment/auth-service                                       Scaled up replica set auth-service-7d65757ddb from 1 to 2
54m         Normal    SuccessfulRescale      horizontalpodautoscaler/auth-service-hpa-default              New size: 2; reason: cpu resource utilization (percentage of request) above target
54m         Normal    SuccessfulCreate       replicaset/auth-service-7d65757ddb                            Created pod: auth-service-7d65757ddb-xv69j
54m         Normal    Started                pod/auth-service-7d65757ddb-xv69j                             Started container auth-service
54m         Normal    Created                pod/auth-service-7d65757ddb-xv69j                             Created container: auth-service
54m         Normal    Pulled                 pod/auth-service-7d65757ddb-xv69j                             Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 231ms (231ms including waiting). Image size: 129968897 bytes.
54m         Normal    Pulling                pod/auth-service-7d65757ddb-xv69j                             Pulling image "ecommerce.azurecr.io/auth-service:latest"
