LAST SEEN   TYPE      REASON                         OBJECT                                                        MESSAGE
59m         Normal    SuccessfulCreate               job/k6-auth-test-gradual-auth-service-h3-gradual-rep1         Created pod: k6-auth-test-gradual-auth-service-h3-gradual-rep1-8zh45
59m         Normal    Scheduled                      pod/k6-auth-test-gradual-auth-service-h3-gradual-rep1-8zh45   Successfully assigned ecommerce/k6-auth-test-gradual-auth-service-h3-gradual-rep1-8zh45 to aks-userpool-16719200-vmss00000w
59m         Normal    Pulling                        pod/k6-auth-test-gradual-auth-service-h3-gradual-rep1-8zh45   Pulling image "grafana/k6:latest"
59m         Normal    Started                        pod/k6-auth-test-gradual-auth-service-h3-gradual-rep1-8zh45   Started container k6
59m         Normal    Created                        pod/k6-auth-test-gradual-auth-service-h3-gradual-rep1-8zh45   Created container: k6
59m         Normal    Pulled                         pod/k6-auth-test-gradual-auth-service-h3-gradual-rep1-8zh45   Successfully pulled image "grafana/k6:latest" in 5.076s (5.076s including waiting). Image size: 36750082 bytes.
55m         Normal    Pulled                         pod/auth-service-64775fd5c7-fqc42                             Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 339ms (339ms including waiting). Image size: 129941761 bytes.
54m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/auth-service-hpa-custom               invalid metrics (1 invalid out of 1), first error is: failed to get pods metric value: unable to get metric http_requests_per_second: no metrics returned from custom metrics API
53m         Warning   Unhealthy                      pod/auth-service-64775fd5c7-fqc42                             Readiness probe failed: Get "http://10.244.0.200:8001/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
52m         Normal    Pulled                         pod/auth-service-64775fd5c7-fqc42                             Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 298ms (299ms including waiting). Image size: 129941761 bytes.
49m         Normal    Pulled                         pod/auth-service-64775fd5c7-fqc42                             Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 244ms (244ms including waiting). Image size: 129941761 bytes.
48m         Warning   Unhealthy                      pod/auth-service-64775fd5c7-fqc42                             Liveness probe failed: Get "http://10.244.0.200:8001/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
48m         Warning   FailedGetPodsMetric            horizontalpodautoscaler/auth-service-hpa-custom               unable to get metric http_requests_per_second: no metrics returned from custom metrics API
47m         Normal    Killing                        pod/auth-service-64775fd5c7-fqc42                             Container auth-service failed liveness probe, will be restarted
47m         Normal    Pulling                        pod/auth-service-64775fd5c7-fqc42                             Pulling image "ecommerce.azurecr.io/auth-service:latest"
47m         Normal    Pulled                         pod/auth-service-64775fd5c7-fqc42                             Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 236ms (236ms including waiting). Image size: 129941761 bytes.
47m         Normal    Started                        pod/auth-service-64775fd5c7-fqc42                             Started container auth-service
47m         Normal    Created                        pod/auth-service-64775fd5c7-fqc42                             Created container: auth-service
46m         Warning   BackoffLimitExceeded           job/k6-auth-test-gradual-auth-service-h3-gradual-rep1         Job has reached the specified backoff limit
24m         Normal    Scheduled                      pod/auth-service-7d65757ddb-p9sz8                             Successfully assigned ecommerce/auth-service-7d65757ddb-p9sz8 to aks-userpool-16719200-vmss00000w
24m         Normal    SuccessfulCreate               replicaset/auth-service-7d65757ddb                            Created pod: auth-service-7d65757ddb-p9sz8
24m         Normal    ScalingReplicaSet              deployment/auth-service                                       Scaled up replica set auth-service-7d65757ddb from 0 to 1
24m         Normal    Pulled                         pod/auth-service-7d65757ddb-p9sz8                             Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 4.383s (4.383s including waiting). Image size: 129968897 bytes.
24m         Normal    SuccessfulDelete               replicaset/auth-service-64775fd5c7                            Deleted pod: auth-service-64775fd5c7-fqc42
24m         Normal    ScalingReplicaSet              deployment/auth-service                                       Scaled down replica set auth-service-64775fd5c7 from 1 to 0
24m         Normal    Killing                        pod/auth-service-64775fd5c7-fqc42                             Stopping container auth-service
18m         Normal    SuccessfulCreate               job/k6-auth-test-gradual-auth-service-h3-gradual-rep1         Created pod: k6-auth-test-gradual-auth-service-h3-gradual-rep1-pd8fr
18m         Normal    Pulling                        pod/k6-auth-test-gradual-auth-service-h3-gradual-rep1-pd8fr   Pulling image "grafana/k6:latest"
18m         Normal    Scheduled                      pod/k6-auth-test-gradual-auth-service-h3-gradual-rep1-pd8fr   Successfully assigned ecommerce/k6-auth-test-gradual-auth-service-h3-gradual-rep1-pd8fr to aks-userpool-16719200-vmss00000w
18m         Normal    Started                        pod/k6-auth-test-gradual-auth-service-h3-gradual-rep1-pd8fr   Started container k6
18m         Normal    Pulled                         pod/k6-auth-test-gradual-auth-service-h3-gradual-rep1-pd8fr   Successfully pulled image "grafana/k6:latest" in 2.473s (2.473s including waiting). Image size: 36750082 bytes.
18m         Normal    Created                        pod/k6-auth-test-gradual-auth-service-h3-gradual-rep1-pd8fr   Created container: k6
14m         Warning   Unhealthy                      pod/auth-service-7d65757ddb-p9sz8                             Readiness probe failed: Get "http://10.244.1.85:8001/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
13m         Normal    Pulled                         pod/auth-service-7d65757ddb-p9sz8                             Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 211ms (211ms including waiting). Image size: 129968897 bytes.
13m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/auth-service-hpa-custom               invalid metrics (1 invalid out of 1), first error is: failed to get pods metric value: unable to get metric http_requests_per_second: no metrics returned from custom metrics API
11m         Normal    Pulled                         pod/auth-service-7d65757ddb-p9sz8                             Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 185ms (185ms including waiting). Image size: 129968897 bytes.
7m17s       Warning   Unhealthy                      pod/auth-service-7d65757ddb-p9sz8                             Liveness probe failed: Get "http://10.244.1.85:8001/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
6m56s       Warning   FailedGetPodsMetric            horizontalpodautoscaler/auth-service-hpa-custom               unable to get metric http_requests_per_second: no metrics returned from custom metrics API
5m57s       Normal    Killing                        pod/auth-service-7d65757ddb-p9sz8                             Container auth-service failed liveness probe, will be restarted
5m41s       Normal    Started                        pod/auth-service-7d65757ddb-p9sz8                             Started container auth-service
5m41s       Normal    Pulling                        pod/auth-service-7d65757ddb-p9sz8                             Pulling image "ecommerce.azurecr.io/auth-service:latest"
5m41s       Normal    Pulled                         pod/auth-service-7d65757ddb-p9sz8                             Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 151ms (151ms including waiting). Image size: 129968897 bytes.
5m41s       Normal    Created                        pod/auth-service-7d65757ddb-p9sz8                             Created container: auth-service
5m19s       Warning   BackoffLimitExceeded           job/k6-auth-test-gradual-auth-service-h3-gradual-rep1         Job has reached the specified backoff limit
