service,scope,config,pattern,run_id,duration_seconds,p95_ms,error_rate,avg_rps,http_reqs_total,dropped_iterations,max_replicas,max_ready_replicas,scaling_changes,cost_musd,latency_capped,foreign_k6_job_count,foreign_k6_jobs,early_ready_contamination
shipping-rate-service,core,b1,gradual,shipping-rate-service_b1_gradual_rep1,1266,5180.0,0.0,25.322309,18246.0,0,1.0,1.0,0,3.583333333333333,False,0,,False
shipping-rate-service,core,b1,spike,shipping-rate-service_b1_spike_rep1,1220,5200.0,0.0,19.132041,13781.0,0,1.0,1.0,0,3.583333333333333,False,0,,False
shipping-rate-service,core,b1,oscillating,shipping-rate-service_b1_oscillating_rep1,1176,5100.0,0.0,19.593555,14115.0,0,1.0,1.0,0,3.448958333333333,False,0,,False
shipping-rate-service,core,b2,gradual,shipping-rate-service_b2_gradual_rep1,1205,916.03,0.0,61.643948,44403.0,0,5.0,5.0,1,15.990624999999998,False,0,,False
shipping-rate-service,core,b2,spike,shipping-rate-service_b2_spike_rep1,1200,916.77,0.0,81.746572,58881.0,0,5.0,5.0,2,16.08020833333333,False,0,,True
shipping-rate-service,core,b2,oscillating,shipping-rate-service_b2_oscillating_rep1,1196,916.67,0.0,57.156021,41171.0,0,5.0,5.0,2,16.08020833333333,False,0,,True
shipping-rate-service,core,h1,gradual,shipping-rate-service_h1_gradual_rep1,1180,1620.0,0.0,45.421758,32720.0,0,5.0,5.0,4,9.115104166666665,False,0,,True
shipping-rate-service,core,h1,spike,shipping-rate-service_h1_spike_rep1,1181,5200.0,0.0,19.123582,13781.0,0,4.0,4.0,3,7.860937499999999,False,0,,True
shipping-rate-service,core,h1,oscillating,shipping-rate-service_h1_oscillating_rep1,1182,941.79,0.0,45.41356,32717.0,0,5.0,5.0,3,11.153124999999998,False,0,,True
shipping-rate-service,core,h2,gradual,shipping-rate-service_h2_gradual_rep1,1179,1200.0,0.0,52.22028,37641.0,0,5.0,5.0,7,9.003124999999999,False,0,,True
shipping-rate-service,core,h2,spike,shipping-rate-service_h2_spike_rep1,1182,5280.0,0.0,19.141797,13785.0,0,4.0,4.0,4,8.644791666666665,False,0,,False
shipping-rate-service,core,h2,oscillating,shipping-rate-service_h2_oscillating_rep1,1175,5090.0,0.06,21.297079,15339.0,0,4.0,4.0,9,7.435416666666666,False,0,,False
shipping-rate-service,core,h3,gradual,shipping-rate-service_h3_gradual_rep1,1178,975.89,0.0,58.639929,42237.0,0,5.0,5.0,8,9.09270833333333,False,0,,False
shipping-rate-service,core,h3,spike,shipping-rate-service_h3_spike_rep1,1176,5120.0,0.0,19.270596,13884.0,0,3.0,3.0,4,5.598958333333332,False,0,,False
shipping-rate-service,core,h3,oscillating,shipping-rate-service_h3_oscillating_rep1,1176,5080.0,0.0,19.65402,14161.0,0,3.0,3.0,8,5.464583333333333,False,0,,False
shipping-rate-service,core,k1,gradual,shipping-rate-service_k1_gradual_rep1,1177,972.16,0.0,58.803396,42359.0,0,5.0,5.0,4,11.377083333333331,False,0,,False
shipping-rate-service,core,k1,spike,shipping-rate-service_k1_spike_rep1,1238,5110.0,0.0,19.268624,13877.0,0,5.0,5.0,5,7.211458333333332,False,0,,True
shipping-rate-service,core,k1,oscillating,shipping-rate-service_k1_oscillating_rep1,1238,1130.0,0.0,44.052354,31741.0,0,5.0,5.0,4,11.153124999999998,False,0,,True
auth-service,core,b1,gradual,auth-service_b1_gradual_rep1,1323,60000.0,52.47,19.439001,14562.0,2777,1.0,1.0,0,3.583333333333333,False,2,k6-load-test-oscillating-product-service-k1-oscillating-rep1;k6-load-test-spike-product-service-k1-spike-rep1,False
auth-service,core,b1,spike,auth-service_b1_spike_rep1,1323,60000.0,62.78,21.999214,16470.0,5219,1.0,1.0,0,3.583333333333333,False,2,k6-auth-test-gradual-auth-service-b1-gradual-rep1;k6-load-test-oscillating-product-service-k1-oscillating-rep1,False
auth-service,core,b1,oscillating,auth-service_b1_oscillating_rep1,1323,60000.0,48.0,17.771683,13381.0,2908,1.0,1.0,0,3.583333333333333,False,2,k6-auth-test-gradual-auth-service-b1-gradual-rep1;k6-auth-test-spike-auth-service-b1-spike-rep1,False
auth-service,core,b2,gradual,auth-service_b2_gradual_rep1,1193,1070.0,1.56,23.157602,17339.0,0,5.0,5.0,1,15.990624999999998,False,2,k6-auth-test-oscillating-auth-service-b1-oscillating-rep1;k6-auth-test-spike-auth-service-b1-spike-rep1,False
auth-service,core,b2,spike,auth-service_b2_spike_rep1,1191,1530.0,1.85,28.972377,21689.0,0,5.0,5.0,2,16.035416666666663,False,2,k6-auth-test-gradual-auth-service-b2-gradual-rep1;k6-auth-test-oscillating-auth-service-b1-oscillating-rep1,True
auth-service,core,b2,oscillating,auth-service_b2_oscillating_rep1,1188,1120.0,1.68,21.756199,16289.0,0,5.0,5.0,2,15.94583333333333,False,2,k6-auth-test-gradual-auth-service-b2-gradual-rep1;k6-auth-test-spike-auth-service-b2-spike-rep1,True
auth-service,core,h1,gradual,auth-service_h1_gradual_rep1,1177,1760.0,1.49,23.161978,17339.0,0,5.0,5.0,5,11.914583333333331,False,2,k6-auth-test-oscillating-auth-service-b2-oscillating-rep1;k6-auth-test-spike-auth-service-b2-spike-rep1,True
auth-service,core,h1,spike,auth-service_h1_spike_rep1,1323,3570.0,1.81,28.969849,21689.0,0,5.0,5.0,3,14.490104166666665,False,2,k6-auth-test-gradual-auth-service-h1-gradual-rep1;k6-auth-test-oscillating-auth-service-b2-oscillating-rep1,False
auth-service,core,h1,oscillating,auth-service_h1_oscillating_rep1,1323,8360.0,1.89,21.758481,16289.0,0,5.0,5.0,3,14.66927083333333,False,2,k6-auth-test-gradual-auth-service-h1-gradual-rep1;k6-auth-test-spike-auth-service-h1-spike-rep1,False
auth-service,core,h2,gradual,auth-service_h2_gradual_rep1,1177,967.5,1.57,23.161005,17339.0,0,5.0,5.0,8,11.399479166666666,False,2,k6-auth-test-oscillating-auth-service-h1-oscillating-rep1;k6-auth-test-spike-auth-service-h1-spike-rep1,True
auth-service,core,h2,spike,auth-service_h2_spike_rep1,1322,2250.0,1.81,28.971952,21689.0,0,5.0,5.0,5,11.556249999999999,False,2,k6-auth-test-gradual-auth-service-h2-gradual-rep1;k6-auth-test-oscillating-auth-service-h1-oscillating-rep1,False
auth-service,core,h2,oscillating,auth-service_h2_oscillating_rep1,1323,12460.0,2.9,21.59003,16164.0,125,5.0,5.0,10,11.511458333333332,False,2,k6-auth-test-gradual-auth-service-h2-gradual-rep1;k6-auth-test-spike-auth-service-h2-spike-rep1,False
auth-service,core,h3,gradual,auth-service_h3_gradual_rep1,1181,1100.0,1.86,23.161524,17339.0,0,5.0,5.0,8,10.48125,False,2,k6-auth-test-oscillating-auth-service-h2-oscillating-rep1;k6-auth-test-spike-auth-service-h2-spike-rep1,False
auth-service,core,h3,spike,auth-service_h3_spike_rep1,1323,7770.0,2.89,28.775167,21543.0,146,5.0,5.0,5,10.660416666666665,False,2,k6-auth-test-gradual-auth-service-h3-gradual-rep1;k6-auth-test-oscillating-auth-service-h2-oscillating-rep1,False
auth-service,core,h3,oscillating,auth-service_h3_oscillating_rep1,1324,16550.0,2.0,21.757481,16289.0,0,5.0,5.0,12,10.48125,False,2,k6-auth-test-gradual-auth-service-h3-gradual-rep1;k6-auth-test-spike-auth-service-h3-spike-rep1,False
auth-service,core,k1,gradual,auth-service_k1_gradual_rep1,1177,1220.0,1.98,23.161383,17339.0,0,5.0,5.0,4,12.541666666666664,False,2,k6-auth-test-oscillating-auth-service-h3-oscillating-rep1;k6-auth-test-spike-auth-service-h3-spike-rep1,False
auth-service,core,k1,spike,auth-service_k1_spike_rep1,1382,9920.0,2.58,28.883952,21622.0,67,5.0,5.0,7,13.885416666666664,False,2,k6-auth-test-gradual-auth-service-k1-gradual-rep1;k6-auth-test-oscillating-auth-service-h3-oscillating-rep1,False
auth-service,core,k1,oscillating,auth-service_k1_oscillating_rep1,1385,10270.0,1.94,21.759674,16289.0,0,5.0,5.0,7,14.243749999999999,False,2,k6-auth-test-gradual-auth-service-k1-gradual-rep1;k6-auth-test-spike-auth-service-k1-spike-rep1,False
