TIMESTAMP	TYPE	REASON	OBJECT	MESSAGE
2026-08-16T17:50:34Z	Normal	Killing	pod/auth-service-55bd95c686-6h6pd	Stopping container auth-service
2026-08-16T17:50:34Z	Warning	Unhealthy	pod/auth-service-55bd95c686-6h6pd	Readiness probe failed: Get "http://10.244.0.149:8001/ready": dial tcp 10.244.0.149:8001: connect: connection refused
2026-08-16T17:50:34Z	Normal	Killing	pod/auth-service-55bd95c686-9nk26	Stopping container auth-service
2026-08-16T17:50:34Z	Warning	Unhealthy	pod/auth-service-55bd95c686-9nk26	Readiness probe failed: Get "http://10.244.2.45:8001/ready": dial tcp 10.244.2.45:8001: connect: connection refused
2026-08-16T17:50:34Z	Normal	Killing	pod/auth-service-55bd95c686-prdt8	Stopping container auth-service
2026-08-16T17:50:34Z	Warning	Unhealthy	pod/auth-service-55bd95c686-prdt8	Readiness probe failed: Get "http://10.244.0.226:8001/ready": dial tcp 10.244.0.226:8001: connect: connection refused
2026-08-16T17:50:34Z	Normal	Killing	pod/auth-service-55bd95c686-w5zmg	Stopping container auth-service
2026-08-16T17:50:34Z	Warning	Unhealthy	pod/auth-service-55bd95c686-w5zmg	Readiness probe failed: Get "http://10.244.0.107:8001/ready": dial tcp 10.244.0.107:8001: connect: connection refused
2026-08-16T17:50:34Z	Normal	SuccessfulDelete	replicaset/auth-service-55bd95c686	Deleted pod: auth-service-55bd95c686-prdt8
2026-08-16T17:50:34Z	Normal	SuccessfulDelete	replicaset/auth-service-55bd95c686	Deleted pod: auth-service-55bd95c686-w5zmg
2026-08-16T17:50:34Z	Normal	SuccessfulDelete	replicaset/auth-service-55bd95c686	Deleted pod: auth-service-55bd95c686-9nk26
2026-08-16T17:50:34Z	Normal	SuccessfulDelete	replicaset/auth-service-55bd95c686	Deleted pod: auth-service-55bd95c686-6h6pd
2026-08-16T17:50:34Z	Normal	ScalingReplicaSet	deployment/auth-service	Scaled down replica set auth-service-55bd95c686 from 5 to 1
2026-08-16T17:52:40Z	Normal	SuccessfulCreate	replicaset/auth-service-55bd95c686	Created pod: auth-service-55bd95c686-478gc
2026-08-16T17:52:40Z	Normal	SuccessfulCreate	replicaset/auth-service-55bd95c686	Created pod: auth-service-55bd95c686-mwbwt
2026-08-16T17:52:40Z	Normal	SuccessfulCreate	replicaset/auth-service-55bd95c686	Created pod: auth-service-55bd95c686-plrf4
2026-08-16T17:52:40Z	Normal	SuccessfulCreate	replicaset/auth-service-55bd95c686	Created pod: auth-service-55bd95c686-vs2mt
2026-08-16T17:52:40Z	Normal	ScalingReplicaSet	deployment/auth-service	Scaled up replica set auth-service-55bd95c686 from 1 to 5
2026-08-16T17:52:40Z	Normal	Scheduled	pod/auth-service-55bd95c686-478gc	Successfully assigned ecommerce/auth-service-55bd95c686-478gc to aks-userpool-16719200-vmss00002e
2026-08-16T17:52:40Z	Normal	Scheduled	pod/auth-service-55bd95c686-mwbwt	Successfully assigned ecommerce/auth-service-55bd95c686-mwbwt to aks-userpool-16719200-vmss00002e
2026-08-16T17:52:40Z	Normal	Scheduled	pod/auth-service-55bd95c686-plrf4	Successfully assigned ecommerce/auth-service-55bd95c686-plrf4 to aks-userpool-16719200-vmss00002e
2026-08-16T17:52:40Z	Normal	Scheduled	pod/auth-service-55bd95c686-vs2mt	Successfully assigned ecommerce/auth-service-55bd95c686-vs2mt to aks-userpool-16719200-vmss00002d
2026-08-16T17:52:41Z	Normal	Pulling	pod/auth-service-55bd95c686-478gc	Pulling image "ecommerce.azurecr.io/auth-service:latest"
2026-08-16T17:52:41Z	Normal	Pulled	pod/auth-service-55bd95c686-478gc	Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 439ms (439ms including waiting). Image size: 129975007 bytes.
2026-08-16T17:52:41Z	Normal	Created	pod/auth-service-55bd95c686-478gc	Created container: auth-service
2026-08-16T17:52:41Z	Normal	Started	pod/auth-service-55bd95c686-478gc	Started container auth-service
