LAST SEEN   TYPE      REASON                 OBJECT                                                                MESSAGE
17m         Normal    Scheduled              pod/auth-service-b78f95fd4-drwhr                                      Successfully assigned ecommerce/auth-service-b78f95fd4-drwhr to aks-userpool-16719200-vmss00000f
40m         Normal    Scheduled              pod/auth-service-b78f95fd4-f5mgr                                      Successfully assigned ecommerce/auth-service-b78f95fd4-f5mgr to aks-userpool-16719200-vmss00000f
39m         Normal    Scheduled              pod/auth-service-b78f95fd4-zhs6m                                      Successfully assigned ecommerce/auth-service-b78f95fd4-zhs6m to aks-userpool-16719200-vmss00000f
17m         Normal    Scheduled              pod/auth-service-b78f95fd4-bncch                                      Successfully assigned ecommerce/auth-service-b78f95fd4-bncch to aks-userpool-16719200-vmss00000f
17m         Normal    Scheduled              pod/auth-service-b78f95fd4-wgx67                                      Successfully assigned ecommerce/auth-service-b78f95fd4-wgx67 to aks-userpool-16719200-vmss00000f
17m         Normal    Scheduled              pod/auth-service-b78f95fd4-s55mw                                      Successfully assigned ecommerce/auth-service-b78f95fd4-s55mw to aks-userpool-16719200-vmss00000h
38m         Normal    Scheduled              pod/auth-service-b78f95fd4-mjxpf                                      Successfully assigned ecommerce/auth-service-b78f95fd4-mjxpf to aks-userpool-16719200-vmss00000f
39m         Normal    Scheduled              pod/auth-service-b78f95fd4-jwxwx                                      Successfully assigned ecommerce/auth-service-b78f95fd4-jwxwx to aks-userpool-16719200-vmss00000h
18m         Normal    Scheduled              pod/k6-auth-test-gradual-auth-service-h2-gradual-rep1-xfrsb           Successfully assigned ecommerce/k6-auth-test-gradual-auth-service-h2-gradual-rep1-xfrsb to aks-userpool-16719200-vmss00000h
40m         Normal    Scheduled              pod/k6-auth-test-oscillating-auth-service-h1-oscillating-rep1-v4njm   Successfully assigned ecommerce/k6-auth-test-oscillating-auth-service-h1-oscillating-rep1-v4njm to aks-userpool-16719200-vmss00000h
59m         Warning   Unhealthy              pod/auth-service-b78f95fd4-9mpc7                                      Liveness probe failed: Get "http://10.244.1.125:8001/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
58m         Warning   Unhealthy              pod/auth-service-b78f95fd4-kg8wh                                      Liveness probe failed: Get "http://10.244.1.217:8001/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
58m         Warning   Unhealthy              pod/auth-service-b78f95fd4-g5qnf                                      Liveness probe failed: Get "http://10.244.1.191:8001/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
56m         Normal    Killing                pod/auth-service-b78f95fd4-g5qnf                                      Container auth-service failed liveness probe, will be restarted
56m         Normal    Pulled                 pod/auth-service-b78f95fd4-g5qnf                                      Container image "ecommerce.azurecr.io/auth-service:latest" already present on machine
56m         Normal    Started                pod/auth-service-b78f95fd4-g5qnf                                      Started container auth-service
56m         Normal    Created                pod/auth-service-b78f95fd4-g5qnf                                      Created container: auth-service
55m         Warning   Unhealthy              pod/auth-service-b78f95fd4-g5qnf                                      Readiness probe failed: Get "http://10.244.1.191:8001/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
53m         Warning   Unhealthy              pod/auth-service-b78f95fd4-zbzt5                                      Readiness probe failed: Get "http://10.244.2.81:8001/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
51m         Warning   Unhealthy              pod/auth-service-b78f95fd4-kg8wh                                      Readiness probe failed: Get "http://10.244.1.217:8001/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
51m         Warning   Unhealthy              pod/auth-service-b78f95fd4-9mpc7                                      Readiness probe failed: Get "http://10.244.1.125:8001/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
50m         Warning   BackoffLimitExceeded   job/k6-auth-test-spike-auth-service-h1-spike-rep1                     Job has reached the specified backoff limit
44m         Normal    SuccessfulDelete       replicaset/auth-service-b78f95fd4                                     Deleted pod: auth-service-b78f95fd4-g5qnf
44m         Normal    SuccessfulDelete       replicaset/auth-service-b78f95fd4                                     Deleted pod: auth-service-b78f95fd4-kg8wh
44m         Normal    Killing                pod/auth-service-b78f95fd4-kg8wh                                      Stopping container auth-service
44m         Normal    SuccessfulDelete       replicaset/auth-service-b78f95fd4                                     Deleted pod: auth-service-b78f95fd4-9mpc7
44m         Normal    SuccessfulDelete       replicaset/auth-service-b78f95fd4                                     Deleted pod: auth-service-b78f95fd4-zbzt5
44m         Warning   Unhealthy              pod/auth-service-b78f95fd4-zbzt5                                      Readiness probe failed: Get "http://10.244.2.81:8001/ready": dial tcp 10.244.2.81:8001: connect: connection refused
44m         Normal    Killing                pod/auth-service-b78f95fd4-zbzt5                                      Stopping container auth-service
44m         Normal    Killing                pod/auth-service-b78f95fd4-g5qnf                                      Stopping container auth-service
44m         Normal    Killing                pod/auth-service-b78f95fd4-9mpc7                                      Stopping container auth-service
40m         Normal    Pulling                pod/k6-auth-test-oscillating-auth-service-h1-oscillating-rep1-v4njm   Pulling image "grafana/k6:latest"
40m         Normal    SuccessfulCreate       job/k6-auth-test-oscillating-auth-service-h1-oscillating-rep1         Created pod: k6-auth-test-oscillating-auth-service-h1-oscillating-rep1-v4njm
40m         Normal    Started                pod/k6-auth-test-oscillating-auth-service-h1-oscillating-rep1-v4njm   Started container k6
40m         Normal    Created                pod/k6-auth-test-oscillating-auth-service-h1-oscillating-rep1-v4njm   Created container: k6
40m         Normal    Pulled                 pod/k6-auth-test-oscillating-auth-service-h1-oscillating-rep1-v4njm   Successfully pulled image "grafana/k6:latest" in 1.469s (1.469s including waiting). Image size: 36750082 bytes.
40m         Warning   Unhealthy              pod/auth-service-b78f95fd4-j97pg                                      Liveness probe failed: Get "http://10.244.2.248:8001/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
40m         Normal    Pulled                 pod/auth-service-b78f95fd4-f5mgr                                      Container image "ecommerce.azurecr.io/auth-service:latest" already present on machine
40m         Normal    SuccessfulCreate       replicaset/auth-service-b78f95fd4                                     Created pod: auth-service-b78f95fd4-f5mgr
40m         Normal    SuccessfulRescale      horizontalpodautoscaler/auth-service-hpa-default                      New size: 2; reason: cpu resource utilization (percentage of request) above target
40m         Normal    ScalingReplicaSet      deployment/auth-service                                               Scaled up replica set auth-service-b78f95fd4 from 1 to 2
40m         Normal    Started                pod/auth-service-b78f95fd4-f5mgr                                      Started container auth-service
40m         Normal    Created                pod/auth-service-b78f95fd4-f5mgr                                      Created container: auth-service
39m         Normal    Killing                pod/auth-service-b78f95fd4-j97pg                                      Container auth-service failed liveness probe, will be restarted
39m         Normal    ScalingReplicaSet      deployment/auth-service                                               Scaled up replica set auth-service-b78f95fd4 from 2 to 4
39m         Normal    SuccessfulRescale      horizontalpodautoscaler/auth-service-hpa-default                      New size: 4; reason: cpu resource utilization (percentage of request) above target
39m         Normal    Started                pod/auth-service-b78f95fd4-zhs6m                                      Started container auth-service
39m         Normal    Created                pod/auth-service-b78f95fd4-zhs6m                                      Created container: auth-service
