LAST SEEN   TYPE      REASON                         OBJECT                                                          MESSAGE
18m         Normal    Scheduled                      pod/k6-auth-test-spike-auth-service-h2-spike-rep1-zf5nb         Successfully assigned ecommerce/k6-auth-test-spike-auth-service-h2-spike-rep1-zf5nb to aks-userpool-16719200-vmss00000h
39m         Normal    Scheduled                      pod/auth-service-b78f95fd4-drwhr                                Successfully assigned ecommerce/auth-service-b78f95fd4-drwhr to aks-userpool-16719200-vmss00000f
39m         Normal    Scheduled                      pod/auth-service-b78f95fd4-wgx67                                Successfully assigned ecommerce/auth-service-b78f95fd4-wgx67 to aks-userpool-16719200-vmss00000f
17m         Normal    Scheduled                      pod/auth-service-b78f95fd4-tn29g                                Successfully assigned ecommerce/auth-service-b78f95fd4-tn29g to aks-userpool-16719200-vmss00000h
39m         Normal    Scheduled                      pod/auth-service-b78f95fd4-s55mw                                Successfully assigned ecommerce/auth-service-b78f95fd4-s55mw to aks-userpool-16719200-vmss00000h
39m         Normal    Scheduled                      pod/auth-service-b78f95fd4-bncch                                Successfully assigned ecommerce/auth-service-b78f95fd4-bncch to aks-userpool-16719200-vmss00000f
17m         Normal    Scheduled                      pod/auth-service-b78f95fd4-fkf8s                                Successfully assigned ecommerce/auth-service-b78f95fd4-fkf8s to aks-userpool-16719200-vmss00000f
40m         Normal    Scheduled                      pod/k6-auth-test-gradual-auth-service-h2-gradual-rep1-xfrsb     Successfully assigned ecommerce/k6-auth-test-gradual-auth-service-h2-gradual-rep1-xfrsb to aks-userpool-16719200-vmss00000h
17m         Normal    Scheduled                      pod/auth-service-b78f95fd4-zs5tw                                Successfully assigned ecommerce/auth-service-b78f95fd4-zs5tw to aks-userpool-16719200-vmss00000f
17m         Normal    Scheduled                      pod/auth-service-b78f95fd4-4j7kr                                Successfully assigned ecommerce/auth-service-b78f95fd4-4j7kr to aks-userpool-16719200-vmss00000f
58m         Warning   Unhealthy                      pod/auth-service-b78f95fd4-zhs6m                                Liveness probe failed: Get "http://10.244.1.115:8001/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
56m         Warning   Unhealthy                      pod/auth-service-b78f95fd4-mjxpf                                Readiness probe failed: Get "http://10.244.1.46:8001/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
