TIMESTAMP	TYPE	REASON	OBJECT	MESSAGE
2026-08-17T07:03:13Z	Normal	SuccessfulCreate	job/k6-auth-test-gradual-auth-service-h3-gradual-rep1	Created pod: k6-auth-test-gradual-auth-service-h3-gradual-rep1-z925v
2026-08-17T07:03:13Z	Normal	Scheduled	pod/k6-auth-test-gradual-auth-service-h3-gradual-rep1-z925v	Successfully assigned ecommerce/k6-auth-test-gradual-auth-service-h3-gradual-rep1-z925v to aks-userpool-16719200-vmss00002e
2026-08-17T07:03:14Z	Normal	Pulling	pod/k6-auth-test-gradual-auth-service-h3-gradual-rep1-z925v	Pulling image "grafana/k6:latest"
2026-08-17T07:03:16Z	Normal	Pulled	pod/k6-auth-test-gradual-auth-service-h3-gradual-rep1-z925v	Successfully pulled image "grafana/k6:latest" in 2.757s (2.757s including waiting). Image size: 34791087 bytes.
2026-08-17T07:03:16Z	Normal	Created	pod/k6-auth-test-gradual-auth-service-h3-gradual-rep1-z925v	Created container: k6
2026-08-17T07:03:16Z	Normal	Started	pod/k6-auth-test-gradual-auth-service-h3-gradual-rep1-z925v	Started container k6
2026-08-17T07:04:02Z	Normal	SuccessfulCreate	replicaset/auth-service-55bd95c686	Created pod: auth-service-55bd95c686-chljd
2026-08-17T07:04:02Z	Normal	SuccessfulRescale	horizontalpodautoscaler/auth-service-hpa-custom	New size: 2; reason: pods metric http_requests_per_second above target
2026-08-17T07:04:02Z	Normal	ScalingReplicaSet	deployment/auth-service	Scaled up replica set auth-service-55bd95c686 from 1 to 2
2026-08-17T07:04:02Z	Normal	Scheduled	pod/auth-service-55bd95c686-chljd	Successfully assigned ecommerce/auth-service-55bd95c686-chljd to aks-userpool-16719200-vmss00002d
2026-08-17T07:04:03Z	Normal	Pulling	pod/auth-service-55bd95c686-chljd	Pulling image "ecommerce.azurecr.io/auth-service:latest"
2026-08-17T07:04:03Z	Normal	Pulled	pod/auth-service-55bd95c686-chljd	Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 332ms (332ms including waiting). Image size: 129975007 bytes.
2026-08-17T07:04:04Z	Normal	Created	pod/auth-service-55bd95c686-chljd	Created container: auth-service
2026-08-17T07:04:04Z	Normal	Started	pod/auth-service-55bd95c686-chljd	Started container auth-service
2026-08-17T07:04:32Z	Normal	SuccessfulRescale	horizontalpodautoscaler/auth-service-hpa-custom	New size: 3; reason: pods metric http_requests_per_second above target
2026-08-17T07:04:32Z	Normal	ScalingReplicaSet	deployment/auth-service	Scaled up replica set auth-service-55bd95c686 from 2 to 3
2026-08-17T07:04:32Z	Normal	Scheduled	pod/auth-service-55bd95c686-tt99b	Successfully assigned ecommerce/auth-service-55bd95c686-tt99b to aks-userpool-16719200-vmss00002d
2026-08-17T07:04:33Z	Normal	Pulling	pod/auth-service-55bd95c686-tt99b	Pulling image "ecommerce.azurecr.io/auth-service:latest"
2026-08-17T07:04:33Z	Normal	Pulled	pod/auth-service-55bd95c686-tt99b	Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 173ms (173ms including waiting). Image size: 129975007 bytes.
2026-08-17T07:04:33Z	Normal	Created	pod/auth-service-55bd95c686-tt99b	Created container: auth-service
2026-08-17T07:04:33Z	Normal	Started	pod/auth-service-55bd95c686-tt99b	Started container auth-service
2026-08-17T07:06:48Z	Normal	SuccessfulRescale	horizontalpodautoscaler/auth-service-hpa-custom	New size: 4; reason: pods metric http_requests_per_second above target
2026-08-17T07:06:48Z	Normal	ScalingReplicaSet	deployment/auth-service	Scaled up replica set auth-service-55bd95c686 from 3 to 4
2026-08-17T07:06:48Z	Normal	Scheduled	pod/auth-service-55bd95c686-mz4rc	Successfully assigned ecommerce/auth-service-55bd95c686-mz4rc to aks-userpool-16719200-vmss00002e
2026-08-17T07:06:49Z	Normal	Pulling	pod/auth-service-55bd95c686-mz4rc	Pulling image "ecommerce.azurecr.io/auth-service:latest"
2026-08-17T07:06:49Z	Normal	Pulled	pod/auth-service-55bd95c686-mz4rc	Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 210ms (210ms including waiting). Image size: 129975007 bytes.
2026-08-17T07:06:49Z	Normal	Created	pod/auth-service-55bd95c686-mz4rc	Created container: auth-service
2026-08-17T07:06:49Z	Normal	Started	pod/auth-service-55bd95c686-mz4rc	Started container auth-service
2026-08-17T07:07:03Z	Normal	SuccessfulRescale	horizontalpodautoscaler/auth-service-hpa-custom	New size: 5; reason: pods metric http_requests_per_second above target
2026-08-17T07:07:03Z	Normal	ScalingReplicaSet	deployment/auth-service	Scaled up replica set auth-service-55bd95c686 from 4 to 5
2026-08-17T07:07:03Z	Normal	Scheduled	pod/auth-service-55bd95c686-4lmpr	Successfully assigned ecommerce/auth-service-55bd95c686-4lmpr to aks-userpool-16719200-vmss00002d
2026-08-17T07:07:04Z	Normal	Pulling	pod/auth-service-55bd95c686-4lmpr	Pulling image "ecommerce.azurecr.io/auth-service:latest"
2026-08-17T07:07:04Z	Normal	Pulled	pod/auth-service-55bd95c686-4lmpr	Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 148ms (148ms including waiting). Image size: 129975007 bytes.
2026-08-17T07:07:04Z	Normal	Created	pod/auth-service-55bd95c686-4lmpr	Created container: auth-service
2026-08-17T07:07:04Z	Normal	Started	pod/auth-service-55bd95c686-4lmpr	Started container auth-service
2026-08-17T07:15:56Z	Normal	Completed	job/k6-auth-test-gradual-auth-service-h3-gradual-rep1	Job completed
2026-08-17T07:16:20Z	Normal	Killing	pod/auth-service-55bd95c686-4lmpr	Stopping container auth-service
2026-08-17T07:16:20Z	Normal	SuccessfulDelete	replicaset/auth-service-55bd95c686	Deleted pod: auth-service-55bd95c686-4lmpr
2026-08-17T07:16:20Z	Normal	SuccessfulRescale	horizontalpodautoscaler/auth-service-hpa-custom	New size: 4; reason: All metrics below target
2026-08-17T07:16:20Z	Normal	ScalingReplicaSet	deployment/auth-service	Scaled down replica set auth-service-55bd95c686 from 5 to 4
2026-08-17T07:16:35Z	Normal	Killing	pod/auth-service-55bd95c686-mz4rc	Stopping container auth-service
2026-08-17T07:16:35Z	Warning	Unhealthy	pod/auth-service-55bd95c686-mz4rc	Readiness probe failed: Get "http://10.244.0.47:8001/ready": dial tcp 10.244.0.47:8001: connect: connection refused
2026-08-17T07:16:35Z	Normal	Killing	pod/auth-service-55bd95c686-tt99b	Stopping container auth-service
2026-08-17T07:16:35Z	Warning	Unhealthy	pod/auth-service-55bd95c686-tt99b	Readiness probe failed: Get "http://10.244.2.1:8001/ready": dial tcp 10.244.2.1:8001: connect: connection refused
2026-08-17T07:16:35Z	Normal	SuccessfulDelete	replicaset/auth-service-55bd95c686	Deleted pod: auth-service-55bd95c686-mz4rc
2026-08-17T07:16:35Z	Normal	SuccessfulRescale	horizontalpodautoscaler/auth-service-hpa-custom	New size: 2; reason: All metrics below target
2026-08-17T07:16:35Z	Normal	ScalingReplicaSet	deployment/auth-service	Scaled down replica set auth-service-55bd95c686 from 4 to 2
2026-08-17T07:16:50Z	Normal	Killing	pod/auth-service-55bd95c686-chljd	Stopping container auth-service
2026-08-17T07:16:50Z	Warning	Unhealthy	pod/auth-service-55bd95c686-chljd	Readiness probe failed: Get "http://10.244.2.221:8001/ready": dial tcp 10.244.2.221:8001: connect: connection refused
2026-08-17T07:16:50Z	Normal	SuccessfulRescale	horizontalpodautoscaler/auth-service-hpa-custom	New size: 1; reason: All metrics below target
2026-08-17T07:16:50Z	Normal	ScalingReplicaSet	deployment/auth-service	Scaled down replica set auth-service-55bd95c686 from 2 to 1
