LAST SEEN   TYPE      REASON                 OBJECT                                                                MESSAGE
59m         Normal    SuccessfulCreate       job/k6-auth-test-gradual-auth-service-h3-gradual-rep1                 Created pod: k6-auth-test-gradual-auth-service-h3-gradual-rep1-2hth8
59m         Normal    Scheduled              pod/k6-auth-test-gradual-auth-service-h3-gradual-rep1-2hth8           Successfully assigned ecommerce/k6-auth-test-gradual-auth-service-h3-gradual-rep1-2hth8 to aks-userpool-16719200-vmss000010
59m         Normal    Pulling                pod/k6-auth-test-gradual-auth-service-h3-gradual-rep1-2hth8           Pulling image "grafana/k6:latest"
59m         Normal    Created                pod/k6-auth-test-gradual-auth-service-h3-gradual-rep1-2hth8           Created container: k6
59m         Normal    Pulled                 pod/k6-auth-test-gradual-auth-service-h3-gradual-rep1-2hth8           Successfully pulled image "grafana/k6:latest" in 2.449s (2.449s including waiting). Image size: 36750082 bytes.
59m         Normal    Started                pod/k6-auth-test-gradual-auth-service-h3-gradual-rep1-2hth8           Started container k6
59m         Normal    Scheduled              pod/auth-service-88b4cd688-q9bjs                                      Successfully assigned ecommerce/auth-service-88b4cd688-q9bjs to aks-userpool-16719200-vmss000011
59m         Normal    SuccessfulCreate       replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-q9bjs
59m         Normal    SuccessfulRescale      horizontalpodautoscaler/auth-service-hpa-custom                       New size: 2; reason: pods metric http_requests_per_second above target
59m         Normal    Pulling                pod/auth-service-88b4cd688-q9bjs                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
59m         Normal    Pulled                 pod/auth-service-88b4cd688-q9bjs                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 258ms (258ms including waiting). Image size: 129968897 bytes.
59m         Normal    Created                pod/auth-service-88b4cd688-q9bjs                                      Created container: auth-service
59m         Normal    Started                pod/auth-service-88b4cd688-q9bjs                                      Started container auth-service
58m         Normal    SuccessfulRescale      horizontalpodautoscaler/auth-service-hpa-custom                       New size: 3; reason: pods metric http_requests_per_second above target
58m         Normal    Scheduled              pod/auth-service-88b4cd688-765bl                                      Successfully assigned ecommerce/auth-service-88b4cd688-765bl to aks-userpool-16719200-vmss000011
58m         Normal    SuccessfulCreate       replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-765bl
58m         Normal    Started                pod/auth-service-88b4cd688-765bl                                      Started container auth-service
58m         Normal    Created                pod/auth-service-88b4cd688-765bl                                      Created container: auth-service
58m         Normal    Pulled                 pod/auth-service-88b4cd688-765bl                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 120ms (120ms including waiting). Image size: 129968897 bytes.
58m         Normal    Pulling                pod/auth-service-88b4cd688-765bl                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
55m         Normal    SuccessfulRescale      horizontalpodautoscaler/auth-service-hpa-custom                       New size: 4; reason: pods metric http_requests_per_second above target
55m         Normal    ScalingReplicaSet      deployment/auth-service                                               Scaled up replica set auth-service-88b4cd688 from 3 to 4
55m         Normal    Created                pod/auth-service-88b4cd688-dgcgx                                      Created container: auth-service
55m         Normal    Started                pod/auth-service-88b4cd688-dgcgx                                      Started container auth-service
55m         Normal    Pulled                 pod/auth-service-88b4cd688-dgcgx                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 136ms (136ms including waiting). Image size: 129968897 bytes.
55m         Normal    Pulling                pod/auth-service-88b4cd688-dgcgx                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
55m         Normal    Scheduled              pod/auth-service-88b4cd688-dgcgx                                      Successfully assigned ecommerce/auth-service-88b4cd688-dgcgx to aks-userpool-16719200-vmss000010
54m         Normal    Pulling                pod/auth-service-88b4cd688-lshtd                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
54m         Normal    ScalingReplicaSet      deployment/auth-service                                               Scaled up replica set auth-service-88b4cd688 from 4 to 5
54m         Normal    Scheduled              pod/auth-service-88b4cd688-lshtd                                      Successfully assigned ecommerce/auth-service-88b4cd688-lshtd to aks-userpool-16719200-vmss000011
54m         Normal    SuccessfulRescale      horizontalpodautoscaler/auth-service-hpa-custom                       New size: 5; reason: pods metric http_requests_per_second above target
54m         Normal    Started                pod/auth-service-88b4cd688-lshtd                                      Started container auth-service
54m         Normal    Pulled                 pod/auth-service-88b4cd688-lshtd                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 154ms (154ms including waiting). Image size: 129968897 bytes.
54m         Normal    Created                pod/auth-service-88b4cd688-lshtd                                      Created container: auth-service
48m         Normal    SuccessfulRescale      horizontalpodautoscaler/auth-service-hpa-custom                       New size: 4; reason: All metrics below target
47m         Normal    Killing                pod/auth-service-88b4cd688-lshtd                                      Stopping container auth-service
47m         Normal    SuccessfulDelete       replicaset/auth-service-88b4cd688                                     Deleted pod: auth-service-88b4cd688-lshtd
47m         Normal    SuccessfulDelete       replicaset/auth-service-88b4cd688                                     Deleted pod: auth-service-88b4cd688-dgcgx
47m         Normal    SuccessfulRescale      horizontalpodautoscaler/auth-service-hpa-custom                       New size: 3; reason: All metrics below target
47m         Normal    Killing                pod/auth-service-88b4cd688-dgcgx                                      Stopping container auth-service
47m         Normal    Completed              job/k6-auth-test-gradual-auth-service-h3-gradual-rep1                 Job completed
47m         Normal    Killing                pod/auth-service-88b4cd688-765bl                                      Stopping container auth-service
47m         Normal    SuccessfulRescale      horizontalpodautoscaler/auth-service-hpa-custom                       New size: 2; reason: All metrics below target
46m         Normal    SuccessfulRescale      horizontalpodautoscaler/auth-service-hpa-custom                       New size: 1; reason: All metrics below target
46m         Normal    Killing                pod/auth-service-88b4cd688-q9bjs                                      Stopping container auth-service
40m         Normal    SuccessfulCreate       job/k6-auth-test-spike-auth-service-h3-spike-rep1                     Created pod: k6-auth-test-spike-auth-service-h3-spike-rep1-bj7r7
40m         Normal    Scheduled              pod/k6-auth-test-spike-auth-service-h3-spike-rep1-bj7r7               Successfully assigned ecommerce/k6-auth-test-spike-auth-service-h3-spike-rep1-bj7r7 to aks-userpool-16719200-vmss000010
40m         Normal    Pulling                pod/k6-auth-test-spike-auth-service-h3-spike-rep1-bj7r7               Pulling image "grafana/k6:latest"
40m         Normal    Started                pod/k6-auth-test-spike-auth-service-h3-spike-rep1-bj7r7               Started container k6
40m         Normal    Created                pod/k6-auth-test-spike-auth-service-h3-spike-rep1-bj7r7               Created container: k6
40m         Normal    Pulled                 pod/k6-auth-test-spike-auth-service-h3-spike-rep1-bj7r7               Successfully pulled image "grafana/k6:latest" in 1.396s (1.396s including waiting). Image size: 36750082 bytes.
39m         Normal    SuccessfulCreate       replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-lwdn8
39m         Normal    SuccessfulRescale      horizontalpodautoscaler/auth-service-hpa-custom                       New size: 2; reason: pods metric http_requests_per_second above target
39m         Normal    Pulled                 pod/auth-service-88b4cd688-lwdn8                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 255ms (255ms including waiting). Image size: 129968897 bytes.
39m         Normal    Pulling                pod/auth-service-88b4cd688-lwdn8                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
39m         Normal    Scheduled              pod/auth-service-88b4cd688-lwdn8                                      Successfully assigned ecommerce/auth-service-88b4cd688-lwdn8 to aks-userpool-16719200-vmss000011
39m         Normal    Created                pod/auth-service-88b4cd688-lwdn8                                      Created container: auth-service
39m         Normal    Started                pod/auth-service-88b4cd688-lwdn8                                      Started container auth-service
37m         Normal    Scheduled              pod/auth-service-88b4cd688-r8k9r                                      Successfully assigned ecommerce/auth-service-88b4cd688-r8k9r to aks-userpool-16719200-vmss000011
37m         Normal    SuccessfulRescale      horizontalpodautoscaler/auth-service-hpa-custom                       New size: 5; reason: pods metric http_requests_per_second above target
37m         Normal    SuccessfulCreate       replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-r8k9r
37m         Normal    Scheduled              pod/auth-service-88b4cd688-6vj4l                                      Successfully assigned ecommerce/auth-service-88b4cd688-6vj4l to aks-userpool-16719200-vmss000011
37m         Normal    Scheduled              pod/auth-service-88b4cd688-h79p4                                      Successfully assigned ecommerce/auth-service-88b4cd688-h79p4 to aks-userpool-16719200-vmss000010
37m         Normal    Pulling                pod/auth-service-88b4cd688-h79p4                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
37m         Normal    Pulled                 pod/auth-service-88b4cd688-h79p4                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 100ms (100ms including waiting). Image size: 129968897 bytes.
37m         Normal    Started                pod/auth-service-88b4cd688-6vj4l                                      Started container auth-service
37m         Normal    Created                pod/auth-service-88b4cd688-6vj4l                                      Created container: auth-service
37m         Normal    Pulled                 pod/auth-service-88b4cd688-6vj4l                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 239ms (239ms including waiting). Image size: 129968897 bytes.
37m         Normal    Created                pod/auth-service-88b4cd688-h79p4                                      Created container: auth-service
37m         Normal    Pulling                pod/auth-service-88b4cd688-r8k9r                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
37m         Normal    Pulled                 pod/auth-service-88b4cd688-r8k9r                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 287ms (287ms including waiting). Image size: 129968897 bytes.
37m         Normal    Created                pod/auth-service-88b4cd688-r8k9r                                      Created container: auth-service
37m         Normal    Started                pod/auth-service-88b4cd688-r8k9r                                      Started container auth-service
37m         Normal    Started                pod/auth-service-88b4cd688-h79p4                                      Started container auth-service
37m         Normal    Pulling                pod/auth-service-88b4cd688-6vj4l                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
36m         Warning   Unhealthy              pod/auth-service-88b4cd688-lwdn8                                      Readiness probe failed: Get "http://10.244.1.249:8001/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
28m         Normal    SuccessfulRescale      horizontalpodautoscaler/auth-service-hpa-custom                       New size: 4; reason: All metrics below target
28m         Normal    Killing                pod/auth-service-88b4cd688-r8k9r                                      Stopping container auth-service
28m         Normal    SuccessfulDelete       replicaset/auth-service-88b4cd688                                     Deleted pod: auth-service-88b4cd688-r8k9r
27m         Normal    Killing                pod/auth-service-88b4cd688-h79p4                                      Stopping container auth-service
27m         Normal    Killing                pod/auth-service-88b4cd688-6vj4l                                      Stopping container auth-service
27m         Normal    SuccessfulRescale      horizontalpodautoscaler/auth-service-hpa-custom                       New size: 2; reason: All metrics below target
27m         Normal    SuccessfulDelete       replicaset/auth-service-88b4cd688                                     Deleted pod: auth-service-88b4cd688-h79p4
27m         Warning   BackoffLimitExceeded   job/k6-auth-test-spike-auth-service-h3-spike-rep1                     Job has reached the specified backoff limit
27m         Normal    SuccessfulRescale      horizontalpodautoscaler/auth-service-hpa-custom                       New size: 1; reason: All metrics below target
27m         Normal    ScalingReplicaSet      deployment/auth-service                                               (combined from similar events): Scaled down replica set auth-service-88b4cd688 from 2 to 1
27m         Normal    Killing                pod/auth-service-88b4cd688-lwdn8                                      Stopping container auth-service
18m         Normal    SuccessfulCreate       job/k6-auth-test-oscillating-auth-service-h3-oscillating-rep1         Created pod: k6-auth-test-oscillating-auth-service-h3-oscillating-rep1-2zv5x
