TIMESTAMP	TYPE	REASON	OBJECT	MESSAGE
2026-05-09T08:13:55Z	Normal	SuccessfulCreate	job/k6-auth-test-spike-auth-service-h3-spike-rep5	Created pod: k6-auth-test-spike-auth-service-h3-spike-rep5-n6jfc
2026-05-09T08:13:55Z	Normal	Scheduled	pod/k6-auth-test-spike-auth-service-h3-spike-rep5-n6jfc	Successfully assigned ecommerce/k6-auth-test-spike-auth-service-h3-spike-rep5-n6jfc to aks-userpool-16719200-vmss00001s
2026-05-09T08:13:56Z	Normal	Pulling	pod/k6-auth-test-spike-auth-service-h3-spike-rep5-n6jfc	Pulling image "grafana/k6:latest"
2026-05-09T08:13:57Z	Normal	Pulled	pod/k6-auth-test-spike-auth-service-h3-spike-rep5-n6jfc	Successfully pulled image "grafana/k6:latest" in 1.364s (1.364s including waiting). Image size: 33688197 bytes.
2026-05-09T08:13:57Z	Normal	Created	pod/k6-auth-test-spike-auth-service-h3-spike-rep5-n6jfc	Created container: k6
2026-05-09T08:13:57Z	Normal	Started	pod/k6-auth-test-spike-auth-service-h3-spike-rep5-n6jfc	Started container k6
2026-05-09T08:14:46Z	Normal	SuccessfulCreate	replicaset/auth-service-55bd95c686	Created pod: auth-service-55bd95c686-d5jxw
2026-05-09T08:14:46Z	Normal	SuccessfulRescale	horizontalpodautoscaler/auth-service-hpa-custom	New size: 2; reason: pods metric http_requests_per_second above target
2026-05-09T08:14:46Z	Normal	ScalingReplicaSet	deployment/auth-service	Scaled up replica set auth-service-55bd95c686 from 1 to 2
2026-05-09T08:14:46Z	Normal	Scheduled	pod/auth-service-55bd95c686-d5jxw	Successfully assigned ecommerce/auth-service-55bd95c686-d5jxw to aks-userpool-16719200-vmss00001s
2026-05-09T08:14:47Z	Normal	Pulling	pod/auth-service-55bd95c686-d5jxw	Pulling image "ecommerce.azurecr.io/auth-service:latest"
2026-05-09T08:14:47Z	Normal	Pulled	pod/auth-service-55bd95c686-d5jxw	Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 258ms (258ms including waiting). Image size: 129975007 bytes.
2026-05-09T08:14:47Z	Normal	Created	pod/auth-service-55bd95c686-d5jxw	Created container: auth-service
2026-05-09T08:14:47Z	Normal	Started	pod/auth-service-55bd95c686-d5jxw	Started container auth-service
