TIMESTAMP	TYPE	REASON	OBJECT	MESSAGE
2026-08-17T12:34:32Z	Normal	KEDAScalersStarted	scaledobject/auth-service-keda	Scaler prometheus is built
2026-08-17T12:35:33Z	Normal	KEDAScalersStopped	scaledobject/auth-service-keda	Stopped scalers watch
2026-08-17T12:35:33Z	Warning	ScaledObjectDeleted	scaledobject/auth-service-keda	ScaledObject was deleted
2026-08-17T12:37:42Z	Normal	KEDAScalersStarted	scaledobject/auth-service-keda	Scaler prometheus is built
2026-08-17T12:37:42Z	Normal	KEDAScalersStarted	scaledobject/auth-service-keda	Started scalers watch
2026-08-17T12:37:42Z	Normal	ScaledObjectReady	scaledobject/auth-service-keda	ScaledObject is ready for scaling
2026-08-17T12:39:21Z	Normal	SuccessfulCreate	job/k6-auth-test-gradual-auth-service-k1-gradual-rep3	Created pod: k6-auth-test-gradual-auth-service-k1-gradual-rep3-vc7kt
2026-08-17T12:39:21Z	Normal	Scheduled	pod/k6-auth-test-gradual-auth-service-k1-gradual-rep3-vc7kt	Successfully assigned ecommerce/k6-auth-test-gradual-auth-service-k1-gradual-rep3-vc7kt to aks-userpool-16719200-vmss00002e
2026-08-17T12:39:22Z	Normal	Pulling	pod/k6-auth-test-gradual-auth-service-k1-gradual-rep3-vc7kt	Pulling image "grafana/k6:latest"
2026-08-17T12:39:23Z	Normal	Pulled	pod/k6-auth-test-gradual-auth-service-k1-gradual-rep3-vc7kt	Successfully pulled image "grafana/k6:latest" in 1.41s (1.41s including waiting). Image size: 34791087 bytes.
2026-08-17T12:39:23Z	Normal	Created	pod/k6-auth-test-gradual-auth-service-k1-gradual-rep3-vc7kt	Created container: k6
2026-08-17T12:39:24Z	Normal	Started	pod/k6-auth-test-gradual-auth-service-k1-gradual-rep3-vc7kt	Started container k6
2026-08-17T12:40:12Z	Normal	SuccessfulCreate	replicaset/auth-service-55bd95c686	Created pod: auth-service-55bd95c686-bkxsc
2026-08-17T12:40:12Z	Normal	ScalingReplicaSet	deployment/auth-service	Scaled up replica set auth-service-55bd95c686 from 1 to 2
2026-08-17T12:40:12Z	Normal	SuccessfulRescale	horizontalpodautoscaler/keda-hpa-auth-service-keda	New size: 2; reason: external metric s0-prometheus(&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: auth-service-keda,},MatchExpressions:[]LabelSelectorRequirement{},}) above target
2026-08-17T12:40:12Z	Normal	Scheduled	pod/auth-service-55bd95c686-bkxsc	Successfully assigned ecommerce/auth-service-55bd95c686-bkxsc to aks-userpool-16719200-vmss00002e
2026-08-17T12:40:13Z	Normal	Pulling	pod/auth-service-55bd95c686-bkxsc	Pulling image "ecommerce.azurecr.io/auth-service:latest"
2026-08-17T12:40:13Z	Normal	Pulled	pod/auth-service-55bd95c686-bkxsc	Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 281ms (281ms including waiting). Image size: 129975007 bytes.
2026-08-17T12:40:13Z	Normal	Created	pod/auth-service-55bd95c686-bkxsc	Created container: auth-service
2026-08-17T12:40:13Z	Normal	Started	pod/auth-service-55bd95c686-bkxsc	Started container auth-service
