LAST SEEN   TYPE      REASON                 OBJECT                                                                MESSAGE
60m         Normal    Pulling                pod/auth-service-88b4cd688-4wznm                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
60m         Normal    Pulled                 pod/auth-service-88b4cd688-4wznm                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 114ms (114ms including waiting). Image size: 129968897 bytes.
60m         Normal    Created                pod/auth-service-88b4cd688-4wznm                                      Created container: auth-service
60m         Normal    Started                pod/auth-service-88b4cd688-4wznm                                      Started container auth-service
60m         Normal    Scheduled              pod/auth-service-88b4cd688-4wznm                                      Successfully assigned ecommerce/auth-service-88b4cd688-4wznm to aks-userpool-16719200-vmss000011
60m         Normal    SuccessfulRescale      horizontalpodautoscaler/keda-hpa-auth-service-keda                    New size: 3; reason: external metric s0-prometheus(&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: auth-service-keda,},MatchExpressions:[]LabelSelectorRequirement{},}) above target
60m         Normal    SuccessfulCreate       replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-4wznm
57m         Normal    ScalingReplicaSet      deployment/auth-service                                               Scaled up replica set auth-service-88b4cd688 from 3 to 4
57m         Normal    SuccessfulRescale      horizontalpodautoscaler/keda-hpa-auth-service-keda                    New size: 4; reason: external metric s0-prometheus(&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: auth-service-keda,},MatchExpressions:[]LabelSelectorRequirement{},}) above target
57m         Normal    Scheduled              pod/auth-service-88b4cd688-nj7z8                                      Successfully assigned ecommerce/auth-service-88b4cd688-nj7z8 to aks-userpool-16719200-vmss000010
57m         Normal    SuccessfulCreate       replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-nj7z8
57m         Normal    Started                pod/auth-service-88b4cd688-nj7z8                                      Started container auth-service
57m         Normal    Created                pod/auth-service-88b4cd688-nj7z8                                      Created container: auth-service
57m         Normal    Pulled                 pod/auth-service-88b4cd688-nj7z8                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 156ms (156ms including waiting). Image size: 129968897 bytes.
57m         Normal    Pulling                pod/auth-service-88b4cd688-nj7z8                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
56m         Normal    SuccessfulRescale      horizontalpodautoscaler/keda-hpa-auth-service-keda                    New size: 5; reason: external metric s0-prometheus(&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: auth-service-keda,},MatchExpressions:[]LabelSelectorRequirement{},}) above target
56m         Normal    Scheduled              pod/auth-service-88b4cd688-ptjgp                                      Successfully assigned ecommerce/auth-service-88b4cd688-ptjgp to aks-userpool-16719200-vmss000011
56m         Normal    Pulling                pod/auth-service-88b4cd688-ptjgp                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
56m         Normal    Created                pod/auth-service-88b4cd688-ptjgp                                      Created container: auth-service
56m         Normal    Started                pod/auth-service-88b4cd688-ptjgp                                      Started container auth-service
56m         Normal    Pulled                 pod/auth-service-88b4cd688-ptjgp                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 107ms (107ms including waiting). Image size: 129968897 bytes.
49m         Normal    Completed              job/k6-auth-test-gradual-auth-service-k1-gradual-rep1                 Job completed
46m         Normal    KEDAScalersStarted     scaledobject/auth-service-keda                                        Scaler prometheus is built
45m         Normal    Killing                pod/auth-service-88b4cd688-ptjgp                                      Stopping container auth-service
45m         Normal    SuccessfulRescale      horizontalpodautoscaler/keda-hpa-auth-service-keda                    New size: 4; reason: All metrics below target
45m         Normal    SuccessfulDelete       replicaset/auth-service-88b4cd688                                     Deleted pod: auth-service-88b4cd688-ptjgp
45m         Normal    KEDAScalersStopped     scaledobject/auth-service-keda                                        Stopped scalers watch
45m         Warning   ScaledObjectDeleted    scaledobject/auth-service-keda                                        ScaledObject was deleted
45m         Normal    SuccessfulDelete       replicaset/auth-service-88b4cd688                                     Deleted pod: auth-service-88b4cd688-nj7z8
45m         Normal    ScalingReplicaSet      deployment/auth-service                                               Scaled down replica set auth-service-88b4cd688 from 4 to 1
45m         Normal    Killing                pod/auth-service-88b4cd688-nj7z8                                      Stopping container auth-service
45m         Normal    Killing                pod/auth-service-88b4cd688-27gxx                                      Stopping container auth-service
45m         Normal    Killing                pod/auth-service-88b4cd688-4wznm                                      Stopping container auth-service
42m         Normal    KEDAScalersStarted     scaledobject/auth-service-keda                                        Started scalers watch
42m         Normal    ScaledObjectReady      scaledobject/auth-service-keda                                        ScaledObject is ready for scaling
41m         Normal    Scheduled              pod/k6-auth-test-spike-auth-service-k1-spike-rep1-d9c5z               Successfully assigned ecommerce/k6-auth-test-spike-auth-service-k1-spike-rep1-d9c5z to aks-userpool-16719200-vmss000010
41m         Normal    SuccessfulCreate       job/k6-auth-test-spike-auth-service-k1-spike-rep1                     Created pod: k6-auth-test-spike-auth-service-k1-spike-rep1-d9c5z
41m         Normal    Pulling                pod/k6-auth-test-spike-auth-service-k1-spike-rep1-d9c5z               Pulling image "grafana/k6:latest"
41m         Normal    Started                pod/k6-auth-test-spike-auth-service-k1-spike-rep1-d9c5z               Started container k6
41m         Normal    Created                pod/k6-auth-test-spike-auth-service-k1-spike-rep1-d9c5z               Created container: k6
41m         Normal    Pulled                 pod/k6-auth-test-spike-auth-service-k1-spike-rep1-d9c5z               Successfully pulled image "grafana/k6:latest" in 1.563s (1.563s including waiting). Image size: 36750082 bytes.
40m         Normal    SuccessfulCreate       replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-t974w
40m         Normal    Scheduled              pod/auth-service-88b4cd688-t974w                                      Successfully assigned ecommerce/auth-service-88b4cd688-t974w to aks-userpool-16719200-vmss000011
40m         Normal    SuccessfulRescale      horizontalpodautoscaler/keda-hpa-auth-service-keda                    New size: 2; reason: external metric s0-prometheus(&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: auth-service-keda,},MatchExpressions:[]LabelSelectorRequirement{},}) above target
40m         Normal    Pulling                pod/auth-service-88b4cd688-t974w                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
40m         Normal    Started                pod/auth-service-88b4cd688-t974w                                      Started container auth-service
40m         Normal    Created                pod/auth-service-88b4cd688-t974w                                      Created container: auth-service
40m         Normal    Pulled                 pod/auth-service-88b4cd688-t974w                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 259ms (259ms including waiting). Image size: 129968897 bytes.
38m         Normal    Scheduled              pod/auth-service-88b4cd688-kw4tc                                      Successfully assigned ecommerce/auth-service-88b4cd688-kw4tc to aks-userpool-16719200-vmss000011
38m         Normal    ScalingReplicaSet      deployment/auth-service                                               Scaled up replica set auth-service-88b4cd688 from 2 to 3
38m         Normal    SuccessfulRescale      horizontalpodautoscaler/keda-hpa-auth-service-keda                    New size: 3; reason: external metric s0-prometheus(&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: auth-service-keda,},MatchExpressions:[]LabelSelectorRequirement{},}) above target
38m         Normal    SuccessfulCreate       replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-kw4tc
38m         Normal    Pulled                 pod/auth-service-88b4cd688-kw4tc                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 195ms (195ms including waiting). Image size: 129968897 bytes.
