TIMESTAMP	TYPE	REASON	OBJECT	MESSAGE
2026-05-23T18:44:35Z	Normal	KEDAScalersStarted	scaledobject/auth-service-keda	Scaler prometheus is built
2026-05-23T18:45:36Z	Normal	KEDAScalersStopped	scaledobject/auth-service-keda	Stopped scalers watch
2026-05-23T18:45:36Z	Warning	ScaledObjectDeleted	scaledobject/auth-service-keda	ScaledObject was deleted
2026-05-23T18:47:46Z	Normal	KEDAScalersStarted	scaledobject/auth-service-keda	Scaler prometheus is built
2026-05-23T18:47:46Z	Normal	KEDAScalersStarted	scaledobject/auth-service-keda	Started scalers watch
2026-05-23T18:47:46Z	Normal	ScaledObjectReady	scaledobject/auth-service-keda	ScaledObject is ready for scaling
2026-05-23T18:49:25Z	Normal	Scheduled	pod/k6-auth-test-oscillating-auth-service-k1-oscillating-rep4-9mtrt	Successfully assigned ecommerce/k6-auth-test-oscillating-auth-service-k1-oscillating-rep4-9mtrt to aks-userpool-16719200-vmss00001y
2026-05-23T18:49:25Z	Normal	SuccessfulCreate	job/k6-auth-test-oscillating-auth-service-k1-oscillating-rep4	Created pod: k6-auth-test-oscillating-auth-service-k1-oscillating-rep4-9mtrt
2026-05-23T18:49:26Z	Normal	Pulling	pod/k6-auth-test-oscillating-auth-service-k1-oscillating-rep4-9mtrt	Pulling image "grafana/k6:latest"
2026-05-23T18:49:27Z	Normal	Pulled	pod/k6-auth-test-oscillating-auth-service-k1-oscillating-rep4-9mtrt	Successfully pulled image "grafana/k6:latest" in 1.471s (1.471s including waiting). Image size: 33785360 bytes.
2026-05-23T18:49:27Z	Normal	Created	pod/k6-auth-test-oscillating-auth-service-k1-oscillating-rep4-9mtrt	Created container: k6
2026-05-23T18:49:27Z	Normal	Started	pod/k6-auth-test-oscillating-auth-service-k1-oscillating-rep4-9mtrt	Started container k6
2026-05-23T18:50:16Z	Normal	Scheduled	pod/auth-service-55bd95c686-5n69v	Successfully assigned ecommerce/auth-service-55bd95c686-5n69v to aks-userpool-16719200-vmss00001y
2026-05-23T18:50:16Z	Normal	SuccessfulCreate	replicaset/auth-service-55bd95c686	Created pod: auth-service-55bd95c686-5n69v
2026-05-23T18:50:16Z	Normal	ScalingReplicaSet	deployment/auth-service	Scaled up replica set auth-service-55bd95c686 from 1 to 2
2026-05-23T18:50:16Z	Normal	SuccessfulRescale	horizontalpodautoscaler/keda-hpa-auth-service-keda	New size: 2; reason: external metric s0-prometheus(&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: auth-service-keda,},MatchExpressions:[]LabelSelectorRequirement{},}) above target
2026-05-23T18:50:17Z	Normal	Pulling	pod/auth-service-55bd95c686-5n69v	Pulling image "ecommerce.azurecr.io/auth-service:latest"
2026-05-23T18:50:17Z	Normal	Pulled	pod/auth-service-55bd95c686-5n69v	Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 207ms (207ms including waiting). Image size: 129975007 bytes.
