LAST SEEN   TYPE      REASON                 OBJECT                                                                MESSAGE
60m         Normal    SuccessfulCreate       job/k6-auth-test-oscillating-auth-service-h3-oscillating-rep1         Created pod: k6-auth-test-oscillating-auth-service-h3-oscillating-rep1-2zv5x
60m         Normal    Scheduled              pod/k6-auth-test-oscillating-auth-service-h3-oscillating-rep1-2zv5x   Successfully assigned ecommerce/k6-auth-test-oscillating-auth-service-h3-oscillating-rep1-2zv5x to aks-userpool-16719200-vmss000010
60m         Normal    Pulling                pod/k6-auth-test-oscillating-auth-service-h3-oscillating-rep1-2zv5x   Pulling image "grafana/k6:latest"
60m         Normal    Pulled                 pod/k6-auth-test-oscillating-auth-service-h3-oscillating-rep1-2zv5x   Successfully pulled image "grafana/k6:latest" in 1.453s (1.453s including waiting). Image size: 36750082 bytes.
60m         Normal    Started                pod/k6-auth-test-oscillating-auth-service-h3-oscillating-rep1-2zv5x   Started container k6
60m         Normal    Created                pod/k6-auth-test-oscillating-auth-service-h3-oscillating-rep1-2zv5x   Created container: k6
60m         Normal    Scheduled              pod/auth-service-88b4cd688-7xvfp                                      Successfully assigned ecommerce/auth-service-88b4cd688-7xvfp to aks-userpool-16719200-vmss000011
60m         Normal    SuccessfulRescale      horizontalpodautoscaler/auth-service-hpa-custom                       New size: 2; reason: pods metric http_requests_per_second above target
60m         Normal    SuccessfulCreate       replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-7xvfp
59m         Normal    Pulled                 pod/auth-service-88b4cd688-7xvfp                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 234ms (234ms including waiting). Image size: 129968897 bytes.
59m         Normal    Pulling                pod/auth-service-88b4cd688-7xvfp                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
59m         Normal    Created                pod/auth-service-88b4cd688-7xvfp                                      Created container: auth-service
59m         Normal    Started                pod/auth-service-88b4cd688-7xvfp                                      Started container auth-service
59m         Normal    SuccessfulCreate       replicaset/auth-service-88b4cd688                                     Created pod: auth-service-88b4cd688-vgw9x
59m         Normal    Scheduled              pod/auth-service-88b4cd688-vgw9x                                      Successfully assigned ecommerce/auth-service-88b4cd688-vgw9x to aks-userpool-16719200-vmss000011
59m         Normal    SuccessfulRescale      horizontalpodautoscaler/auth-service-hpa-custom                       New size: 3; reason: pods metric http_requests_per_second above target
59m         Normal    Pulling                pod/auth-service-88b4cd688-vgw9x                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
59m         Normal    Started                pod/auth-service-88b4cd688-vgw9x                                      Started container auth-service
59m         Normal    Created                pod/auth-service-88b4cd688-vgw9x                                      Created container: auth-service
59m         Normal    Pulled                 pod/auth-service-88b4cd688-vgw9x                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 120ms (120ms including waiting). Image size: 129968897 bytes.
57m         Normal    Scheduled              pod/auth-service-88b4cd688-ffm55                                      Successfully assigned ecommerce/auth-service-88b4cd688-ffm55 to aks-userpool-16719200-vmss000010
57m         Normal    Scheduled              pod/auth-service-88b4cd688-z46j4                                      Successfully assigned ecommerce/auth-service-88b4cd688-z46j4 to aks-userpool-16719200-vmss000011
57m         Normal    Pulling                pod/auth-service-88b4cd688-z46j4                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
57m         Normal    Pulling                pod/auth-service-88b4cd688-ffm55                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
57m         Normal    Started                pod/auth-service-88b4cd688-z46j4                                      Started container auth-service
57m         Normal    Created                pod/auth-service-88b4cd688-z46j4                                      Created container: auth-service
57m         Normal    Pulled                 pod/auth-service-88b4cd688-z46j4                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 177ms (177ms including waiting). Image size: 129968897 bytes.
57m         Normal    Pulled                 pod/auth-service-88b4cd688-ffm55                                      Successfully pulled image "ecommerce.azurecr.io/auth-service:latest" in 94ms (94ms including waiting). Image size: 129968897 bytes.
57m         Normal    Created                pod/auth-service-88b4cd688-ffm55                                      Created container: auth-service
57m         Normal    Started                pod/auth-service-88b4cd688-ffm55                                      Started container auth-service
57m         Warning   Unhealthy              pod/auth-service-88b4cd688-vgw9x                                      Readiness probe failed: Get "http://10.244.1.141:8001/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
55m         Normal    SuccessfulDelete       replicaset/auth-service-88b4cd688                                     Deleted pod: auth-service-88b4cd688-z46j4
55m         Normal    Killing                pod/auth-service-88b4cd688-z46j4                                      Stopping container auth-service
55m         Normal    Killing                pod/auth-service-88b4cd688-vgw9x                                      Stopping container auth-service
54m         Normal    Scheduled              pod/auth-service-88b4cd688-skwvg                                      Successfully assigned ecommerce/auth-service-88b4cd688-skwvg to aks-userpool-16719200-vmss000011
54m         Normal    Pulling                pod/auth-service-88b4cd688-m2cv4                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
54m         Normal    Created                pod/auth-service-88b4cd688-skwvg                                      Created container: auth-service
54m         Normal    Pulling                pod/auth-service-88b4cd688-skwvg                                      Pulling image "ecommerce.azurecr.io/auth-service:latest"
