LAST SEEN   TYPE      REASON                   OBJECT                                                           MESSAGE
57m         Normal    Scheduled                pod/product-service-5c668487c-sb6rk                              Successfully assigned ecommerce/product-service-5c668487c-sb6rk to aks-userpool-16719200-vmss00000f
40m         Normal    Scheduled                pod/k6-load-test-gradual-product-service-b1-gradual-rep1-669jm   Successfully assigned ecommerce/k6-load-test-gradual-product-service-b1-gradual-rep1-669jm to aks-userpool-16719200-vmss00000h
18m         Normal    Scheduled                pod/k6-load-test-spike-product-service-b1-spike-rep1-mhqqd       Successfully assigned ecommerce/k6-load-test-spike-product-service-b1-spike-rep1-mhqqd to aks-userpool-16719200-vmss00000h
56m         Normal    Scheduled                pod/redis-795dff8cc4-z95gw                                       Successfully assigned ecommerce/redis-795dff8cc4-z95gw to aks-userpool-16719200-vmss00000h
57m         Normal    Scheduled                pod/order-service-778787b555-rr9nc                               Successfully assigned ecommerce/order-service-778787b555-rr9nc to aks-userpool-16719200-vmss00000f
57m         Normal    Scheduled                pod/cart-service-7d7fdd477-v2g7k                                 Successfully assigned ecommerce/cart-service-7d7fdd477-v2g7k to aks-userpool-16719200-vmss00000h
57m         Normal    Scheduled                pod/redis-795dff8cc4-8bd49                                       Successfully assigned ecommerce/redis-795dff8cc4-8bd49 to aks-userpool-16719200-vmss00000h
55m         Normal    Scheduled                pod/redis-66b87f6c7c-d4g5s                                       Successfully assigned ecommerce/redis-66b87f6c7c-d4g5s to aks-userpool-16719200-vmss00000h
57m         Normal    Scheduled                pod/api-gateway-55bf47c6f6-vt2tb                                 Successfully assigned ecommerce/api-gateway-55bf47c6f6-vt2tb to aks-userpool-16719200-vmss00000f
57m         Normal    Scheduled                pod/payment-service-78b57ddcc5-b9mb7                             Successfully assigned ecommerce/payment-service-78b57ddcc5-b9mb7 to aks-userpool-16719200-vmss00000h
57m         Normal    Scheduled                pod/auth-service-676fc6d7d5-mzhq7                                Successfully assigned ecommerce/auth-service-676fc6d7d5-mzhq7 to aks-userpool-16719200-vmss00000f
43m         Normal    Scheduled                pod/product-service-75f4ddbd56-6nv6h                             Successfully assigned ecommerce/product-service-75f4ddbd56-6nv6h to aks-userpool-16719200-vmss00000h
57m         Normal    SuccessfulCreate         replicaset/product-service-5c668487c                             Created pod: product-service-5c668487c-sb6rk
57m         Normal    ScalingReplicaSet        deployment/api-gateway                                           Scaled up replica set api-gateway-55bf47c6f6 from 0 to 1
57m         Normal    ScalingReplicaSet        deployment/payment-service                                       Scaled up replica set payment-service-78b57ddcc5 from 0 to 1
57m         Normal    SuccessfulCreate         replicaset/auth-service-676fc6d7d5                               Created pod: auth-service-676fc6d7d5-mzhq7
57m         Normal    SuccessfulCreate         replicaset/payment-service-78b57ddcc5                            Created pod: payment-service-78b57ddcc5-b9mb7
57m         Normal    ScalingReplicaSet        deployment/product-service                                       Scaled up replica set product-service-5c668487c from 0 to 1
57m         Normal    ScalingReplicaSet        deployment/auth-service                                          Scaled up replica set auth-service-676fc6d7d5 from 0 to 1
57m         Normal    SuccessfulCreate         replicaset/cart-service-7d7fdd477                                Created pod: cart-service-7d7fdd477-v2g7k
57m         Normal    ScalingReplicaSet        deployment/order-service                                         Scaled up replica set order-service-778787b555 from 0 to 1
57m         Normal    SuccessfulCreate         replicaset/order-service-778787b555                              Created pod: order-service-778787b555-rr9nc
57m         Normal    SuccessfulCreate         replicaset/api-gateway-55bf47c6f6                                Created pod: api-gateway-55bf47c6f6-vt2tb
57m         Warning   FailedAttachVolume       pod/redis-795dff8cc4-8bd49                                       Multi-Attach error for volume "pvc-2b137495-17bd-49d9-b92d-eca2c62e859c" Volume is already used by pod(s) redis-66b87f6c7c-jk4s8
57m         Normal    SuccessfulCreate         replicaset/redis-795dff8cc4                                      Created pod: redis-795dff8cc4-8bd49
57m         Normal    ScalingReplicaSet        deployment/redis                                                 Scaled up replica set redis-795dff8cc4 from 0 to 1
57m         Normal    ScalingReplicaSet        deployment/cart-service                                          Scaled up replica set cart-service-7d7fdd477 from 0 to 1
57m         Normal    Killing                  pod/payment-service-786d8f4656-hh8nk                             Stopping container payment-service
57m         Normal    Started                  pod/product-service-5c668487c-sb6rk                              Started container product-service
57m         Normal    Pulling                  pod/api-gateway-55bf47c6f6-vt2tb                                 Pulling image "ecommerce.azurecr.io/api-gateway:latest"
57m         Normal    Started                  pod/cart-service-7d7fdd477-v2g7k                                 Started container cart-service
57m         Normal    Pulled                   pod/api-gateway-55bf47c6f6-vt2tb                                 Successfully pulled image "ecommerce.azurecr.io/api-gateway:latest" in 383ms (383ms including waiting). Image size: 92720454 bytes.
