LAST SEEN   TYPE      REASON                 OBJECT                                                                MESSAGE
59m         Warning   BackOff                pod/product-db-0                                                      Back-off restarting failed container postgres in pod product-db-0_ecommerce(fd67689f-7e28-43d4-8030-f4de40a82e99)
59m         Warning   Unhealthy              pod/product-service-646fd4c8b8-npkcq                                  Readiness probe failed: HTTP probe failed with statuscode: 503
59m         Warning   Unhealthy              pod/product-service-646fd4c8b8-z5sbq                                  Readiness probe failed: HTTP probe failed with statuscode: 503
58m         Warning   Unhealthy              pod/product-service-646fd4c8b8-77wm6                                  Readiness probe failed: HTTP probe failed with statuscode: 503
58m         Warning   Unhealthy              pod/product-service-646fd4c8b8-76pq5                                  Readiness probe failed: HTTP probe failed with statuscode: 503
52m         Warning   Unhealthy              pod/product-service-646fd4c8b8-npkcq                                  Readiness probe failed: Get "http://10.244.1.108:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
52m         Warning   Unhealthy              pod/product-service-646fd4c8b8-77wm6                                  Readiness probe failed: Get "http://10.244.2.114:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
52m         Warning   Unhealthy              pod/product-service-646fd4c8b8-76pq5                                  Readiness probe failed: Get "http://10.244.1.160:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
52m         Warning   Unhealthy              pod/product-service-646fd4c8b8-z5sbq                                  Readiness probe failed: Get "http://10.244.1.61:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
50m         Warning   BackoffLimitExceeded   job/k6-load-test-gradual-product-service-b2-gradual-rep1              Job has reached the specified backoff limit
44m         Normal    Killing                pod/product-service-646fd4c8b8-z5sbq                                  Stopping container product-service
44m         Normal    Killing                pod/product-service-646fd4c8b8-77wm6                                  Stopping container product-service
44m         Normal    SuccessfulDelete       replicaset/product-service-646fd4c8b8                                 Deleted pod: product-service-646fd4c8b8-z5sbq
44m         Normal    Killing                pod/product-service-646fd4c8b8-76pq5                                  Stopping container product-service
44m         Normal    Killing                pod/product-service-646fd4c8b8-npkcq                                  Stopping container product-service
44m         Normal    SuccessfulDelete       replicaset/product-service-646fd4c8b8                                 Deleted pod: product-service-646fd4c8b8-npkcq
44m         Normal    SuccessfulDelete       replicaset/product-service-646fd4c8b8                                 Deleted pod: product-service-646fd4c8b8-76pq5
44m         Normal    SuccessfulDelete       replicaset/product-service-646fd4c8b8                                 Deleted pod: product-service-646fd4c8b8-77wm6
42m         Normal    SuccessfulCreate       replicaset/product-service-646fd4c8b8                                 Created pod: product-service-646fd4c8b8-qxt9v
42m         Normal    Scheduled              pod/product-service-646fd4c8b8-tqb4h                                  Successfully assigned ecommerce/product-service-646fd4c8b8-tqb4h to aks-userpool-16719200-vmss000011
42m         Normal    Scheduled              pod/product-service-646fd4c8b8-qxt9v                                  Successfully assigned ecommerce/product-service-646fd4c8b8-qxt9v to aks-userpool-16719200-vmss000011
42m         Normal    SuccessfulCreate       replicaset/product-service-646fd4c8b8                                 Created pod: product-service-646fd4c8b8-tqb4h
42m         Normal    Scheduled              pod/product-service-646fd4c8b8-tsrzc                                  Successfully assigned ecommerce/product-service-646fd4c8b8-tsrzc to aks-userpool-16719200-vmss000010
42m         Normal    Pulling                pod/product-service-646fd4c8b8-gh2v8                                  Pulling image "ecommerce.azurecr.io/product-service:latest"
42m         Normal    Pulling                pod/product-service-646fd4c8b8-qxt9v                                  Pulling image "ecommerce.azurecr.io/product-service:latest"
42m         Normal    SuccessfulCreate       replicaset/product-service-646fd4c8b8                                 Created pod: product-service-646fd4c8b8-tsrzc
42m         Normal    SuccessfulCreate       replicaset/product-service-646fd4c8b8                                 Created pod: product-service-646fd4c8b8-gh2v8
42m         Normal    Pulling                pod/product-service-646fd4c8b8-tqb4h                                  Pulling image "ecommerce.azurecr.io/product-service:latest"
42m         Normal    Scheduled              pod/product-service-646fd4c8b8-gh2v8                                  Successfully assigned ecommerce/product-service-646fd4c8b8-gh2v8 to aks-userpool-16719200-vmss000011
42m         Normal    Started                pod/product-service-646fd4c8b8-tsrzc                                  Started container product-service
42m         Normal    Created                pod/product-service-646fd4c8b8-tsrzc                                  Created container: product-service
42m         Normal    Pulled                 pod/product-service-646fd4c8b8-tsrzc                                  Successfully pulled image "ecommerce.azurecr.io/product-service:latest" in 199ms (199ms including waiting). Image size: 114682246 bytes.
42m         Normal    Pulling                pod/product-service-646fd4c8b8-tsrzc                                  Pulling image "ecommerce.azurecr.io/product-service:latest"
42m         Normal    Started                pod/product-service-646fd4c8b8-gh2v8                                  Started container product-service
42m         Normal    Created                pod/product-service-646fd4c8b8-qxt9v                                  Created container: product-service
42m         Normal    Pulled                 pod/product-service-646fd4c8b8-qxt9v                                  Successfully pulled image "ecommerce.azurecr.io/product-service:latest" in 399ms (399ms including waiting). Image size: 114682246 bytes.
42m         Normal    Started                pod/product-service-646fd4c8b8-qxt9v                                  Started container product-service
42m         Normal    Pulled                 pod/product-service-646fd4c8b8-gh2v8                                  Successfully pulled image "ecommerce.azurecr.io/product-service:latest" in 332ms (332ms including waiting). Image size: 114682246 bytes.
42m         Normal    Created                pod/product-service-646fd4c8b8-gh2v8                                  Created container: product-service
42m         Normal    Pulled                 pod/product-service-646fd4c8b8-tqb4h                                  Successfully pulled image "ecommerce.azurecr.io/product-service:latest" in 371ms (371ms including waiting). Image size: 114682246 bytes.
42m         Normal    Created                pod/product-service-646fd4c8b8-tqb4h                                  Created container: product-service
42m         Normal    Started                pod/product-service-646fd4c8b8-tqb4h                                  Started container product-service
40m         Normal    SuccessfulCreate       job/k6-load-test-spike-product-service-b2-spike-rep1                  Created pod: k6-load-test-spike-product-service-b2-spike-rep1-tb5tm
40m         Normal    Scheduled              pod/k6-load-test-spike-product-service-b2-spike-rep1-tb5tm            Successfully assigned ecommerce/k6-load-test-spike-product-service-b2-spike-rep1-tb5tm to aks-userpool-16719200-vmss000010
40m         Normal    Pulling                pod/k6-load-test-spike-product-service-b2-spike-rep1-tb5tm            Pulling image "grafana/k6:latest"
40m         Normal    Created                pod/k6-load-test-spike-product-service-b2-spike-rep1-tb5tm            Created container: k6
40m         Normal    Started                pod/k6-load-test-spike-product-service-b2-spike-rep1-tb5tm            Started container k6
40m         Normal    Pulled                 pod/k6-load-test-spike-product-service-b2-spike-rep1-tb5tm            Successfully pulled image "grafana/k6:latest" in 1.458s (1.458s including waiting). Image size: 36750082 bytes.
39m         Warning   Unhealthy              pod/product-db-0                                                      Readiness probe failed:
39m         Warning   Unhealthy              pod/product-service-646fd4c8b8-tqb4h                                  Readiness probe failed: HTTP probe failed with statuscode: 503
30m         Warning   Unhealthy              pod/product-service-646fd4c8b8-tsrzc                                  Readiness probe failed: Get "http://10.244.2.195:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
30m         Warning   Unhealthy              pod/product-service-646fd4c8b8-qxt9v                                  Readiness probe failed: Get "http://10.244.1.59:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
30m         Warning   Unhealthy              pod/product-service-646fd4c8b8-gh2v8                                  Readiness probe failed: Get "http://10.244.1.142:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
29m         Warning   Unhealthy              pod/product-service-646fd4c8b8-tqb4h                                  Readiness probe failed: Get "http://10.244.1.121:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
27m         Warning   BackoffLimitExceeded   job/k6-load-test-spike-product-service-b2-spike-rep1                  Job has reached the specified backoff limit
22m         Normal    Killing                pod/product-service-646fd4c8b8-tsrzc                                  Stopping container product-service
22m         Normal    SuccessfulDelete       replicaset/product-service-646fd4c8b8                                 Deleted pod: product-service-646fd4c8b8-gh2v8
22m         Normal    ScalingReplicaSet      deployment/product-service                                            Scaled down replica set product-service-646fd4c8b8 from 5 to 1
22m         Normal    Killing                pod/product-service-646fd4c8b8-tqb4h                                  Stopping container product-service
22m         Normal    Killing                pod/product-service-646fd4c8b8-gh2v8                                  Stopping container product-service
22m         Normal    SuccessfulDelete       replicaset/product-service-646fd4c8b8                                 Deleted pod: product-service-646fd4c8b8-tsrzc
22m         Normal    SuccessfulDelete       replicaset/product-service-646fd4c8b8                                 Deleted pod: product-service-646fd4c8b8-qxt9v
