LAST SEEN   TYPE      REASON                 OBJECT                                                             MESSAGE
50m         Warning   BackoffLimitExceeded   job/k6-load-test-oscillating-product-service-b1-oscillating-rep1   Job has reached the specified backoff limit
42m         Normal    Pulling                pod/product-service-646fd4c8b8-npkcq                               Pulling image "ecommerce.azurecr.io/product-service:latest"
42m         Normal    Pulling                pod/product-service-646fd4c8b8-76pq5                               Pulling image "ecommerce.azurecr.io/product-service:latest"
42m         Normal    SuccessfulCreate       replicaset/product-service-646fd4c8b8                              Created pod: product-service-646fd4c8b8-z5sbq
42m         Normal    SuccessfulCreate       replicaset/product-service-646fd4c8b8                              Created pod: product-service-646fd4c8b8-77wm6
42m         Normal    SuccessfulCreate       replicaset/product-service-646fd4c8b8                              Created pod: product-service-646fd4c8b8-76pq5
42m         Normal    SuccessfulCreate       replicaset/product-service-646fd4c8b8                              Created pod: product-service-646fd4c8b8-npkcq
42m         Normal    Pulling                pod/product-service-646fd4c8b8-z5sbq                               Pulling image "ecommerce.azurecr.io/product-service:latest"
42m         Normal    Scheduled              pod/product-service-646fd4c8b8-z5sbq                               Successfully assigned ecommerce/product-service-646fd4c8b8-z5sbq to aks-userpool-16719200-vmss000011
42m         Normal    Scheduled              pod/product-service-646fd4c8b8-76pq5                               Successfully assigned ecommerce/product-service-646fd4c8b8-76pq5 to aks-userpool-16719200-vmss000011
42m         Normal    Scheduled              pod/product-service-646fd4c8b8-77wm6                               Successfully assigned ecommerce/product-service-646fd4c8b8-77wm6 to aks-userpool-16719200-vmss000010
42m         Normal    Scheduled              pod/product-service-646fd4c8b8-npkcq                               Successfully assigned ecommerce/product-service-646fd4c8b8-npkcq to aks-userpool-16719200-vmss000011
42m         Normal    Pulled                 pod/product-service-646fd4c8b8-76pq5                               Successfully pulled image "ecommerce.azurecr.io/product-service:latest" in 483ms (483ms including waiting). Image size: 114682246 bytes.
42m         Normal    Created                pod/product-service-646fd4c8b8-77wm6                               Created container: product-service
42m         Normal    Started                pod/product-service-646fd4c8b8-76pq5                               Started container product-service
42m         Normal    Pulled                 pod/product-service-646fd4c8b8-z5sbq                               Successfully pulled image "ecommerce.azurecr.io/product-service:latest" in 508ms (508ms including waiting). Image size: 114682246 bytes.
42m         Normal    Created                pod/product-service-646fd4c8b8-76pq5                               Created container: product-service
42m         Normal    Created                pod/product-service-646fd4c8b8-z5sbq                               Created container: product-service
42m         Normal    Started                pod/product-service-646fd4c8b8-z5sbq                               Started container product-service
42m         Normal    Created                pod/product-service-646fd4c8b8-npkcq                               Created container: product-service
42m         Normal    Pulling                pod/product-service-646fd4c8b8-77wm6                               Pulling image "ecommerce.azurecr.io/product-service:latest"
42m         Normal    Started                pod/product-service-646fd4c8b8-77wm6                               Started container product-service
42m         Normal    Pulled                 pod/product-service-646fd4c8b8-npkcq                               Successfully pulled image "ecommerce.azurecr.io/product-service:latest" in 471ms (471ms including waiting). Image size: 114682246 bytes.
42m         Normal    Started                pod/product-service-646fd4c8b8-npkcq                               Started container product-service
42m         Normal    Pulled                 pod/product-service-646fd4c8b8-77wm6                               Successfully pulled image "ecommerce.azurecr.io/product-service:latest" in 150ms (150ms including waiting). Image size: 114682246 bytes.
40m         Normal    SuccessfulCreate       job/k6-load-test-gradual-product-service-b2-gradual-rep1           Created pod: k6-load-test-gradual-product-service-b2-gradual-rep1-mg4bc
40m         Normal    Scheduled              pod/k6-load-test-gradual-product-service-b2-gradual-rep1-mg4bc     Successfully assigned ecommerce/k6-load-test-gradual-product-service-b2-gradual-rep1-mg4bc to aks-userpool-16719200-vmss000010
