LAST SEEN   TYPE      REASON                 OBJECT                                                                MESSAGE
34m         Normal    Scheduled              pod/k6-load-test-spike-product-service-h1-spike-rep1-4m67s            Successfully assigned ecommerce/k6-load-test-spike-product-service-h1-spike-rep1-4m67s to aks-userpool-16719200-vmss00000h
30m         Normal    Scheduled              pod/product-service-75f4ddbd56-q8hg2                                  Successfully assigned ecommerce/product-service-75f4ddbd56-q8hg2 to aks-userpool-16719200-vmss00000f
52m         Normal    Scheduled              pod/product-service-75f4ddbd56-65np9                                  Successfully assigned ecommerce/product-service-75f4ddbd56-65np9 to aks-userpool-16719200-vmss00000h
14m         Normal    Scheduled              pod/product-service-75f4ddbd56-6hfhz                                  Successfully assigned ecommerce/product-service-75f4ddbd56-6hfhz to aks-userpool-16719200-vmss00000h
56m         Normal    Scheduled              pod/k6-load-test-gradual-product-service-h1-gradual-rep1-75wrp        Successfully assigned ecommerce/k6-load-test-gradual-product-service-h1-gradual-rep1-75wrp to aks-userpool-16719200-vmss00000h
12m         Normal    Scheduled              pod/product-service-75f4ddbd56-49m4g                                  Successfully assigned ecommerce/product-service-75f4ddbd56-49m4g to aks-userpool-16719200-vmss00000h
51m         Normal    Scheduled              pod/product-service-75f4ddbd56-mqf66                                  Successfully assigned ecommerce/product-service-75f4ddbd56-mqf66 to aks-userpool-16719200-vmss00000h
51m         Normal    Scheduled              pod/product-service-75f4ddbd56-w4dlp                                  Successfully assigned ecommerce/product-service-75f4ddbd56-w4dlp to aks-userpool-16719200-vmss00000f
31m         Normal    Scheduled              pod/product-service-75f4ddbd56-pmflg                                  Successfully assigned ecommerce/product-service-75f4ddbd56-pmflg to aks-userpool-16719200-vmss00000f
15m         Normal    Scheduled              pod/k6-load-test-oscillating-product-service-h1-oscillating-respcql   Successfully assigned ecommerce/k6-load-test-oscillating-product-service-h1-oscillating-respcql to aks-userpool-16719200-vmss00000h
31m         Normal    Scheduled              pod/product-service-75f4ddbd56-h85qz                                  Successfully assigned ecommerce/product-service-75f4ddbd56-h85qz to aks-userpool-16719200-vmss00000h
11m         Normal    Scheduled              pod/product-service-75f4ddbd56-44jjt                                  Successfully assigned ecommerce/product-service-75f4ddbd56-44jjt to aks-userpool-16719200-vmss00000f
53m         Normal    Scheduled              pod/product-service-75f4ddbd56-f8lm2                                  Successfully assigned ecommerce/product-service-75f4ddbd56-f8lm2 to aks-userpool-16719200-vmss00000h
12m         Normal    Scheduled              pod/product-service-75f4ddbd56-dcnlg                                  Successfully assigned ecommerce/product-service-75f4ddbd56-dcnlg to aks-userpool-16719200-vmss00000h
33m         Normal    Scheduled              pod/product-service-75f4ddbd56-vzrnz                                  Successfully assigned ecommerce/product-service-75f4ddbd56-vzrnz to aks-userpool-16719200-vmss00000h
60m         Normal    ScalingReplicaSet      deployment/product-service                                            Scaled down replica set product-service-75f4ddbd56 from 5 to 1
60m         Normal    Killing                pod/product-service-75f4ddbd56-bh7hj                                  Stopping container product-service
60m         Normal    Killing                pod/product-service-75f4ddbd56-wq5s2                                  Stopping container product-service
60m         Normal    SuccessfulDelete       replicaset/product-service-75f4ddbd56                                 Deleted pod: product-service-75f4ddbd56-wq5s2
60m         Normal    Killing                pod/product-service-75f4ddbd56-z9xqk                                  Stopping container product-service
60m         Normal    SuccessfulDelete       replicaset/product-service-75f4ddbd56                                 Deleted pod: product-service-75f4ddbd56-z9xqk
60m         Normal    Killing                pod/product-service-75f4ddbd56-fttmz                                  Stopping container product-service
60m         Normal    SuccessfulDelete       replicaset/product-service-75f4ddbd56                                 Deleted pod: product-service-75f4ddbd56-fttmz
60m         Normal    SuccessfulDelete       replicaset/product-service-75f4ddbd56                                 Deleted pod: product-service-75f4ddbd56-bh7hj
56m         Normal    Pulling                pod/k6-load-test-gradual-product-service-h1-gradual-rep1-75wrp        Pulling image "grafana/k6:latest"
56m         Normal    SuccessfulCreate       job/k6-load-test-gradual-product-service-h1-gradual-rep1              Created pod: k6-load-test-gradual-product-service-h1-gradual-rep1-75wrp
56m         Normal    Started                pod/k6-load-test-gradual-product-service-h1-gradual-rep1-75wrp        Started container k6
56m         Normal    Created                pod/k6-load-test-gradual-product-service-h1-gradual-rep1-75wrp        Created container: k6
56m         Normal    Pulled                 pod/k6-load-test-gradual-product-service-h1-gradual-rep1-75wrp        Successfully pulled image "grafana/k6:latest" in 1.403s (1.403s including waiting). Image size: 36750082 bytes.
53m         Normal    SuccessfulRescale      horizontalpodautoscaler/product-service-hpa-default                   New size: 2; reason: cpu resource utilization (percentage of request) above target
53m         Normal    Pulled                 pod/product-service-75f4ddbd56-f8lm2                                  Container image "ecommerce.azurecr.io/product-service:latest" already present on machine
53m         Normal    SuccessfulCreate       replicaset/product-service-75f4ddbd56                                 Created pod: product-service-75f4ddbd56-f8lm2
53m         Normal    Started                pod/product-service-75f4ddbd56-f8lm2                                  Started container product-service
