LAST SEEN   TYPE      REASON                 OBJECT                                                                MESSAGE
13m         Normal    Scheduled              pod/product-service-75f4ddbd56-vzrnz                                  Successfully assigned ecommerce/product-service-75f4ddbd56-vzrnz to aks-userpool-16719200-vmss00000h
15m         Normal    Scheduled              pod/k6-load-test-spike-product-service-h1-spike-rep1-4m67s            Successfully assigned ecommerce/k6-load-test-spike-product-service-h1-spike-rep1-4m67s to aks-userpool-16719200-vmss00000h
59m         Normal    Scheduled              pod/product-service-75f4ddbd56-fttmz                                  Successfully assigned ecommerce/product-service-75f4ddbd56-fttmz to aks-userpool-16719200-vmss00000h
31m         Normal    Scheduled              pod/product-service-75f4ddbd56-w4dlp                                  Successfully assigned ecommerce/product-service-75f4ddbd56-w4dlp to aks-userpool-16719200-vmss00000f
59m         Normal    Scheduled              pod/product-service-75f4ddbd56-wq5s2                                  Successfully assigned ecommerce/product-service-75f4ddbd56-wq5s2 to aks-userpool-16719200-vmss00000h
33m         Normal    Scheduled              pod/product-service-75f4ddbd56-f8lm2                                  Successfully assigned ecommerce/product-service-75f4ddbd56-f8lm2 to aks-userpool-16719200-vmss00000h
37m         Normal    Scheduled              pod/k6-load-test-gradual-product-service-h1-gradual-rep1-75wrp        Successfully assigned ecommerce/k6-load-test-gradual-product-service-h1-gradual-rep1-75wrp to aks-userpool-16719200-vmss00000h
56m         Normal    Scheduled              pod/k6-load-test-oscillating-product-service-b2-oscillating-re4fgr6   Successfully assigned ecommerce/k6-load-test-oscillating-product-service-b2-oscillating-re4fgr6 to aks-userpool-16719200-vmss00000f
31m         Normal    Scheduled              pod/product-service-75f4ddbd56-mqf66                                  Successfully assigned ecommerce/product-service-75f4ddbd56-mqf66 to aks-userpool-16719200-vmss00000h
59m         Normal    Scheduled              pod/product-service-75f4ddbd56-bh7hj                                  Successfully assigned ecommerce/product-service-75f4ddbd56-bh7hj to aks-userpool-16719200-vmss00000h
11m         Normal    Scheduled              pod/product-service-75f4ddbd56-pmflg                                  Successfully assigned ecommerce/product-service-75f4ddbd56-pmflg to aks-userpool-16719200-vmss00000f
11m         Normal    Scheduled              pod/product-service-75f4ddbd56-q8hg2                                  Successfully assigned ecommerce/product-service-75f4ddbd56-q8hg2 to aks-userpool-16719200-vmss00000f
59m         Normal    Scheduled              pod/product-service-75f4ddbd56-z9xqk                                  Successfully assigned ecommerce/product-service-75f4ddbd56-z9xqk to aks-userpool-16719200-vmss00000h
