LAST SEEN   TYPE      REASON              OBJECT                                                                MESSAGE
15m         Normal    Scheduled           pod/k6-load-test-oscillating-product-service-h2-oscillating-rec4p9n   Successfully assigned ecommerce/k6-load-test-oscillating-product-service-h2-oscillating-rec4p9n to aks-userpool-16719200-vmss00000h
31m         Normal    Scheduled           pod/product-service-75f4ddbd56-drnfw                                  Successfully assigned ecommerce/product-service-75f4ddbd56-drnfw to aks-userpool-16719200-vmss00000f
12m         Normal    Scheduled           pod/product-service-75f4ddbd56-77nbr                                  Successfully assigned ecommerce/product-service-75f4ddbd56-77nbr to aks-userpool-16719200-vmss00000f
14m         Normal    Scheduled           pod/product-service-75f4ddbd56-j85hg                                  Successfully assigned ecommerce/product-service-75f4ddbd56-j85hg to aks-userpool-16719200-vmss00000h
12m         Normal    Scheduled           pod/product-service-75f4ddbd56-45vq6                                  Successfully assigned ecommerce/product-service-75f4ddbd56-45vq6 to aks-userpool-16719200-vmss00000h
49m         Normal    Scheduled           pod/product-service-75f4ddbd56-kdczt                                  Successfully assigned ecommerce/product-service-75f4ddbd56-kdczt to aks-userpool-16719200-vmss00000h
12m         Normal    Scheduled           pod/product-service-75f4ddbd56-5xxkf                                  Successfully assigned ecommerce/product-service-75f4ddbd56-5xxkf to aks-userpool-16719200-vmss00000f
31m         Normal    Scheduled           pod/product-service-75f4ddbd56-zdgzc                                  Successfully assigned ecommerce/product-service-75f4ddbd56-zdgzc to aks-userpool-16719200-vmss00000f
49m         Normal    Scheduled           pod/product-service-75f4ddbd56-nnlt5                                  Successfully assigned ecommerce/product-service-75f4ddbd56-nnlt5 to aks-userpool-16719200-vmss00000h
53m         Normal    Scheduled           pod/k6-load-test-gradual-product-service-h2-gradual-rep1-g862r        Successfully assigned ecommerce/k6-load-test-gradual-product-service-h2-gradual-rep1-g862r to aks-userpool-16719200-vmss00000h
48m         Normal    Scheduled           pod/product-service-75f4ddbd56-f5r6r                                  Successfully assigned ecommerce/product-service-75f4ddbd56-f5r6r to aks-userpool-16719200-vmss00000f
31m         Normal    Scheduled           pod/product-service-75f4ddbd56-f6sxm                                  Successfully assigned ecommerce/product-service-75f4ddbd56-f6sxm to aks-userpool-16719200-vmss00000h
9m25s       Normal    Scheduled           pod/product-service-75f4ddbd56-gw4wk                                  Successfully assigned ecommerce/product-service-75f4ddbd56-gw4wk to aks-userpool-16719200-vmss00000h
51m         Normal    Scheduled           pod/product-service-75f4ddbd56-twqrq                                  Successfully assigned ecommerce/product-service-75f4ddbd56-twqrq to aks-userpool-16719200-vmss00000h
33m         Normal    Scheduled           pod/product-service-75f4ddbd56-pm9hg                                  Successfully assigned ecommerce/product-service-75f4ddbd56-pm9hg to aks-userpool-16719200-vmss00000h
34m         Normal    Scheduled           pod/k6-load-test-spike-product-service-h2-spike-rep1-h46gr            Successfully assigned ecommerce/k6-load-test-spike-product-service-h2-spike-rep1-h46gr to aks-userpool-16719200-vmss00000h
