LAST SEEN   TYPE      REASON                 OBJECT                                                                MESSAGE
49m         Warning   BackoffLimitExceeded   job/k6-load-test-spike-product-service-h2-spike-rep1                  Job has reached the specified backoff limit
40m         Normal    SuccessfulCreate       job/k6-load-test-oscillating-product-service-h2-oscillating-rep1      Created pod: k6-load-test-oscillating-product-service-h2-oscillating-recp4xm
40m         Normal    Scheduled              pod/k6-load-test-oscillating-product-service-h2-oscillating-recp4xm   Successfully assigned ecommerce/k6-load-test-oscillating-product-service-h2-oscillating-recp4xm to aks-userpool-16719200-vmss000011
40m         Normal    Pulling                pod/k6-load-test-oscillating-product-service-h2-oscillating-recp4xm   Pulling image "grafana/k6:latest"
40m         Normal    Started                pod/k6-load-test-oscillating-product-service-h2-oscillating-recp4xm   Started container k6
40m         Normal    Created                pod/k6-load-test-oscillating-product-service-h2-oscillating-recp4xm   Created container: k6
40m         Normal    Pulled                 pod/k6-load-test-oscillating-product-service-h2-oscillating-recp4xm   Successfully pulled image "grafana/k6:latest" in 1.489s (1.489s including waiting). Image size: 36750082 bytes.
27m         Warning   BackoffLimitExceeded   job/k6-load-test-oscillating-product-service-h2-oscillating-rep1      Job has reached the specified backoff limit
18m         Normal    SuccessfulCreate       job/k6-load-test-gradual-product-service-h3-gradual-rep1              Created pod: k6-load-test-gradual-product-service-h3-gradual-rep1-642ht
18m         Normal    Scheduled              pod/k6-load-test-gradual-product-service-h3-gradual-rep1-642ht        Successfully assigned ecommerce/k6-load-test-gradual-product-service-h3-gradual-rep1-642ht to aks-userpool-16719200-vmss000011
18m         Normal    Pulling                pod/k6-load-test-gradual-product-service-h3-gradual-rep1-642ht        Pulling image "grafana/k6:latest"
18m         Normal    Created                pod/k6-load-test-gradual-product-service-h3-gradual-rep1-642ht        Created container: k6
18m         Normal    Pulled                 pod/k6-load-test-gradual-product-service-h3-gradual-rep1-642ht        Successfully pulled image "grafana/k6:latest" in 1.453s (1.453s including waiting). Image size: 36750082 bytes.
18m         Normal    Started                pod/k6-load-test-gradual-product-service-h3-gradual-rep1-642ht        Started container k6
17m         Normal    SuccessfulCreate       replicaset/product-service-646fd4c8b8                                 Created pod: product-service-646fd4c8b8-ckjlm
17m         Normal    Scheduled              pod/product-service-646fd4c8b8-ckjlm                                  Successfully assigned ecommerce/product-service-646fd4c8b8-ckjlm to aks-userpool-16719200-vmss000010
17m         Normal    SuccessfulRescale      horizontalpodautoscaler/product-service-hpa-custom                    New size: 2; reason: pods metric http_requests_per_second above target
17m         Normal    ScalingReplicaSet      deployment/product-service                                            Scaled up replica set product-service-646fd4c8b8 from 1 to 2
17m         Normal    Started                pod/product-service-646fd4c8b8-ckjlm                                  Started container product-service
17m         Normal    Created                pod/product-service-646fd4c8b8-ckjlm                                  Created container: product-service
17m         Normal    Pulled                 pod/product-service-646fd4c8b8-ckjlm                                  Successfully pulled image "ecommerce.azurecr.io/product-service:latest" in 263ms (263ms including waiting). Image size: 114682246 bytes.
17m         Normal    Pulling                pod/product-service-646fd4c8b8-ckjlm                                  Pulling image "ecommerce.azurecr.io/product-service:latest"
16m         Normal    Scheduled              pod/product-service-646fd4c8b8-h7zhw                                  Successfully assigned ecommerce/product-service-646fd4c8b8-h7zhw to aks-userpool-16719200-vmss000011
16m         Normal    SuccessfulCreate       replicaset/product-service-646fd4c8b8                                 Created pod: product-service-646fd4c8b8-h7zhw
16m         Normal    SuccessfulRescale      horizontalpodautoscaler/product-service-hpa-custom                    New size: 3; reason: pods metric http_requests_per_second above target
16m         Normal    ScalingReplicaSet      deployment/product-service                                            Scaled up replica set product-service-646fd4c8b8 from 2 to 3
16m         Normal    Pulling                pod/product-service-646fd4c8b8-h7zhw                                  Pulling image "ecommerce.azurecr.io/product-service:latest"
16m         Normal    Started                pod/product-service-646fd4c8b8-h7zhw                                  Started container product-service
16m         Normal    Created                pod/product-service-646fd4c8b8-h7zhw                                  Created container: product-service
16m         Normal    Pulled                 pod/product-service-646fd4c8b8-h7zhw                                  Successfully pulled image "ecommerce.azurecr.io/product-service:latest" in 160ms (160ms including waiting). Image size: 114682246 bytes.
15m         Normal    Scheduled              pod/product-service-646fd4c8b8-8lv44                                  Successfully assigned ecommerce/product-service-646fd4c8b8-8lv44 to aks-userpool-16719200-vmss000011
15m         Normal    Scheduled              pod/product-service-646fd4c8b8-vd6sg                                  Successfully assigned ecommerce/product-service-646fd4c8b8-vd6sg to aks-userpool-16719200-vmss000010
15m         Normal    Pulling                pod/product-service-646fd4c8b8-8lv44                                  Pulling image "ecommerce.azurecr.io/product-service:latest"
15m         Normal    Pulled                 pod/product-service-646fd4c8b8-8lv44                                  Successfully pulled image "ecommerce.azurecr.io/product-service:latest" in 159ms (159ms including waiting). Image size: 114682246 bytes.
15m         Normal    Created                pod/product-service-646fd4c8b8-8lv44                                  Created container: product-service
15m         Normal    SuccessfulCreate       replicaset/product-service-646fd4c8b8                                 Created pod: product-service-646fd4c8b8-8lv44
15m         Normal    SuccessfulCreate       replicaset/product-service-646fd4c8b8                                 Created pod: product-service-646fd4c8b8-vd6sg
15m         Normal    ScalingReplicaSet      deployment/product-service                                            Scaled up replica set product-service-646fd4c8b8 from 3 to 5
15m         Normal    Started                pod/product-service-646fd4c8b8-vd6sg                                  Started container product-service
15m         Normal    Created                pod/product-service-646fd4c8b8-vd6sg                                  Created container: product-service
15m         Normal    Pulled                 pod/product-service-646fd4c8b8-vd6sg                                  Successfully pulled image "ecommerce.azurecr.io/product-service:latest" in 153ms (153ms including waiting). Image size: 114682246 bytes.
15m         Normal    Pulling                pod/product-service-646fd4c8b8-vd6sg                                  Pulling image "ecommerce.azurecr.io/product-service:latest"
15m         Normal    Started                pod/product-service-646fd4c8b8-8lv44                                  Started container product-service
14m         Normal    SuccessfulDelete       replicaset/product-service-646fd4c8b8                                 Deleted pod: product-service-646fd4c8b8-vd6sg
14m         Normal    SuccessfulRescale      horizontalpodautoscaler/product-service-hpa-custom                    New size: 4; reason: All metrics below target
14m         Normal    ScalingReplicaSet      deployment/product-service                                            Scaled down replica set product-service-646fd4c8b8 from 5 to 4
14m         Normal    Killing                pod/product-service-646fd4c8b8-vd6sg                                  Stopping container product-service
14m         Warning   Unhealthy              pod/product-service-646fd4c8b8-vd6sg                                  Readiness probe failed: Get "http://10.244.2.32:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
13m         Warning   Unhealthy              pod/product-service-646fd4c8b8-vd6sg                                  Readiness probe failed: Get "http://10.244.2.32:8002/ready": dial tcp 10.244.2.32:8002: connect: connection refused
13m         Normal    Scheduled              pod/product-service-646fd4c8b8-hpbsv                                  Successfully assigned ecommerce/product-service-646fd4c8b8-hpbsv to aks-userpool-16719200-vmss000010
13m         Normal    ScalingReplicaSet      deployment/product-service                                            Scaled up replica set product-service-646fd4c8b8 from 4 to 5
13m         Normal    SuccessfulCreate       replicaset/product-service-646fd4c8b8                                 Created pod: product-service-646fd4c8b8-hpbsv
13m         Normal    SuccessfulRescale      horizontalpodautoscaler/product-service-hpa-custom                    New size: 5; reason: pods metric http_requests_per_second above target
13m         Normal    Pulled                 pod/product-service-646fd4c8b8-hpbsv                                  Successfully pulled image "ecommerce.azurecr.io/product-service:latest" in 170ms (170ms including waiting). Image size: 114682246 bytes.
13m         Normal    Pulling                pod/product-service-646fd4c8b8-hpbsv                                  Pulling image "ecommerce.azurecr.io/product-service:latest"
13m         Normal    Created                pod/product-service-646fd4c8b8-hpbsv                                  Created container: product-service
13m         Normal    Started                pod/product-service-646fd4c8b8-hpbsv                                  Started container product-service
9m43s       Warning   Unhealthy              pod/product-service-646fd4c8b8-8lv44                                  Readiness probe failed: Get "http://10.244.1.239:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
8m18s       Warning   Unhealthy              pod/product-service-646fd4c8b8-hpbsv                                  Readiness probe failed: Get "http://10.244.2.117:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
8m12s       Warning   Unhealthy              pod/product-service-646fd4c8b8-q7dm4                                  Readiness probe failed: Get "http://10.244.2.183:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
7m3s        Warning   Unhealthy              pod/product-db-0                                                      Readiness probe failed: command timed out: "pg_isready -U product_user -d product_db" timed out after 1s
