LAST SEEN   TYPE      REASON                         OBJECT                                                                MESSAGE
62m         Normal    Scheduled                      pod/k6-load-test-gradual-product-service-h3-gradual-rep1-gfbmx        Successfully assigned ecommerce/k6-load-test-gradual-product-service-h3-gradual-rep1-gfbmx to aks-userpool-16719200-vmss00000h
40m         Normal    Scheduled                      pod/k6-load-test-spike-product-service-h3-spike-rep1-hdxc6            Successfully assigned ecommerce/k6-load-test-spike-product-service-h3-spike-rep1-hdxc6 to aks-userpool-16719200-vmss00000h
18m         Normal    Scheduled                      pod/k6-load-test-oscillating-product-service-h3-oscillating-rep74n6   Successfully assigned ecommerce/k6-load-test-oscillating-product-service-h3-oscillating-rep74n6 to aks-userpool-16719200-vmss00000h
62m         Normal    SuccessfulCreate               job/k6-load-test-gradual-product-service-h3-gradual-rep1              Created pod: k6-load-test-gradual-product-service-h3-gradual-rep1-gfbmx
62m         Normal    Pulling                        pod/k6-load-test-gradual-product-service-h3-gradual-rep1-gfbmx        Pulling image "grafana/k6:latest"
62m         Normal    Pulled                         pod/k6-load-test-gradual-product-service-h3-gradual-rep1-gfbmx        Successfully pulled image "grafana/k6:latest" in 1.51s (1.51s including waiting). Image size: 36750082 bytes.
62m         Normal    Created                        pod/k6-load-test-gradual-product-service-h3-gradual-rep1-gfbmx        Created container: k6
62m         Normal    Started                        pod/k6-load-test-gradual-product-service-h3-gradual-rep1-gfbmx        Started container k6
61m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/product-service-hpa-custom                    invalid metrics (1 invalid out of 1), first error is: failed to get pods metric value: unable to get metric http_requests_per_second: unable to fetch metrics from custom metrics API: the server could not find the metric http_requests_per_second for pods
50m         Warning   BackoffLimitExceeded           job/k6-load-test-gradual-product-service-h3-gradual-rep1              Job has reached the specified backoff limit
44m         Warning   FailedGetPodsMetric            horizontalpodautoscaler/product-service-hpa-custom                    unable to get metric http_requests_per_second: unable to fetch metrics from custom metrics API: the server could not find the metric http_requests_per_second for pods
40m         Normal    SuccessfulCreate               job/k6-load-test-spike-product-service-h3-spike-rep1                  Created pod: k6-load-test-spike-product-service-h3-spike-rep1-hdxc6
40m         Normal    Pulling                        pod/k6-load-test-spike-product-service-h3-spike-rep1-hdxc6            Pulling image "grafana/k6:latest"
40m         Normal    Pulled                         pod/k6-load-test-spike-product-service-h3-spike-rep1-hdxc6            Successfully pulled image "grafana/k6:latest" in 1.892s (1.892s including waiting). Image size: 36750082 bytes.
40m         Normal    Created                        pod/k6-load-test-spike-product-service-h3-spike-rep1-hdxc6            Created container: k6
40m         Normal    Started                        pod/k6-load-test-spike-product-service-h3-spike-rep1-hdxc6            Started container k6
39m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/product-service-hpa-custom                    invalid metrics (1 invalid out of 1), first error is: failed to get pods metric value: unable to get metric http_requests_per_second: unable to fetch metrics from custom metrics API: the server could not find the metric http_requests_per_second for pods
28m         Warning   BackoffLimitExceeded           job/k6-load-test-spike-product-service-h3-spike-rep1                  Job has reached the specified backoff limit
22m         Warning   FailedGetPodsMetric            horizontalpodautoscaler/product-service-hpa-custom                    unable to get metric http_requests_per_second: unable to fetch metrics from custom metrics API: the server could not find the metric http_requests_per_second for pods
18m         Normal    SuccessfulCreate               job/k6-load-test-oscillating-product-service-h3-oscillating-rep1      Created pod: k6-load-test-oscillating-product-service-h3-oscillating-rep74n6
18m         Normal    Pulling                        pod/k6-load-test-oscillating-product-service-h3-oscillating-rep74n6   Pulling image "grafana/k6:latest"
18m         Normal    Started                        pod/k6-load-test-oscillating-product-service-h3-oscillating-rep74n6   Started container k6
18m         Normal    Created                        pod/k6-load-test-oscillating-product-service-h3-oscillating-rep74n6   Created container: k6
18m         Normal    Pulled                         pod/k6-load-test-oscillating-product-service-h3-oscillating-rep74n6   Successfully pulled image "grafana/k6:latest" in 1.442s (1.442s including waiting). Image size: 36750082 bytes.
17m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/product-service-hpa-custom                    invalid metrics (1 invalid out of 1), first error is: failed to get pods metric value: unable to get metric http_requests_per_second: unable to fetch metrics from custom metrics API: the server could not find the metric http_requests_per_second for pods
9m45s       Warning   Unhealthy                      pod/product-service-75f4ddbd56-5xxkf                                  Readiness probe failed: Get "http://10.244.1.120:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
6m2s        Warning   BackoffLimitExceeded           job/k6-load-test-oscillating-product-service-h3-oscillating-rep1      Job has reached the specified backoff limit
34s         Warning   FailedGetPodsMetric            horizontalpodautoscaler/product-service-hpa-custom                    unable to get metric http_requests_per_second: unable to fetch metrics from custom metrics API: the server could not find the metric http_requests_per_second for pods
