LAST SEEN   TYPE      REASON                 OBJECT                                                             MESSAGE
58m         Normal    Scheduled              pod/product-service-646fd4c8b8-jfp4l                               Successfully assigned ecommerce/product-service-646fd4c8b8-jfp4l to aks-userpool-16719200-vmss000011
58m         Normal    Scheduled              pod/product-service-646fd4c8b8-n8bhw                               Successfully assigned ecommerce/product-service-646fd4c8b8-n8bhw to aks-userpool-16719200-vmss000010
58m         Normal    SuccessfulCreate       replicaset/product-service-646fd4c8b8                              Created pod: product-service-646fd4c8b8-n8bhw
58m         Normal    Pulling                pod/product-service-646fd4c8b8-n8bhw                               Pulling image "ecommerce.azurecr.io/product-service:latest"
58m         Normal    Pulling                pod/product-service-646fd4c8b8-jfp4l                               Pulling image "ecommerce.azurecr.io/product-service:latest"
58m         Normal    Pulled                 pod/product-service-646fd4c8b8-jfp4l                               Successfully pulled image "ecommerce.azurecr.io/product-service:latest" in 194ms (194ms including waiting). Image size: 114682246 bytes.
58m         Normal    Created                pod/product-service-646fd4c8b8-jfp4l                               Created container: product-service
58m         Normal    Pulled                 pod/product-service-646fd4c8b8-n8bhw                               Successfully pulled image "ecommerce.azurecr.io/product-service:latest" in 159ms (159ms including waiting). Image size: 114682246 bytes.
58m         Normal    Started                pod/product-service-646fd4c8b8-jfp4l                               Started container product-service
58m         Normal    Created                pod/product-service-646fd4c8b8-n8bhw                               Created container: product-service
58m         Normal    Started                pod/product-service-646fd4c8b8-n8bhw                               Started container product-service
58m         Normal    Scheduled              pod/product-service-646fd4c8b8-qzrqw                               Successfully assigned ecommerce/product-service-646fd4c8b8-qzrqw to aks-userpool-16719200-vmss000010
58m         Normal    ScalingReplicaSet      deployment/product-service                                         (combined from similar events): Scaled up replica set product-service-646fd4c8b8 from 3 to 4
58m         Normal    Created                pod/product-service-646fd4c8b8-qzrqw                               Created container: product-service
58m         Normal    Pulling                pod/product-service-646fd4c8b8-qzrqw                               Pulling image "ecommerce.azurecr.io/product-service:latest"
58m         Normal    Pulled                 pod/product-service-646fd4c8b8-qzrqw                               Successfully pulled image "ecommerce.azurecr.io/product-service:latest" in 96ms (96ms including waiting). Image size: 114682246 bytes.
58m         Normal    Started                pod/product-service-646fd4c8b8-qzrqw                               Started container product-service
57m         Warning   Unhealthy              pod/product-service-646fd4c8b8-76rq6                               Readiness probe failed: Get "http://10.244.2.255:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
57m         Normal    Killing                pod/product-service-646fd4c8b8-n8bhw                               Stopping container product-service
57m         Warning   Unhealthy              pod/product-service-646fd4c8b8-n8bhw                               Readiness probe failed: Get "http://10.244.2.190:8002/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
57m         Warning   Unhealthy              pod/product-service-646fd4c8b8-n8bhw                               Readiness probe failed: Get "http://10.244.2.190:8002/ready": dial tcp 10.244.2.190:8002: connect: connection refused
56m         Normal    Scheduled              pod/product-service-646fd4c8b8-7k87v                               Successfully assigned ecommerce/product-service-646fd4c8b8-7k87v to aks-userpool-16719200-vmss000011
