TIMESTAMP	TYPE	REASON	OBJECT	MESSAGE
2026-08-15T17:45:31Z	Normal	Killing	pod/shipping-rate-service-68467f5cb-2x9nt	Stopping container shipping-rate-service
2026-08-15T17:45:31Z	Normal	SuccessfulDelete	replicaset/shipping-rate-service-68467f5cb	Deleted pod: shipping-rate-service-68467f5cb-2x9nt
2026-08-15T17:45:31Z	Normal	SuccessfulRescale	horizontalpodautoscaler/shipping-rate-service-hpa-default	New size: 4; reason: All metrics below target
2026-08-15T17:45:31Z	Normal	ScalingReplicaSet	deployment/shipping-rate-service	Scaled down replica set shipping-rate-service-68467f5cb from 5 to 4
2026-08-15T17:45:46Z	Normal	Killing	pod/shipping-rate-service-68467f5cb-r56r5	Stopping container shipping-rate-service
2026-08-15T17:45:46Z	Normal	Killing	pod/shipping-rate-service-68467f5cb-vw6m9	Stopping container shipping-rate-service
2026-08-15T17:45:46Z	Normal	Killing	pod/shipping-rate-service-68467f5cb-xwz88	Stopping container shipping-rate-service
2026-08-15T17:45:46Z	Normal	SuccessfulDelete	replicaset/shipping-rate-service-68467f5cb	Deleted pod: shipping-rate-service-68467f5cb-r56r5
2026-08-15T17:45:46Z	Normal	ScalingReplicaSet	deployment/shipping-rate-service	Scaled down replica set shipping-rate-service-68467f5cb from 4 to 1
2026-08-15T17:49:33Z	Normal	SuccessfulCreate	job/k6-shipping-test-spike-shipping-rate-service-h1-spike-rep2	Created pod: k6-shipping-test-spike-shipping-rate-service-h1-spike-rep28lpdw
2026-08-15T17:49:33Z	Normal	Scheduled	pod/k6-shipping-test-spike-shipping-rate-service-h1-spike-rep28lpdw	Successfully assigned ecommerce/k6-shipping-test-spike-shipping-rate-service-h1-spike-rep28lpdw to aks-userpool-16719200-vmss00002e
2026-08-15T17:49:34Z	Normal	Pulled	pod/k6-shipping-test-spike-shipping-rate-service-h1-spike-rep28lpdw	Container image "grafana/k6:0.46.0" already present on machine
2026-08-15T17:49:34Z	Normal	Created	pod/k6-shipping-test-spike-shipping-rate-service-h1-spike-rep28lpdw	Created container: k6
