TIMESTAMP	TYPE	REASON	OBJECT	MESSAGE
2026-05-07T09:50:11Z	Normal	SuccessfulCreate	job/k6-shipping-test-oscillating-shipping-rate-service-h3--c9643025	Created pod: k6-shipping-test-oscillating-shipping-rate-service-h3--c96jm6cl
2026-05-07T09:50:11Z	Normal	Scheduled	pod/k6-shipping-test-oscillating-shipping-rate-service-h3--c96jm6cl	Successfully assigned ecommerce/k6-shipping-test-oscillating-shipping-rate-service-h3--c96jm6cl to aks-userpool-16719200-vmss00001o
2026-05-07T09:50:12Z	Normal	Pulled	pod/k6-shipping-test-oscillating-shipping-rate-service-h3--c96jm6cl	Container image "grafana/k6:0.46.0" already present on machine
2026-05-07T09:50:12Z	Normal	Created	pod/k6-shipping-test-oscillating-shipping-rate-service-h3--c96jm6cl	Created container: k6
2026-05-07T09:50:12Z	Normal	Started	pod/k6-shipping-test-oscillating-shipping-rate-service-h3--c96jm6cl	Started container k6
2026-05-07T09:52:32Z	Normal	SuccessfulCreate	replicaset/shipping-rate-service-68467f5cb	Created pod: shipping-rate-service-68467f5cb-vtd2c
2026-05-07T09:52:32Z	Normal	ScalingReplicaSet	deployment/shipping-rate-service	Scaled up replica set shipping-rate-service-68467f5cb from 1 to 2
2026-05-07T09:52:32Z	Normal	Scheduled	pod/shipping-rate-service-68467f5cb-vtd2c	Successfully assigned ecommerce/shipping-rate-service-68467f5cb-vtd2c to aks-userpool-16719200-vmss00001o
2026-05-07T09:52:33Z	Normal	Pulling	pod/shipping-rate-service-68467f5cb-vtd2c	Pulling image "ecommerce.azurecr.io/shipping-rate-service:latest"
2026-05-07T09:52:33Z	Normal	Pulled	pod/shipping-rate-service-68467f5cb-vtd2c	Successfully pulled image "ecommerce.azurecr.io/shipping-rate-service:latest" in 324ms (324ms including waiting). Image size: 61321205 bytes.
2026-05-07T09:52:33Z	Normal	Created	pod/shipping-rate-service-68467f5cb-vtd2c	Created container: shipping-rate-service
2026-05-07T09:52:33Z	Normal	Started	pod/shipping-rate-service-68467f5cb-vtd2c	Started container shipping-rate-service
2026-05-07T09:55:17Z	Normal	Killing	pod/shipping-rate-service-68467f5cb-vtd2c	Stopping container shipping-rate-service
2026-05-07T09:55:17Z	Normal	SuccessfulDelete	replicaset/shipping-rate-service-68467f5cb	Deleted pod: shipping-rate-service-68467f5cb-vtd2c
2026-05-07T09:55:33Z	Normal	Pulling	pod/shipping-rate-service-68467f5cb-7nznj	Pulling image "ecommerce.azurecr.io/shipping-rate-service:latest"
2026-05-07T09:55:33Z	Normal	Pulled	pod/shipping-rate-service-68467f5cb-7nznj	Successfully pulled image "ecommerce.azurecr.io/shipping-rate-service:latest" in 237ms (237ms including waiting). Image size: 61321205 bytes.
2026-05-07T09:55:33Z	Normal	Created	pod/shipping-rate-service-68467f5cb-7nznj	Created container: shipping-rate-service
2026-05-07T09:55:33Z	Normal	Started	pod/shipping-rate-service-68467f5cb-7nznj	Started container shipping-rate-service
2026-05-07T09:55:33Z	Normal	Scheduled	pod/shipping-rate-service-68467f5cb-7nznj	Successfully assigned ecommerce/shipping-rate-service-68467f5cb-7nznj to aks-userpool-16719200-vmss00001o
2026-05-07T09:58:18Z	Normal	Killing	pod/shipping-rate-service-68467f5cb-7nznj	Stopping container shipping-rate-service
2026-05-07T09:58:18Z	Normal	SuccessfulDelete	replicaset/shipping-rate-service-68467f5cb	Deleted pod: shipping-rate-service-68467f5cb-7nznj
2026-05-07T09:58:18Z	Normal	ScalingReplicaSet	deployment/shipping-rate-service	Scaled down replica set shipping-rate-service-68467f5cb from 2 to 1
2026-05-07T09:58:33Z	Normal	SuccessfulRescale	horizontalpodautoscaler/shipping-rate-service-hpa-custom	New size: 2; reason: pods metric http_requests_per_second above target
2026-05-07T09:58:33Z	Normal	Scheduled	pod/shipping-rate-service-68467f5cb-5zwr8	Successfully assigned ecommerce/shipping-rate-service-68467f5cb-5zwr8 to aks-userpool-16719200-vmss00001o
2026-05-07T09:58:34Z	Normal	Pulling	pod/shipping-rate-service-68467f5cb-5zwr8	Pulling image "ecommerce.azurecr.io/shipping-rate-service:latest"
2026-05-07T09:58:34Z	Normal	Pulled	pod/shipping-rate-service-68467f5cb-5zwr8	Successfully pulled image "ecommerce.azurecr.io/shipping-rate-service:latest" in 205ms (205ms including waiting). Image size: 61321205 bytes.
2026-05-07T09:58:34Z	Normal	Created	pod/shipping-rate-service-68467f5cb-5zwr8	Created container: shipping-rate-service
2026-05-07T09:58:34Z	Normal	Started	pod/shipping-rate-service-68467f5cb-5zwr8	Started container shipping-rate-service
2026-05-07T10:00:48Z	Normal	Pulling	pod/shipping-rate-service-68467f5cb-8fdzh	Pulling image "ecommerce.azurecr.io/shipping-rate-service:latest"
2026-05-07T10:00:48Z	Normal	SuccessfulCreate	replicaset/shipping-rate-service-68467f5cb	Created pod: shipping-rate-service-68467f5cb-8fdzh
2026-05-07T10:00:48Z	Normal	SuccessfulRescale	horizontalpodautoscaler/shipping-rate-service-hpa-custom	New size: 3; reason: pods metric http_requests_per_second above target
