TIMESTAMP	TYPE	REASON	OBJECT	MESSAGE
2026-05-23T12:35:54Z	Normal	KEDAScalersStarted	scaledobject/shipping-rate-service-keda	Scaler prometheus is built
2026-05-23T12:36:55Z	Normal	KEDAScalersStopped	scaledobject/shipping-rate-service-keda	Stopped scalers watch
2026-05-23T12:36:55Z	Warning	ScaledObjectDeleted	scaledobject/shipping-rate-service-keda	ScaledObject was deleted
2026-05-23T12:39:04Z	Normal	KEDAScalersStarted	scaledobject/shipping-rate-service-keda	Scaler prometheus is built
2026-05-23T12:39:04Z	Normal	KEDAScalersStarted	scaledobject/shipping-rate-service-keda	Started scalers watch
2026-05-23T12:39:04Z	Normal	ScaledObjectReady	scaledobject/shipping-rate-service-keda	ScaledObject is ready for scaling
2026-05-23T12:40:44Z	Normal	SuccessfulCreate	job/k6-shipping-test-oscillating-shipping-rate-service-k1--c5677a39	Created pod: k6-shipping-test-oscillating-shipping-rate-service-k1--c56pvn2w
2026-05-23T12:40:44Z	Normal	Scheduled	pod/k6-shipping-test-oscillating-shipping-rate-service-k1--c56pvn2w	Successfully assigned ecommerce/k6-shipping-test-oscillating-shipping-rate-service-k1--c56pvn2w to aks-userpool-16719200-vmss00001y
2026-05-23T12:40:45Z	Normal	Pulled	pod/k6-shipping-test-oscillating-shipping-rate-service-k1--c56pvn2w	Container image "grafana/k6:0.46.0" already present on machine
2026-05-23T12:40:45Z	Normal	Created	pod/k6-shipping-test-oscillating-shipping-rate-service-k1--c56pvn2w	Created container: k6
2026-05-23T12:40:45Z	Normal	Started	pod/k6-shipping-test-oscillating-shipping-rate-service-k1--c56pvn2w	Started container k6
2026-05-23T12:43:20Z	Normal	Scheduled	pod/shipping-rate-service-68467f5cb-gh52c	Successfully assigned ecommerce/shipping-rate-service-68467f5cb-gh52c to aks-userpool-16719200-vmss00001y
2026-05-23T12:43:20Z	Normal	Pulling	pod/shipping-rate-service-68467f5cb-gh52c	Pulling image "ecommerce.azurecr.io/shipping-rate-service:latest"
2026-05-23T12:43:20Z	Normal	Pulled	pod/shipping-rate-service-68467f5cb-gh52c	Successfully pulled image "ecommerce.azurecr.io/shipping-rate-service:latest" in 244ms (244ms including waiting). Image size: 61321205 bytes.
2026-05-23T12:43:20Z	Normal	Created	pod/shipping-rate-service-68467f5cb-gh52c	Created container: shipping-rate-service
