TIMESTAMP	TYPE	REASON	OBJECT	MESSAGE
2026-05-23T12:15:42Z	Normal	KEDAScalersStarted	scaledobject/shipping-rate-service-keda	Scaler prometheus is built
2026-05-23T12:16:43Z	Warning	FailedGetExternalMetric	horizontalpodautoscaler/keda-hpa-shipping-rate-service-keda	unable to get external metric ecommerce/s0-prometheus/&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: shipping-rate-service-keda,},MatchExpressions:[]LabelSelectorRequirement{},}: unable to fetch metrics from external metrics API: rpc error: code = Unknown desc = error when getting metric values error getting scalers ScaledObject.keda.sh "shipping-rate-service-keda" not found
2026-05-23T12:16:43Z	Warning	FailedUpdateStatus	horizontalpodautoscaler/keda-hpa-shipping-rate-service-keda	Operation cannot be fulfilled on horizontalpodautoscalers.autoscaling "keda-hpa-shipping-rate-service-keda": StorageError: invalid object, Code: 4, Key: /registry/horizontalpodautoscalers/ecommerce/keda-hpa-shipping-rate-service-keda, ResourceVersion: 0, AdditionalErrorMsg: Precondition failed: UID in precondition: 00263d71-7e56-42d0-9107-a1a91ca1302b, UID in object meta: 
2026-05-23T12:16:43Z	Warning	FailedComputeMetricsReplicas	horizontalpodautoscaler/keda-hpa-shipping-rate-service-keda	invalid metrics (1 invalid out of 1), first error is: failed to get s0-prometheus external metric value: failed to get s0-prometheus external metric: unable to get external metric ecommerce/s0-prometheus/&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: shipping-rate-service-keda,},MatchExpressions:[]LabelSelectorRequirement{},}: unable to fetch metrics from external metrics API: rpc error: code = Unknown desc = error when getting metric values error getting scalers ScaledObject.keda.sh "shipping-rate-service-keda" not found
2026-05-23T12:16:43Z	Normal	KEDAScalersStopped	scaledobject/shipping-rate-service-keda	Stopped scalers watch
2026-05-23T12:16:43Z	Warning	ScaledObjectDeleted	scaledobject/shipping-rate-service-keda	ScaledObject was deleted
2026-05-23T12:18:52Z	Normal	KEDAScalersStarted	scaledobject/shipping-rate-service-keda	Scaler prometheus is built
2026-05-23T12:18:52Z	Normal	KEDAScalersStarted	scaledobject/shipping-rate-service-keda	Started scalers watch
2026-05-23T12:18:52Z	Normal	ScaledObjectReady	scaledobject/shipping-rate-service-keda	ScaledObject is ready for scaling
2026-05-23T12:20:33Z	Normal	SuccessfulCreate	job/k6-shipping-test-spike-shipping-rate-service-k1-spike-rep5	Created pod: k6-shipping-test-spike-shipping-rate-service-k1-spike-rep5pwjgb
2026-05-23T12:20:33Z	Normal	Scheduled	pod/k6-shipping-test-spike-shipping-rate-service-k1-spike-rep5pwjgb	Successfully assigned ecommerce/k6-shipping-test-spike-shipping-rate-service-k1-spike-rep5pwjgb to aks-userpool-16719200-vmss00001y
2026-05-23T12:20:33Z	Normal	Pulled	pod/k6-shipping-test-spike-shipping-rate-service-k1-spike-rep5pwjgb	Container image "grafana/k6:0.46.0" already present on machine
2026-05-23T12:20:33Z	Normal	Created	pod/k6-shipping-test-spike-shipping-rate-service-k1-spike-rep5pwjgb	Created container: k6
2026-05-23T12:20:33Z	Normal	Started	pod/k6-shipping-test-spike-shipping-rate-service-k1-spike-rep5pwjgb	Started container k6
2026-05-23T12:22:53Z	Normal	SuccessfulRescale	horizontalpodautoscaler/keda-hpa-shipping-rate-service-keda	New size: 2; reason: external metric s0-prometheus(&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: shipping-rate-service-keda,},MatchExpressions:[]LabelSelectorRequirement{},}) above target
2026-05-23T12:22:53Z	Normal	Scheduled	pod/shipping-rate-service-68467f5cb-8h629	Successfully assigned ecommerce/shipping-rate-service-68467f5cb-8h629 to aks-userpool-16719200-vmss00001y
2026-05-23T12:22:53Z	Normal	Pulling	pod/shipping-rate-service-68467f5cb-8h629	Pulling image "ecommerce.azurecr.io/shipping-rate-service:latest"
2026-05-23T12:22:53Z	Normal	SuccessfulCreate	replicaset/shipping-rate-service-68467f5cb	Created pod: shipping-rate-service-68467f5cb-8h629
2026-05-23T12:22:53Z	Normal	ScalingReplicaSet	deployment/shipping-rate-service	Scaled up replica set shipping-rate-service-68467f5cb from 1 to 2
2026-05-23T12:22:54Z	Normal	Pulled	pod/shipping-rate-service-68467f5cb-8h629	Successfully pulled image "ecommerce.azurecr.io/shipping-rate-service:latest" in 243ms (243ms including waiting). Image size: 61321205 bytes.
2026-05-23T12:22:54Z	Normal	Created	pod/shipping-rate-service-68467f5cb-8h629	Created container: shipping-rate-service
2026-05-23T12:22:54Z	Normal	Started	pod/shipping-rate-service-68467f5cb-8h629	Started container shipping-rate-service
2026-05-23T12:31:09Z	Normal	SuccessfulRescale	horizontalpodautoscaler/keda-hpa-shipping-rate-service-keda	New size: 3; reason: external metric s0-prometheus(&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: shipping-rate-service-keda,},MatchExpressions:[]LabelSelectorRequirement{},}) above target
2026-05-23T12:31:09Z	Normal	Scheduled	pod/shipping-rate-service-68467f5cb-m9z8j	Successfully assigned ecommerce/shipping-rate-service-68467f5cb-m9z8j to aks-userpool-16719200-vmss00001y
2026-05-23T12:31:09Z	Normal	Pulling	pod/shipping-rate-service-68467f5cb-m9z8j	Pulling image "ecommerce.azurecr.io/shipping-rate-service:latest"
2026-05-23T12:31:09Z	Normal	SuccessfulCreate	replicaset/shipping-rate-service-68467f5cb	Created pod: shipping-rate-service-68467f5cb-m9z8j
2026-05-23T12:31:09Z	Normal	ScalingReplicaSet	deployment/shipping-rate-service	Scaled up replica set shipping-rate-service-68467f5cb from 2 to 3
2026-05-23T12:31:10Z	Normal	Pulled	pod/shipping-rate-service-68467f5cb-m9z8j	Successfully pulled image "ecommerce.azurecr.io/shipping-rate-service:latest" in 185ms (185ms including waiting). Image size: 61321205 bytes.
2026-05-23T12:31:10Z	Normal	Created	pod/shipping-rate-service-68467f5cb-m9z8j	Created container: shipping-rate-service
2026-05-23T12:31:10Z	Normal	Started	pod/shipping-rate-service-68467f5cb-m9z8j	Started container shipping-rate-service
2026-05-23T12:32:38Z	Warning	BackoffLimitExceeded	job/k6-shipping-test-spike-shipping-rate-service-k1-spike-rep5	Job has reached the specified backoff limit
2026-05-23T12:32:39Z	Normal	SuccessfulRescale	horizontalpodautoscaler/keda-hpa-shipping-rate-service-keda	New size: 2; reason: All metrics below target
2026-05-23T12:32:39Z	Normal	Killing	pod/shipping-rate-service-68467f5cb-m9z8j	Stopping container shipping-rate-service
2026-05-23T12:32:39Z	Normal	SuccessfulDelete	replicaset/shipping-rate-service-68467f5cb	Deleted pod: shipping-rate-service-68467f5cb-m9z8j
2026-05-23T12:32:39Z	Normal	ScalingReplicaSet	deployment/shipping-rate-service	Scaled down replica set shipping-rate-service-68467f5cb from 3 to 2
2026-05-23T12:33:09Z	Normal	SuccessfulRescale	horizontalpodautoscaler/keda-hpa-shipping-rate-service-keda	New size: 1; reason: All metrics below target
2026-05-23T12:33:09Z	Normal	Killing	pod/shipping-rate-service-68467f5cb-8h629	Stopping container shipping-rate-service
2026-05-23T12:33:09Z	Normal	SuccessfulDelete	replicaset/shipping-rate-service-68467f5cb	Deleted pod: shipping-rate-service-68467f5cb-8h629
2026-05-23T12:33:09Z	Normal	ScalingReplicaSet	deployment/shipping-rate-service	Scaled down replica set shipping-rate-service-68467f5cb from 2 to 1
